Element 39: (2, (14, 2), ['', '.', '', '%'], [(16, 5), (14, 13), (13, 3)], [False, False, False, True], 22, False, [False, True, False, False], 4731, 'South', (14, 1))
Element 40: (2, (14, 1), ['.', '%', '', '.'], [(15, 5), (15, 13), (13, 4)], [False, True, False, False], 20, False, [True, False, False, True], 4750, 'East', (15, 1))
Element 41: (2, (15, 1), ['', '%', '%', '%'], [(15, 6), (16, 13), (12, 4)], [False, True, True, True], 18, False, [False, False, False, False], 4769, 'West', (14, 1))
Element 42: (2, (14, 1), ['.', '%', '', ''], [(15, 7), (17, 13), (11, 4)], [False, True, False, False], 16, False, [True, False, False, False], 4778, 'West', (13, 1))
Element 43: (2, (13, 1), ['.', '%', '', ''], [(15, 8), (18, 13), (11, 3)], [False, True, False, False], 14, False, [True, False, False, False], 4807, 'West', (12, 1))
Element 44: (2, (12, 1), ['.', '%', '', ''], [(14, 8), (18, 12), (10, 3)], [False, True, False, False], 12, False, [True, False, False, False], 4836, 'West', (11, 1))
Element 45: (2, (11, 1), ['%', '%', '', ''], [(14, 7), (18, 11), (10, 4)], [True, True, False, False], 10, False, [False, False, False, False], 4855, 'East', (12, 1))
Element 46: (2, (12, 1), ['', '%', '', ''], [(14, 8), (18, 10), (10, 5)], [False, True, False, False], 8, False, [False, False, False, False], 4864, 'East', (13, 1))
Element 47: (2, (13, 1), ['', '%', '', ''], [(13, 8), (17, 10), (9, 5)], [False, True, False, False], 6, False, [False, False, False, False], 4873, 'East', (14, 1))
Element 48: (2, (14, 1), ['', '%', '', ''], [(14, 8), (17, 11), (9, 6)], [False, True, False, False], 4, False, [False, False, False, False], 4882, 'North', (14, 2))
Element 49: (2, (14, 2), ['', '', '', '%'], [(15, 8), (17, 12), (9, 7)], [False, False, False, True], 2, False, [False, False, False, False], 4891, 'North', (14, 3))
Element 50: (2, (14, 3), ['', '', '', '%'], [(15, 8), (17, 12), (10, 7)], [False, False, False, True], 0, False, [False, False, False, False], 4890, 'Stop', (14, 3))
Element 51: #0#
