Element 39: (0, (18, 4), ['', '', '', '%'], [(9, 1), (14, 1), (8, 9)], [False, False, False, True], 22, False, [False, False, False, False], 2612, 'South', (18, 3))
Element 40: (0, (18, 3), ['', '%', '', '%'], [(9, 2), (13, 1), (7, 9)], [False, True, False, True], 20, False, [False, False, False, False], 2611, 'West', (17, 3))
Element 41: (0, (17, 3), ['', '%', '', ''], [(10, 2), (13, 2), (7, 8)], [False, True, False, False], 18, False, [False, False, False, False], 2610, 'West', (16, 3))
Element 42: (0, (16, 3), ['%', '%', '', ''], [(11, 2), (12, 2), (6, 8)], [True, True, False, False], 16, False, [False, False, False, False], 2609, 'East', (17, 3))
Element 43: (0, (17, 3), ['', '%', '', ''], [(11, 3), (12, 1), (6, 9)], [False, True, False, False], 14, False, [False, False, False, False], 2608, 'East', (18, 3))
Element 44: (0, (18, 3), ['', '%', '', '%'], [(11, 4), (11, 1), (6, 8)], [False, True, False, True], 12, False, [False, False, False, False], 2607, 'North', (18, 4))
Element 45: (0, (18, 4), ['', '', '', '%'], [(12, 4), (11, 2), (5, 8)], [False, False, False, True], 10, False, [False, False, False, False], 2606, 'West', (17, 4))
Element 46: (0, (17, 4), ['', '', '', ''], [(13, 4), (11, 3), (4, 8)], [False, False, False, False], 8, False, [False, False, False, False], 2605, 'North', (17, 5))
Element 47: (0, (17, 5), ['', '', '', ''], [(14, 4), (11, 4), (5, 8)], [False, False, False, False], 6, False, [False, False, False, False], 2604, 'South', (17, 4))
Element 48: (0, (17, 4), ['', '', '', ''], [(15, 4), (10, 4), (6, 8)], [False, False, False, False], 4, False, [False, False, False, False], 2603, 'South', (17, 3))
Element 49: (0, (17, 3), ['', '%', '', ''], [(16, 4), (10, 5), (7, 8)], [False, True, False, False], 2, False, [False, False, False, False], 2602, 'North', (17, 4))
Element 50: (0, (17, 4), ['', '', '', ''], [(16, 5), (9, 5), (7, 9)], [False, False, False, False], 0, False, [False, False, False, False], 2601, 'Stop', (17, 4))
Element 51: #0#
