Element 1: (2, (8, 2), ['.', '.', '.', 'F'], [(6, 5), (5, 6), (8, 5)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'East', (9, 2))
Element 2: (2, (9, 2), ['', '.', '.', '.'], [(6, 6), (5, 5), (9, 5)], [False, False, False, False], 96, False, [False, True, True, True], 1038, 'East', (10, 2))
Element 3: (2, (10, 2), ['', '%', '.', '.'], [(5, 6), (4, 5), (10, 5)], [False, True, False, False], 94, False, [False, False, True, True], 2057, 'East', (11, 2))
Element 4: (2, (11, 2), ['', '.', '.', '.'], [(4, 6), (4, 4), (10, 4)], [False, False, False, False], 92, False, [False, True, True, True], 2086, 'East', (12, 2))
Element 5: (2, (12, 2), ['', '.', '%', '.'], [(3, 6), (4, 3), (11, 4)], [False, False, True, False], 90, False, [False, True, False, True], 2125, 'East', (13, 2))
Element 6: (2, (13, 2), ['', '.', '.', '.'], [(3, 7), (5, 3), (12, 4)], [False, False, False, False], 88, False, [False, True, True, True], 2164, 'East', (14, 2))
Element 7: (2, (14, 2), ['', '.', '.', '%'], [(2, 7), (6, 3), (13, 4)], [False, False, False, True], 86, False, [False, True, True, False], 2203, 'North', (14, 3))
Element 8: (2, (14, 3), ['.', '', 'G', '%'], [(2, 8), (7, 3), (14, 4)], [False, False, False, True], 84, False, [True, False, False, False], 3232, 'West', (13, 3))
Element 9: (2, (13, 3), ['%', '', '', ''], [(1, 8), (8, 3), (15, 4)], [True, False, False, False], 82, False, [False, False, False, False], 4261, 'North', (13, 4))
Element 10: (2, (13, 4), ['', '', '.', ''], [(1, 7), (9, 3), (16, 4)], [False, False, False, False], 80, False, [False, False, True, False], 4290, 'North', (13, 5))
Element 11: (2, (13, 5), ['.', '', '.', '.'], [(1, 6), (10, 3), (17, 4)], [False, False, False, False], 78, False, [True, False, True, True], 4329, 'East', (14, 5))
Element 12: (2, (14, 5), ['', '', '%', '.'], [(2, 6), (11, 3), (18, 4)], [False, False, True, False], 76, False, [False, False, False, True], 4368, 'East', (15, 5))
Element 13: (2, (15, 5), ['', '', '.', '.'], [(2, 5), (11, 4), (18, 5)], [False, False, False, False], 74, False, [False, False, True, True], 4397, 'East', (16, 5))
Element 14: (2, (16, 5), ['', '', '.', 'G'], [(3, 5), (12, 4), (17, 5)], [False, False, False, False], 72, False, [False, False, True, False], 4426, 'North', (16, 6))
Element 15: (2, (16, 6), ['.', '', '%', 'G'], [(3, 4), (12, 5), (17, 6)], [False, False, True, False], 70, False, [True, False, False, False], 4465, 'West', (15, 6))
Element 16: (2, (15, 6), ['%', '', '.', ''], [(3, 3), (12, 6), (17, 7)], [True, False, False, False], 68, False, [False, False, True, False], 4504, 'North', (15, 7))
Element 17: (2, (15, 7), ['.', '', '.', '%'], [(2, 3), (13, 6), (18, 7)], [False, False, False, True], 66, False, [True, False, True, False], 4543, 'North', (15, 8))
Element 18: (2, (15, 8), ['.', '', '%', '%'], [(2, 4), (13, 5), (17, 7)], [False, False, True, True], 64, False, [True, False, False, False], 4562, 'West', (14, 8))
Element 19: (2, (14, 8), ['.', '.', '%', ''], [(1, 4), (14, 5), (17, 6)], [False, False, True, False], 62, False, [True, True, False, False], 4581, 'South', (14, 7))
Element 20: (2, (14, 7), ['%', '%', '', ''], [(1, 5), (15, 5), (16, 6)], [True, True, False, False], 60, False, [False, False, False, False], 4600, 'North', (14, 8))
Element 21: (2, (14, 8), ['.', '', '%', ''], [(1, 4), (15, 6), (16, 5)], [False, False, True, False], 58, False, [True, False, False, False], 4599, 'West', (13, 8))
Element 22: (2, (13, 8), ['%', '%', '%', ''], [(2, 4), (16, 6), (15, 5)], [True, True, True, False], 56, False, [False, False, False, False], 4608, 'East', (14, 8))
Element 23: (2, (14, 8), ['', '', '%', ''], [(2, 3), (17, 6), (15, 6)], [False, False, True, False], 54, False, [False, False, False, False], 4607, 'East', (15, 8))
Element 24: (2, (15, 8), ['', 'G', '%', '%'], [(2, 2), (17, 7), (15, 7)], [False, False, True, True], 52, False, [False, False, False, False], 4616, 'West', (14, 8))
Element 25: (2, (14, 8), ['', '', '%', 'G'], [(2, 1), (18, 7), (15, 8)], [False, False, True, False], 50, False, [False, False, False, False], 4625, 'South', (14, 7))
Element 26: (2, (14, 7), ['%', '%', 'G', ''], [(3, 1), (17, 7), (14, 8)], [True, True, False, False], 48, False, [False, False, False, False], 4634, 'East', (15, 7))
Element 27: (2, (15, 7), ['G', '', '', '%'], [(4, 1), (17, 6), (14, 7)], [False, False, False, True], 46, False, [False, False, False, False], 4643, 'South', (15, 6))
Element 28: (2, (15, 6), ['%', '', '', ''], [(5, 1), (17, 5), (14, 8)], [True, False, False, False], 44, False, [False, False, False, False], 4652, 'East', (16, 6))
