Element 1: (1, (7, 2), ['.', '.', '.', 'G'], [(8, 9), (8, 2), (18, 10)], [False, False, False, False], 98, False, [True, True, True, False], 9, 'North', (7, 3))
Element 2: (1, (7, 3), ['.', '', '%', '.'], [(8, 8), (9, 2), (18, 11)], [False, False, True, False], 96, False, [True, False, False, True], 1038, 'East', (8, 3))
Element 3: (1, (8, 3), ['', '', '.', '.'], [(9, 8), (10, 2), (18, 12)], [False, False, False, False], 94, False, [False, False, True, True], 1077, 'East', (9, 3))
Element 4: (1, (9, 3), ['', '', '.', '.'], [(10, 8), (11, 2), (18, 13)], [False, False, False, False], 92, False, [False, False, True, True], 1116, 'East', (10, 3))
Element 5: (1, (10, 3), ['', '', '.', '.'], [(10, 7), (12, 2), (17, 13)], [False, False, False, False], 90, False, [False, False, True, True], 1155, 'East', (11, 3))
Element 6: (1, (11, 3), ['', '', '.', '%'], [(9, 7), (13, 2), (17, 12)], [False, False, False, True], 88, False, [False, False, True, False], 1194, 'North', (11, 4))
Element 7: (1, (11, 4), ['.', '', '%', '.'], [(9, 6), (14, 2), (17, 11)], [False, False, True, False], 86, False, [True, False, False, True], 1233, 'East', (12, 4))
Element 8: (1, (12, 4), ['', '%', '.', '.'], [(9, 5), (14, 3), (17, 10)], [False, True, False, False], 84, False, [False, False, True, True], 1272, 'East', (13, 4))
Element 9: (1, (13, 4), ['', '.', '.', 'G'], [(10, 5), (14, 4), (17, 9)], [False, False, False, False], 82, False, [False, True, True, False], 2301, 'North', (13, 5))
Element 10: (1, (13, 5), ['.', '', '.', '.'], [(10, 4), (15, 4), (16, 9)], [False, False, False, False], 80, False, [True, False, True, True], 2340, 'East', (14, 5))
Element 11: (1, (14, 5), ['', '', '%', '.'], [(9, 4), (16, 4), (16, 10)], [False, False, True, False], 78, False, [False, False, False, True], 2379, 'East', (15, 5))
Element 12: (1, (15, 5), ['', '', '.', '.'], [(8, 4), (17, 4), (16, 11)], [False, False, False, False], 76, False, [False, False, True, True], 2418, 'East', (16, 5))
