Element 1: (1, (1, 7), ['%', '.', 'F', '.'], [(18, 3), (4, 6), (4, 8)], [True, False, False, False], 98, False, [False, True, False, True], 9, 'North', (1, 8))
Element 2: (1, (1, 8), ['%', '', '%', 'F'], [(18, 4), (5, 6), (5, 8)], [True, False, True, False], 96, False, [False, False, False, False], 1038, 'East', (2, 8))
Element 3: (1, (2, 8), ['', '.', '%', '%'], [(18, 5), (6, 6), (6, 8)], [False, False, True, True], 94, False, [False, True, False, False], 2067, 'South', (2, 7))
Element 4: (1, (2, 7), ['', '.', '', '.'], [(17, 5), (6, 5), (7, 8)], [False, False, False, False], 92, False, [False, True, False, True], 2106, 'East', (3, 7))
Element 5: (1, (3, 7), ['', '.', '%', '%'], [(17, 6), (6, 4), (8, 8)], [False, False, True, True], 90, False, [False, True, False, False], 2145, 'South', (3, 6))
Element 6: (1, (3, 6), ['.', '.', '', ''], [(17, 7), (6, 3), (9, 8)], [False, False, False, False], 88, False, [True, True, False, False], 2184, 'South', (3, 5))
Element 7: (1, (3, 5), ['.', '.', '', '.'], [(18, 7), (7, 3), (10, 8)], [False, False, False, False], 86, False, [True, True, False, True], 2223, 'East', (4, 5))
Element 8: (1, (4, 5), ['', '.', '', '.'], [(17, 7), (8, 3), (10, 7)], [False, False, False, False], 84, False, [False, True, False, True], 2252, 'East', (5, 5))
Element 9: (1, (5, 5), ['', '%', '', ''], [(17, 6), (9, 3), (9, 7)], [False, True, False, False], 82, False, [False, False, False, False], 2281, 'East', (6, 5))
Element 10: (1, (6, 5), ['', '', '', '%'], [(16, 6), (9, 2), (9, 6)], [False, False, False, True], 80, False, [False, False, False, False], 3300, 'North', (6, 6))
Element 11: (1, (6, 6), ['', '', '%', '%'], [(16, 5), (10, 2), (9, 5)], [False, False, True, True], 78, False, [False, False, False, False], 3329, 'West', (5, 6))
Element 12: (1, (5, 6), ['', '', '%', ''], [(16, 4), (11, 2), (10, 5)], [False, False, True, False], 76, False, [False, False, False, False], 4348, 'West', (4, 6))
Element 13: (1, (4, 6), ['', '', '%', ''], [(17, 4), (12, 2), (10, 4)], [False, False, True, False], 74, False, [False, False, False, False], 4377, 'East', (5, 6))
Element 14: (1, (5, 6), ['', '', '%', ''], [(16, 4), (13, 2), (11, 4)], [False, False, True, False], 72, False, [False, False, False, False], 4396, 'East', (6, 6))
Element 15: (1, (6, 6), ['', '', '%', '%'], [(16, 3), (14, 2), (12, 4)], [False, False, True, True], 70, False, [False, False, False, False], 4425, 'South', (6, 5))
Element 16: (1, (6, 5), ['', '', '', '%'], [(16, 4), (14, 3), (13, 4)], [False, False, False, True], 68, False, [False, False, False, False], 4444, 'South', (6, 4))
Element 17: (1, (6, 4), ['%', '', '', '%'], [(15, 4), (14, 4), (13, 5)], [True, False, False, True], 66, False, [False, False, False, False], 4473, 'South', (6, 3))
Element 18: (1, (6, 3), ['.', '.', '', ''], [(15, 5), (14, 5), (13, 6)], [False, False, False, False], 64, False, [True, True, False, False], 4502, 'South', (6, 2))
Element 19: (1, (6, 2), ['.', '.', '', '.'], [(15, 6), (13, 5), (12, 6)], [False, False, False, False], 62, False, [True, True, False, True], 4531, 'East', (7, 2))
Element 20: (1, (7, 2), ['', '.', '', '.'], [(15, 7), (12, 5), (11, 6)], [False, False, False, False], 60, False, [False, True, False, True], 4570, 'East', (8, 2))
Element 21: (1, (8, 2), ['', '.', '', ''], [(15, 8), (12, 6), (11, 6)], [False, False, False, False], 58, False, [False, True, False, False], 4589, 'South', (8, 1))
Element 22: (1, (8, 1), ['.', '%', '', '.'], [(14, 8), (13, 6), (12, 6)], [False, True, False, False], 56, False, [True, False, False, True], 4608, 'East', (9, 1))
Element 23: (1, (9, 1), ['', '%', '', '%'], [(14, 7), (13, 5), (11, 6)], [False, True, False, True], 54, False, [False, False, False, False], 4627, 'North', (9, 2))
Element 24: (1, (9, 2), ['', '', '', ''], [(14, 8), (12, 5), (12, 6)], [False, False, False, False], 52, False, [False, False, False, False], 4626, 'East', (10, 2))
Element 25: (1, (10, 2), ['', '%', '.', ''], [(13, 8), (12, 4), (12, 5)], [False, True, False, False], 50, False, [False, False, True, False], 4635, 'North', (10, 3))
Element 26: (1, (10, 3), ['', '', '', '.'], [(14, 8), (13, 4), (12, 4)], [False, False, False, False], 48, False, [False, False, False, True], 4644, 'East', (11, 3))
Element 27: (1, (11, 3), ['', '', 'G', '%'], [(15, 8), (13, 3), (11, 4)], [False, False, False, True], 46, False, [False, False, False, False], 4663, 'South', (11, 2))
Element 28: (1, (11, 2), ['', '.', '', ''], [(15, 7), (13, 4), (10, 4)], [False, False, False, False], 44, False, [False, True, False, False], 4662, 'South', (11, 1))
Element 29: (1, (11, 1), ['%', '%', '', '.'], [(14, 7), (12, 4), (10, 3)], [True, True, False, False], 42, False, [False, False, False, True], 4671, 'East', (12, 1))
Element 30: (1, (12, 1), ['', '%', '', '.'], [(15, 7), (11, 4), (11, 3)], [False, True, False, False], 40, False, [False, False, False, True], 4680, 'East', (13, 1))
Element 31: (1, (13, 1), ['', '%', '', '.'], [(15, 6), (10, 4), (11, 2)], [False, True, False, False], 38, False, [False, False, False, True], 4689, 'East', (14, 1))
Element 32: (1, (14, 1), ['', '%', '', '.'], [(15, 5), (9, 4), (12, 2)], [False, True, False, False], 36, False, [False, False, False, True], 4708, 'East', (15, 1))
