Element 39: (1, (9, 3), ['.', 'G', '', ''], [(9, 2), (3, 10), (14, 2)], [False, False, False, False], 22, False, [True, False, False, False], 2931, 'West', (8, 3))
Element 40: (1, (8, 3), ['.', '.', '', ''], [(9, 1), (2, 10), (14, 1)], [False, False, False, False], 20, False, [True, True, False, False], 2960, 'South', (8, 2))
Element 41: (1, (8, 2), ['.', 'G', '', ''], [(8, 1), (2, 11), (15, 1)], [False, False, False, False], 18, False, [True, False, False, False], 3979, 'West', (7, 2))
Element 42: (1, (7, 2), ['.', 'G', '.', ''], [(7, 1), (1, 11), (14, 1)], [False, False, False, False], 16, False, [True, False, True, False], 4998, 'North', (7, 3))
Element 43: (1, (7, 3), ['.', '', '%', ''], [(6, 1), (1, 12), (13, 1)], [False, False, True, False], 14, False, [True, False, False, False], 5027, 'West', (6, 3))
Element 44: (1, (6, 3), ['.', 'G', '.', ''], [(6, 2), (2, 12), (13, 2)], [False, False, False, False], 12, False, [True, False, True, False], 5056, 'North', (6, 4))
Element 45: (1, (6, 4), ['%', '', '.', '%'], [(5, 2), (3, 12), (13, 3)], [True, False, False, True], 10, False, [False, False, True, False], 5085, 'North', (6, 5))
Element 46: (1, (6, 5), ['.', '', '.', '%'], [(5, 3), (3, 13), (13, 4)], [False, False, False, True], 8, False, [True, False, True, False], 5114, 'North', (6, 6))
Element 47: (1, (6, 6), ['.', '', '%', '%'], [(4, 3), (3, 12), (13, 5)], [False, False, True, True], 6, False, [True, False, False, False], 5133, 'West', (5, 6))
Element 48: (1, (5, 6), ['.', '.', '%', ''], [(4, 4), (2, 12), (13, 6)], [False, False, True, False], 4, False, [True, True, False, False], 5152, 'South', (5, 5))
Element 49: (1, (5, 5), ['G', '%', '', ''], [(4, 5), (1, 12), (12, 6)], [False, True, False, False], 2, False, [False, False, False, False], 5171, 'North', (5, 6))
Element 50: (1, (5, 6), ['.', '', '%', ''], [(4, 5), (1, 13), (11, 6)], [False, False, True, False], 0, False, [True, False, False, False], 5190, 'Stop', (5, 6))
Element 51: #0#
