Element 1: (0, (2, 6), ['.', '.', 'G', '.'], [(2, 7), (4, 10), (9, 5)], [False, False, False, False], 98, False, [True, True, False, True], 0, 'East', (3, 6))
Element 2: (0, (3, 6), ['', '.', '.', '.'], [(2, 8), (4, 11), (10, 5)], [False, False, False, False], 96, False, [False, True, True, True], 2019, 'East', (4, 6))
Element 3: (0, (4, 6), ['', '.', '%', '.'], [(1, 8), (5, 11), (10, 4)], [False, False, True, False], 94, False, [False, True, False, True], 3048, 'East', (5, 6))
Element 4: (0, (5, 6), ['', '.', '%', '.'], [(1, 7), (6, 11), (11, 4)], [False, False, True, False], 92, False, [False, True, False, True], 3087, 'East', (6, 6))
Element 5: (0, (6, 6), ['', '.', '%', '%'], [(1, 6), (6, 12), (12, 4)], [False, False, True, True], 90, False, [False, True, False, False], 3126, 'South', (6, 5))
Element 6: (0, (6, 5), ['.', '.', '', '%'], [(1, 5), (7, 12), (13, 4)], [False, False, False, True], 88, False, [True, True, False, False], 3165, 'South', (6, 4))
Element 7: (0, (6, 4), ['%', '.', '', '%'], [(2, 5), (8, 12), (14, 4)], [True, False, False, True], 86, False, [False, True, False, False], 3204, 'South', (6, 3))
Element 8: (0, (6, 3), ['.', '.', '', '.'], [(3, 5), (9, 12), (15, 4)], [False, False, False, False], 84, False, [True, True, False, True], 3243, 'East', (7, 3))
Element 9: (0, (7, 3), ['', '.', '%', '.'], [(4, 5), (10, 12), (16, 4)], [False, False, True, False], 82, False, [False, True, False, True], 3282, 'East', (8, 3))
Element 10: (0, (8, 3), ['', '.', '.', '.'], [(5, 5), (11, 12), (17, 4)], [False, False, False, False], 80, False, [False, True, True, True], 3321, 'East', (9, 3))
Element 11: (0, (9, 3), ['', 'F', '.', '.'], [(6, 5), (12, 12), (18, 4)], [False, False, False, False], 78, False, [False, False, True, True], 3350, 'South', (9, 2))
Element 12: (0, (9, 2), ['.', '.', '', '.'], [(6, 6), (13, 12), (18, 5)], [False, False, False, False], 76, False, [True, True, False, True], 4369, 'East', (10, 2))
Element 13: (0, (10, 2), ['', '%', '.', '.'], [(5, 6), (13, 13), (17, 5)], [False, True, False, False], 74, False, [False, False, True, True], 4398, 'East', (11, 2))
Element 14: (0, (11, 2), ['', '.', '.', '.'], [(4, 6), (14, 13), (17, 6)], [False, False, False, False], 72, False, [False, True, True, True], 4427, 'East', (12, 2))
Element 15: (0, (12, 2), ['', '.', '%', '.'], [(3, 6), (15, 13), (17, 7)], [False, False, True, False], 70, False, [False, True, False, True], 4456, 'East', (13, 2))
Element 16: (0, (13, 2), ['', '.', '.', '.'], [(3, 7), (16, 13), (18, 7)], [False, False, False, False], 68, False, [False, True, True, True], 4495, 'East', (14, 2))
Element 17: (0, (14, 2), ['', '.', '.', '%'], [(3, 6), (17, 13), (17, 7)], [False, False, False, True], 66, False, [False, True, True, False], 4514, 'North', (14, 3))
Element 18: (0, (14, 3), ['.', '', '', '%'], [(2, 6), (18, 13), (17, 6)], [False, False, False, True], 64, False, [True, False, False, False], 4533, 'West', (13, 3))
Element 19: (0, (13, 3), ['%', '', '', ''], [(3, 6), (18, 12), (16, 6)], [True, False, False, False], 62, False, [False, False, False, False], 4562, 'North', (13, 4))
Element 20: (0, (13, 4), ['', '', '.', ''], [(4, 6), (18, 11), (16, 5)], [False, False, False, False], 60, False, [False, False, True, False], 4581, 'North', (13, 5))
Element 21: (0, (13, 5), ['.', '', '.', '.'], [(5, 6), (18, 10), (15, 5)], [False, False, False, False], 58, False, [True, False, True, True], 4610, 'East', (14, 5))
Element 22: (0, (14, 5), ['', '', '%', ''], [(6, 6), (17, 10), (15, 6)], [False, False, True, False], 56, False, [False, False, False, False], 4639, 'East', (15, 5))
