Element 1: (3, (13, 3), ['%', '.', '.', '.'], [(4, 11), (6, 5), (9, 1)], [True, False, False, False], 98, False, [False, True, True, True], 29, 'East', (14, 3))
Element 2: (3, (14, 3), ['', '.', '.', '%'], [(5, 11), (6, 6), (9, 2)], [False, False, False, True], 96, False, [False, True, True, False], 1058, 'North', (14, 4))
Element 3: (3, (14, 4), ['.', '', '.', '.'], [(6, 11), (5, 6), (10, 2)], [False, False, False, False], 94, False, [True, False, True, True], 1097, 'East', (15, 4))
Element 4: (3, (15, 4), ['', '%', '.', '.'], [(6, 12), (4, 6), (11, 2)], [False, True, False, False], 92, False, [False, False, True, True], 1136, 'East', (16, 4))
Element 5: (3, (16, 4), ['', '.', '.', '.'], [(7, 12), (4, 5), (12, 2)], [False, False, False, False], 90, False, [False, True, True, True], 1175, 'East', (17, 4))
Element 6: (3, (17, 4), ['', '.', '.', '.'], [(8, 12), (4, 4), (13, 2)], [False, False, False, False], 88, False, [False, True, True, True], 1214, 'East', (18, 4))
Element 7: (3, (18, 4), ['', '.', '.', '%'], [(9, 12), (4, 3), (14, 2)], [False, False, False, True], 86, False, [False, True, True, False], 1253, 'North', (18, 5))
Element 8: (3, (18, 5), ['.', '', '%', '%'], [(10, 12), (5, 3), (14, 1)], [False, False, True, True], 84, False, [True, False, False, False], 1292, 'West', (17, 5))
Element 9: (3, (17, 5), ['.', '', '.', ''], [(11, 12), (6, 3), (15, 1)], [False, False, False, False], 82, False, [True, False, True, False], 1331, 'North', (17, 6))
Element 10: (3, (17, 6), ['.', '', '.', '%'], [(12, 12), (7, 3), (14, 1)], [False, False, False, True], 80, False, [True, False, True, False], 1360, 'North', (17, 7))
Element 11: (3, (17, 7), ['%', '', '%', '.'], [(13, 12), (8, 3), (13, 1)], [True, False, True, False], 78, False, [False, False, False, True], 1399, 'East', (18, 7))
Element 12: (3, (18, 7), ['', '%', '%', '%'], [(13, 13), (9, 3), (12, 1)], [False, True, True, True], 76, False, [False, False, False, False], 1438, 'West', (17, 7))
Element 13: (3, (17, 7), ['%', '', '%', ''], [(14, 13), (10, 3), (11, 1)], [True, False, True, False], 74, False, [False, False, False, False], 1467, 'South', (17, 6))
Element 14: (3, (17, 6), ['.', '', '', '%'], [(15, 13), (11, 3), (12, 1)], [False, False, False, True], 72, False, [True, False, False, False], 1486, 'West', (16, 6))
Element 15: (3, (16, 6), ['.', '.', '%', ''], [(16, 13), (11, 4), (13, 1)], [False, False, True, False], 70, False, [True, True, False, False], 1515, 'South', (16, 5))
Element 16: (3, (16, 5), ['.', '', '', ''], [(17, 13), (12, 4), (14, 1)], [False, False, False, False], 68, False, [True, False, False, False], 1544, 'West', (15, 5))
Element 17: (3, (15, 5), ['.', '', '.', ''], [(18, 13), (13, 4), (14, 2)], [False, False, False, False], 66, False, [True, False, True, False], 1573, 'North', (15, 6))
Element 18: (3, (15, 6), ['%', '', '.', ''], [(18, 12), (13, 5), (14, 3)], [True, False, False, False], 64, False, [False, False, True, False], 1602, 'North', (15, 7))
Element 19: (3, (15, 7), ['.', '', '.', '%'], [(18, 11), (14, 5), (14, 4)], [False, False, False, True], 62, False, [True, False, True, False], 1631, 'North', (15, 8))
Element 20: (3, (15, 8), ['.', '', '%', '%'], [(18, 10), (15, 5), (15, 4)], [False, False, True, True], 60, False, [True, False, False, False], 1650, 'West', (14, 8))
Element 21: (3, (14, 8), ['.', '.', '%', ''], [(17, 10), (16, 5), (16, 4)], [False, False, True, False], 58, False, [True, True, False, False], 1669, 'South', (14, 7))
Element 22: (3, (14, 7), ['%', '%', '', ''], [(17, 11), (17, 5), (16, 3)], [True, True, False, False], 56, False, [False, False, False, False], 1698, 'North', (14, 8))
Element 23: (3, (14, 8), ['.', '', '%', ''], [(17, 12), (18, 5), (17, 3)], [False, False, True, False], 54, False, [True, False, False, False], 1717, 'West', (13, 8))
Element 24: (3, (13, 8), ['%', '%', '%', ''], [(16, 12), (18, 4), (18, 3)], [True, True, True, False], 52, False, [False, False, False, False], 1746, 'East', (14, 8))
Element 25: (3, (14, 8), ['', '', '%', ''], [(16, 11), (17, 4), (18, 4)], [False, False, True, False], 50, False, [False, False, False, False], 1755, 'East', (15, 8))
Element 26: (3, (15, 8), ['', '', '%', '%'], [(16, 10), (17, 3), (18, 5)], [False, False, True, True], 48, False, [False, False, False, False], 1764, 'South', (15, 7))
Element 27: (3, (15, 7), ['', '', '', '%'], [(16, 9), (18, 3), (17, 5)], [False, False, False, True], 46, False, [False, False, False, False], 1773, 'West', (14, 7))
Element 28: (3, (14, 7), ['%', '%', '', ''], [(17, 9), (17, 3), (17, 6)], [True, True, False, False], 44, False, [False, False, False, False], 1782, 'East', (15, 7))
Element 29: (3, (15, 7), ['', '', '', '%'], [(16, 9), (16, 3), (17, 7)], [False, False, False, True], 42, False, [False, False, False, False], 1781, 'South', (15, 6))
Element 30: (3, (15, 6), ['%', '', '', ''], [(16, 10), (16, 4), (18, 7)], [True, False, False, False], 40, False, [False, False, False, False], 1780, 'South', (15, 5))
Element 31: (3, (15, 5), ['', 'G', '', ''], [(16, 11), (15, 4), (17, 7)], [False, False, False, False], 38, False, [False, False, False, False], 1779, 'West', (14, 5))
Element 32: (3, (14, 5), ['', 'G', '%', ''], [(16, 12), (14, 4), (17, 6)], [False, False, True, False], 36, False, [False, False, False, False], 1778, 'West', (13, 5))
Element 33: (3, (13, 5), ['.', '', '.', ''], [(15, 12), (14, 3), (16, 6)], [False, False, False, False], 34, False, [True, False, True, False], 1787, 'North', (13, 6))
Element 34: (3, (13, 6), ['.', '', '%', '%'], [(16, 12), (14, 2), (16, 5)], [False, False, True, True], 32, False, [True, False, False, False], 1796, 'West', (12, 6))
Element 35: (3, (12, 6), ['.', '.', '%', ''], [(17, 12), (14, 1), (15, 5)], [False, False, True, False], 30, False, [True, True, False, False], 1805, 'South', (12, 5))
Element 36: (3, (12, 5), ['%', '', '', ''], [(17, 11), (15, 1), (15, 6)], [True, False, False, False], 28, False, [False, False, False, False], 1814, 'South', (12, 4))
Element 37: (3, (12, 4), ['', '%', '', ''], [(16, 11), (14, 1), (15, 7)], [False, True, False, False], 26, False, [False, False, False, False], 1813, 'East', (13, 4))
Element 38: (3, (13, 4), ['', '', '', ''], [(17, 11), (13, 1), (15, 8)], [False, False, False, False], 24, False, [False, False, False, False], 1812, 'West', (12, 4))
