Element 1: (0, (1, 13), ['%', '.', '%', '%'], [(1, 10), (7, 2), (18, 1)], [True, False, True, True], 98, False, [False, True, False, False], 0, 'South', (1, 12))
Element 2: (0, (1, 12), ['%', 'G', '', '.'], [(1, 11), (8, 2), (17, 1)], [True, False, False, False], 96, False, [False, False, False, True], 1029, 'East', (2, 12))
Element 3: (0, (2, 12), ['', 'G', '%', '.'], [(2, 11), (9, 2), (18, 1)], [False, False, True, False], 94, False, [False, False, False, True], 3038, 'East', (3, 12))
Element 4: (0, (3, 12), ['', '%', '.', '.'], [(2, 10), (10, 2), (18, 1)], [False, True, False, False], 92, False, [False, False, True, True], 3067, 'East', (4, 12))
Element 5: (0, (4, 12), ['', '.', '.', '.'], [(3, 10), (11, 2), (17, 1)], [False, False, False, False], 90, False, [False, True, True, True], 3096, 'East', (5, 12))
Element 6: (0, (5, 12), ['', '.', '.', '.'], [(4, 10), (12, 2), (18, 1)], [False, False, False, False], 88, False, [False, True, True, True], 3125, 'East', (6, 12))
Element 7: (0, (6, 12), ['', '.', '.', '.'], [(4, 11), (13, 2), (18, 1)], [False, False, False, False], 86, False, [False, True, True, True], 3154, 'East', (7, 12))
Element 8: (0, (7, 12), ['', '%', '.', '.'], [(5, 11), (14, 2), (17, 1)], [False, True, False, False], 84, False, [False, False, True, True], 3183, 'East', (8, 12))
Element 9: (0, (8, 12), ['', '%', '%', '.'], [(6, 11), (14, 3), (18, 1)], [False, True, True, False], 82, False, [False, False, False, True], 3212, 'East', (9, 12))
Element 10: (0, (9, 12), ['', '%', '.', '.'], [(6, 12), (14, 4), (18, 1)], [False, True, False, False], 80, False, [False, False, True, True], 3231, 'East', (10, 12))
Element 11: (0, (10, 12), ['', '%', '.', '.'], [(6, 13), (15, 4), (17, 1)], [False, True, False, False], 78, False, [False, False, True, True], 3260, 'East', (11, 12))
Element 12: (0, (11, 12), ['', '%', '%', '.'], [(7, 13), (16, 4), (18, 1)], [False, True, True, False], 76, False, [False, False, False, True], 3289, 'East', (12, 12))
Element 13: (0, (12, 12), ['', '.', '.', '.'], [(7, 12), (17, 4), (18, 1)], [False, False, False, False], 74, False, [False, True, True, True], 3308, 'East', (13, 12))
Element 14: (0, (13, 12), ['', '.', '.', '%'], [(8, 12), (18, 4), (17, 1)], [False, False, False, True], 72, False, [False, True, True, False], 3327, 'North', (13, 13))
Element 15: (0, (13, 13), ['.', '', '%', '.'], [(9, 12), (18, 5), (18, 1)], [False, False, True, False], 70, False, [True, False, False, True], 3346, 'East', (14, 13))
Element 16: (0, (14, 13), ['', '%', '%', '.'], [(9, 13), (17, 5), (18, 1)], [False, True, True, False], 68, False, [False, False, False, True], 3375, 'East', (15, 13))
Element 17: (0, (15, 13), ['', '.', '%', '.'], [(10, 13), (17, 6), (17, 1)], [False, False, True, False], 66, False, [False, True, False, True], 3404, 'East', (16, 13))
Element 18: (0, (16, 13), ['', '.', '%', '.'], [(10, 12), (17, 7), (18, 1)], [False, False, True, False], 64, False, [False, True, False, True], 3423, 'East', (17, 13))
Element 19: (0, (17, 13), ['', '.', '%', '.'], [(11, 12), (18, 7), (18, 1)], [False, False, True, False], 62, False, [False, True, False, True], 3442, 'East', (18, 13))
Element 20: (0, (18, 13), ['', '.', '%', '%'], [(12, 12), (17, 7), (17, 1)], [False, False, True, True], 60, False, [False, True, False, False], 3451, 'South', (18, 12))
Element 21: (0, (18, 12), ['.', '.', '', '%'], [(12, 13), (17, 6), (18, 1)], [False, False, False, True], 58, False, [True, True, False, False], 3470, 'South', (18, 11))
Element 22: (0, (18, 11), ['.', '.', '', '%'], [(13, 13), (16, 6), (18, 1)], [False, False, False, True], 56, False, [True, True, False, False], 3489, 'South', (18, 10))
