Element 1: (1, (2, 10), ['.', '%', 'F', '.'], [(10, 7), (5, 13), (18, 11)], [False, True, False, False], 98, False, [True, False, False, True], 9, 'North', (2, 11))
Element 2: (1, (2, 11), ['F', '', '.', '%'], [(10, 8), (6, 13), (18, 12)], [False, False, False, True], 96, False, [False, False, True, False], 1038, 'West', (1, 11))
Element 3: (1, (1, 11), ['%', '.', '.', ''], [(9, 8), (7, 13), (18, 13)], [True, False, False, False], 94, False, [False, True, True, False], 2067, 'North', (1, 12))
Element 4: (1, (1, 12), ['%', '', '.', '.'], [(8, 8), (7, 12), (17, 13)], [True, False, False, False], 92, False, [False, False, True, True], 2106, 'East', (2, 12))
Element 5: (1, (2, 12), ['', '', '%', '.'], [(8, 9), (8, 12), (17, 12)], [False, False, True, False], 90, False, [False, False, False, True], 2145, 'East', (3, 12))
Element 6: (1, (3, 12), ['', '%', '.', '.'], [(7, 9), (9, 12), (17, 11)], [False, True, False, False], 88, False, [False, False, True, True], 2184, 'East', (4, 12))
Element 7: (1, (4, 12), ['', '.', '.', '.'], [(7, 8), (10, 12), (17, 10)], [False, False, False, False], 86, False, [False, True, True, True], 2223, 'East', (5, 12))
Element 8: (1, (5, 12), ['', '.', '', '.'], [(6, 8), (11, 12), (18, 10)], [False, False, False, False], 84, False, [False, True, False, True], 2262, 'East', (6, 12))
Element 9: (1, (6, 12), ['', '.', '', ''], [(6, 9), (12, 12), (17, 10)], [False, False, False, False], 82, False, [False, True, False, False], 2291, 'South', (6, 11))
Element 10: (1, (6, 11), ['.', '%', '', '%'], [(6, 8), (13, 12), (17, 9)], [False, True, False, True], 80, False, [True, False, False, False], 2320, 'West', (5, 11))
Element 11: (1, (5, 11), ['.', '%', '', ''], [(5, 8), (13, 13), (16, 9)], [False, True, False, False], 78, False, [True, False, False, False], 2359, 'West', (4, 11))
Element 12: (1, (4, 11), ['%', '.', '', ''], [(4, 8), (14, 13), (16, 10)], [True, False, False, False], 76, False, [False, True, False, False], 2398, 'South', (4, 10))
Element 13: (1, (4, 10), ['.', '%', '', '%'], [(5, 8), (15, 13), (16, 11)], [False, True, False, True], 74, False, [True, False, False, False], 2427, 'West', (3, 10))
Element 14: (1, (3, 10), ['', '%', '%', ''], [(6, 8), (16, 13), (16, 12)], [False, True, True, False], 72, False, [False, False, False, False], 2456, 'East', (4, 10))
Element 15: (1, (4, 10), ['', '%', '', '%'], [(7, 8), (17, 13), (15, 12)], [False, True, False, True], 70, False, [False, False, False, False], 2465, 'North', (4, 11))
Element 16: (1, (4, 11), ['%', '', '', ''], [(7, 9), (18, 13), (15, 13)], [True, False, False, False], 68, False, [False, False, False, False], 2464, 'East', (5, 11))
Element 17: (1, (5, 11), ['', '%', '', ''], [(6, 9), (18, 12), (16, 13)], [False, True, False, False], 66, False, [False, False, False, False], 2463, 'East', (6, 11))
Element 18: (1, (6, 11), ['', '%', '', '%'], [(7, 9), (18, 11), (15, 13)], [False, True, False, True], 64, False, [False, False, False, False], 2462, 'North', (6, 12))
Element 19: (1, (6, 12), ['', '', '', ''], [(8, 9), (18, 10), (14, 13)], [False, False, False, False], 62, False, [False, False, False, False], 2461, 'East', (7, 12))
Element 20: (1, (7, 12), ['', '%', '', ''], [(8, 8), (17, 10), (13, 13)], [False, True, False, False], 60, False, [False, False, False, False], 2460, 'East', (8, 12))
Element 21: (1, (8, 12), ['', '%', '%', ''], [(7, 8), (17, 11), (12, 13)], [False, True, True, False], 58, False, [False, False, False, False], 2469, 'East', (9, 12))
Element 22: (1, (9, 12), ['', '%', '.', ''], [(8, 8), (17, 12), (12, 12)], [False, True, False, False], 56, False, [False, False, True, False], 2468, 'North', (9, 13))
Element 23: (1, (9, 13), ['%', '', '%', '.'], [(9, 8), (16, 12), (12, 11)], [True, False, True, False], 54, False, [False, False, False, True], 2487, 'East', (10, 13))
Element 24: (1, (10, 13), ['', '', '%', '%'], [(10, 8), (16, 11), (13, 11)], [False, False, True, True], 52, False, [False, False, False, False], 2506, 'South', (10, 12))
Element 25: (1, (10, 12), ['', '%', '', ''], [(10, 7), (16, 10), (13, 12)], [False, True, False, False], 50, False, [False, False, False, False], 2505, 'East', (11, 12))
Element 26: (1, (11, 12), ['', '%', '%', ''], [(9, 7), (16, 9), (13, 11)], [False, True, True, False], 48, False, [False, False, False, False], 2504, 'East', (12, 12))
Element 27: (1, (12, 12), ['', 'G', '', ''], [(9, 8), (17, 9), (12, 11)], [False, False, False, False], 46, False, [False, False, False, False], 2503, 'East', (13, 12))
Element 28: (1, (13, 12), ['G', '', '', '%'], [(9, 7), (16, 9), (12, 12)], [False, False, False, True], 44, False, [False, False, False, False], 2502, 'North', (13, 13))
Element 29: (1, (13, 13), ['', 'G', '%', ''], [(9, 6), (16, 10), (13, 12)], [False, False, True, False], 42, False, [False, False, False, False], 2511, 'East', (14, 13))
Element 30: (1, (14, 13), ['', '%', '%', ''], [(9, 5), (16, 11), (12, 12)], [False, True, True, False], 40, False, [False, False, False, False], 2520, 'East', (15, 13))
Element 31: (1, (15, 13), ['', '', '%', ''], [(10, 5), (16, 12), (11, 12)], [False, False, True, False], 38, False, [False, False, False, False], 3519, 'East', (16, 13))
Element 32: (1, (16, 13), ['', '', '%', ''], [(10, 4), (15, 12), (10, 12)], [False, False, True, False], 36, False, [False, False, False, False], 3528, 'East', (17, 13))
Element 33: (1, (17, 13), ['', '', '%', ''], [(11, 4), (16, 12), (10, 13)], [False, False, True, False], 34, False, [False, False, False, False], 3537, 'East', (18, 13))
Element 34: (1, (18, 13), ['', '', '%', '%'], [(12, 4), (17, 12), (9, 13)], [False, False, True, True], 32, False, [False, False, False, False], 3546, 'South', (18, 12))
Element 35: (1, (18, 12), ['', '', '', '%'], [(13, 4), (17, 11), (9, 12)], [False, False, False, True], 30, False, [False, False, False, False], 3555, 'South', (18, 11))
Element 36: (1, (18, 11), ['', '', '', '%'], [(14, 4), (16, 11), (8, 12)], [False, False, False, True], 28, False, [False, False, False, False], 3564, 'South', (18, 10))
Element 37: (1, (18, 10), ['', '%', '', '%'], [(15, 4), (17, 11), (7, 12)], [False, True, False, True], 26, False, [False, False, False, False], 3573, 'West', (17, 10))
Element 38: (1, (17, 10), ['', '', '', ''], [(16, 4), (16, 11), (7, 13)], [False, False, False, False], 24, False, [False, False, False, False], 3582, 'North', (17, 11))
Element 39: (1, (17, 11), ['', '', '', ''], [(17, 4), (16, 10), (6, 13)], [False, False, False, False], 22, False, [False, False, False, False], 3591, 'North', (17, 12))
Element 40: (1, (17, 12), ['', '', '', ''], [(18, 4), (17, 10), (6, 12)], [False, False, False, False], 20, False, [False, False, False, False], 3600, 'West', (16, 12))
Element 41: (1, (16, 12), ['', '', '', ''], [(18, 5), (16, 10), (6, 11)], [False, False, False, False], 18, False, [False, False, False, False], 3609, 'South', (16, 11))
Element 42: (1, (16, 11), ['%', '', '', ''], [(17, 5), (17, 10), (5, 11)], [True, False, False, False], 16, False, [False, False, False, False], 3618, 'South', (16, 10))
