Element 17: (1, (15, 7), ['.', '', '.', '%'], [(17, 7), (17, 10), (16, 9)], [False, False, False, True], 66, False, [True, False, True, False], 1493, 'North', (15, 8))
Element 18: (1, (15, 8), ['.', '', '%', '%'], [(17, 6), (18, 10), (16, 10)], [False, False, True, True], 64, False, [True, False, False, False], 1502, 'West', (14, 8))
Element 19: (1, (14, 8), ['.', '.', '%', ''], [(17, 5), (17, 10), (16, 11)], [False, False, True, False], 62, False, [True, True, False, False], 1511, 'South', (14, 7))
Element 20: (1, (14, 7), ['%', '%', '', ''], [(18, 5), (17, 9), (17, 11)], [True, True, False, False], 60, False, [False, False, False, False], 1520, 'North', (14, 8))
Element 21: (1, (14, 8), ['.', '', '%', ''], [(18, 4), (16, 9), (16, 11)], [False, False, True, False], 58, False, [True, False, False, False], 1519, 'West', (13, 8))
Element 22: (1, (13, 8), ['%', '%', '%', ''], [(18, 3), (17, 9), (16, 10)], [True, True, True, False], 56, False, [False, False, False, False], 1538, 'East', (14, 8))
Element 23: (1, (14, 8), ['', '', '%', ''], [(17, 3), (17, 10), (16, 9)], [False, False, True, False], 54, False, [False, False, False, False], 1547, 'East', (15, 8))
Element 24: (1, (15, 8), ['', '', '%', '%'], [(16, 3), (16, 10), (16, 10)], [False, False, True, True], 52, False, [False, False, False, False], 1556, 'South', (15, 7))
Element 25: (1, (15, 7), ['', '', '', '%'], [(17, 3), (16, 9), (16, 11)], [False, False, False, True], 50, False, [False, False, False, False], 1555, 'West', (14, 7))
Element 26: (1, (14, 7), ['%', '%', '', ''], [(18, 3), (16, 10), (17, 11)], [True, True, False, False], 48, False, [False, False, False, False], 1554, 'East', (15, 7))
Element 27: (1, (15, 7), ['', '', '', '%'], [(18, 4), (16, 11), (18, 11)], [False, False, False, True], 46, False, [False, False, False, False], 1553, 'South', (15, 6))
Element 28: (1, (15, 6), ['%', '', '', ''], [(17, 4), (16, 12), (18, 12)], [True, False, False, False], 44, False, [False, False, False, False], 1552, 'East', (16, 6))
Element 29: (1, (16, 6), ['', '', '%', ''], [(17, 5), (17, 12), (18, 11)], [False, False, True, False], 42, False, [False, False, False, False], 1551, 'East', (17, 6))
Element 30: (1, (17, 6), ['', '', '', '%'], [(17, 4), (16, 12), (18, 12)], [False, False, False, True], 40, False, [False, False, False, False], 1550, 'North', (17, 7))
Element 31: (1, (17, 7), ['%', '', '%', ''], [(17, 3), (15, 12), (17, 12)], [True, False, True, False], 38, False, [False, False, False, False], 1549, 'East', (18, 7))
Element 32: (1, (18, 7), ['', '%', '%', '%'], [(17, 4), (16, 12), (17, 11)], [False, True, True, True], 36, False, [False, False, False, False], 1548, 'West', (17, 7))
Element 33: (1, (17, 7), ['%', '', '%', ''], [(16, 4), (16, 11), (17, 12)], [True, False, True, False], 34, False, [False, False, False, False], 1547, 'South', (17, 6))
Element 34: (1, (17, 6), ['', '', '', '%'], [(16, 5), (17, 11), (16, 12)], [False, False, False, True], 32, False, [False, False, False, False], 1546, 'South', (17, 5))
Element 35: (1, (17, 5), ['', '', '', ''], [(16, 6), (17, 12), (16, 13)], [False, False, False, False], 30, False, [False, False, False, False], 1545, 'East', (18, 5))
Element 36: (1, (18, 5), ['', '', '%', '%'], [(15, 6), (17, 11), (16, 12)], [False, False, True, True], 28, False, [False, False, False, False], 1544, 'South', (18, 4))
Element 37: (1, (18, 4), ['', '', '', '%'], [(15, 7), (17, 10), (16, 11)], [False, False, False, True], 26, False, [False, False, False, False], 1543, 'South', (18, 3))
Element 38: (1, (18, 3), ['', '%', '', '%'], [(15, 8), (17, 11), (16, 12)], [False, True, False, True], 24, False, [False, False, False, False], 1542, 'West', (17, 3))
Element 39: (1, (17, 3), ['', '%', '', ''], [(14, 8), (18, 11), (15, 12)], [False, True, False, False], 22, False, [False, False, False, False], 1541, 'North', (17, 4))
Element 40: (1, (17, 4), ['', '', '', ''], [(14, 7), (18, 10), (15, 13)], [False, False, False, False], 20, False, [False, False, False, False], 1540, 'West', (16, 4))
Element 41: (1, (16, 4), ['', '', '', ''], [(14, 8), (18, 11), (14, 13)], [False, False, False, False], 18, False, [False, False, False, False], 1539, 'South', (16, 3))
Element 42: (1, (16, 3), ['%', '%', '', ''], [(13, 8), (18, 12), (13, 13)], [True, True, False, False], 16, False, [False, False, False, False], 1538, 'North', (16, 4))
Element 43: (1, (16, 4), ['', '', '', ''], [(14, 8), (17, 12), (12, 13)], [False, False, False, False], 14, False, [False, False, False, False], 1547, 'West', (15, 4))
Element 44: (1, (15, 4), ['', '%', '', ''], [(15, 8), (18, 12), (12, 12)], [False, True, False, False], 12, False, [False, False, False, False], 1546, 'West', (14, 4))
Element 45: (1, (14, 4), ['', '', '', ''], [(15, 7), (18, 13), (12, 11)], [False, False, False, False], 10, False, [False, False, False, False], 1555, 'East', (15, 4))
Element 46: (1, (15, 4), ['', '%', '', ''], [(14, 7), (17, 13), (13, 11)], [False, True, False, False], 8, False, [False, False, False, False], 1564, 'East', (16, 4))
Element 47: (1, (16, 4), ['', '', '', ''], [(15, 7), (17, 12), (13, 12)], [False, False, False, False], 6, False, [False, False, False, False], 1563, 'East', (17, 4))
Element 48: (1, (17, 4), ['', '', '', ''], [(15, 6), (17, 13), (13, 11)], [False, False, False, False], 4, False, [False, False, False, False], 1562, 'South', (17, 3))
Element 49: (1, (17, 3), ['', '%', '', ''], [(15, 5), (16, 13), (12, 11)], [False, True, False, False], 2, False, [False, False, False, False], 1561, 'West', (16, 3))
Element 50: (1, (16, 3), ['%', '%', '', ''], [(15, 5), (16, 12), (12, 12)], [True, True, False, False], 0, False, [False, False, False, False], 1560, 'Stop', (16, 3))
Element 51: #0#
