Element 1: (0, (9, 1), ['.', '%', 'F', '%'], [(8, 3), (10, 7), (16, 11)], [False, True, False, True], 98, False, [True, False, False, False], 0, 'North', (9, 2))
Element 2: (0, (9, 2), ['.', '', 'G', '.'], [(9, 3), (10, 8), (17, 11)], [False, False, False, False], 96, False, [True, False, False, True], 1029, 'East', (10, 2))
Element 3: (0, (10, 2), ['', '%', 'G', '.'], [(10, 3), (9, 8), (18, 11)], [False, True, False, False], 94, False, [False, False, False, True], 1068, 'East', (11, 2))
Element 4: (0, (11, 2), ['', '.', 'G', '.'], [(11, 3), (9, 7), (18, 12)], [False, False, False, False], 92, False, [False, True, False, True], 1107, 'East', (12, 2))
Element 5: (0, (12, 2), ['', '.', '%', '.'], [(11, 4), (9, 6), (18, 13)], [False, False, True, False], 90, False, [False, True, False, True], 1146, 'East', (13, 2))
Element 6: (0, (13, 2), ['', '.', '.', '.'], [(12, 4), (9, 5), (17, 13)], [False, False, False, False], 88, False, [False, True, True, True], 1185, 'East', (14, 2))
Element 7: (0, (14, 2), ['', '.', '.', '%'], [(13, 4), (10, 5), (17, 12)], [False, False, False, True], 86, False, [False, True, True, False], 2214, 'North', (14, 3))
Element 8: (0, (14, 3), ['.', '', 'G', '%'], [(14, 4), (10, 4), (16, 12)], [False, False, False, True], 84, False, [True, False, False, False], 2253, 'West', (13, 3))
Element 9: (0, (13, 3), ['%', '', '', ''], [(15, 4), (9, 4), (16, 13)], [True, False, False, False], 82, False, [False, False, False, False], 2292, 'North', (13, 4))
Element 10: (0, (13, 4), ['', '', '.', ''], [(16, 4), (8, 4), (15, 13)], [False, False, False, False], 80, False, [False, False, True, False], 2321, 'North', (13, 5))
Element 11: (0, (13, 5), ['.', '', '.', '.'], [(17, 4), (8, 5), (15, 12)], [False, False, False, False], 78, False, [True, False, True, True], 2360, 'East', (14, 5))
Element 12: (0, (14, 5), ['', '', '%', '.'], [(18, 4), (8, 6), (15, 13)], [False, False, True, False], 76, False, [False, False, False, True], 2389, 'East', (15, 5))
Element 13: (0, (15, 5), ['', '', '.', '.'], [(18, 5), (8, 5), (14, 13)], [False, False, False, False], 74, False, [False, False, True, True], 2418, 'East', (16, 5))
Element 14: (0, (16, 5), ['', '', '.', 'G'], [(17, 5), (8, 4), (13, 13)], [False, False, False, False], 72, False, [False, False, True, False], 2447, 'North', (16, 6))
Element 15: (0, (16, 6), ['.', '', '%', 'G'], [(17, 6), (8, 3), (13, 12)], [False, False, True, False], 70, False, [True, False, False, False], 2476, 'West', (15, 6))
Element 16: (0, (15, 6), ['%', '', '.', ''], [(17, 7), (8, 2), (13, 11)], [True, False, False, False], 68, False, [False, False, True, False], 2515, 'North', (15, 7))
Element 17: (0, (15, 7), ['.', '', '.', '%'], [(18, 7), (8, 1), (12, 11)], [False, False, False, True], 66, False, [True, False, True, False], 2554, 'North', (15, 8))
Element 18: (0, (15, 8), ['.', '', '%', '%'], [(17, 7), (7, 1), (12, 12)], [False, False, True, True], 64, False, [True, False, False, False], 2583, 'West', (14, 8))
Element 19: (0, (14, 8), ['.', '.', '%', ''], [(17, 6), (7, 2), (12, 13)], [False, False, True, False], 62, False, [True, True, False, False], 2612, 'South', (14, 7))
Element 20: (0, (14, 7), ['%', '%', '', ''], [(16, 6), (7, 3), (12, 12)], [True, True, False, False], 60, False, [False, False, False, False], 2631, 'North', (14, 8))
Element 21: (0, (14, 8), ['.', '', '%', ''], [(16, 5), (6, 3), (11, 12)], [False, False, True, False], 58, False, [True, False, False, False], 2650, 'West', (13, 8))
Element 22: (0, (13, 8), ['%', '%', '%', ''], [(15, 5), (6, 4), (10, 12)], [True, True, True, False], 56, False, [False, False, False, False], 2679, 'East', (14, 8))
Element 23: (0, (14, 8), ['', '', '%', ''], [(15, 6), (6, 5), (10, 13)], [False, False, True, False], 54, False, [False, False, False, False], 2698, 'East', (15, 8))
Element 24: (0, (15, 8), ['', 'G', '%', '%'], [(15, 7), (6, 6), (9, 13)], [False, False, True, True], 52, False, [False, False, False, False], 2717, 'West', (14, 8))
Element 25: (0, (14, 8), ['', '', '%', 'G'], [(15, 8), (5, 6), (9, 12)], [False, False, True, False], 50, False, [False, False, False, False], 2736, 'South', (14, 7))
Element 26: (0, (14, 7), ['%', '%', 'G', ''], [(14, 8), (5, 5), (8, 12)], [True, True, False, False], 48, False, [False, False, False, False], 2755, 'East', (15, 7))
Element 27: (0, (15, 7), ['G', '', '', '%'], [(14, 7), (4, 5), (7, 12)], [False, False, False, True], 46, False, [False, False, False, False], 2774, 'South', (15, 6))
Element 28: (0, (15, 6), ['%', '', '', ''], [(14, 8), (4, 6), (7, 13)], [True, False, False, False], 44, False, [False, False, False, False], 2793, 'East', (16, 6))
Element 29: (0, (16, 6), ['', '', '%', ''], [(13, 8), (3, 6), (6, 13)], [False, False, True, False], 42, False, [False, False, False, False], 2812, 'South', (16, 5))
Element 30: (0, (16, 5), ['', '', '', ''], [(14, 8), (3, 7), (6, 12)], [False, False, False, False], 40, False, [False, False, False, False], 2831, 'South', (16, 4))
Element 31: (0, (16, 4), ['', '.', '', ''], [(15, 8), (2, 7), (6, 11)], [False, False, False, False], 38, False, [False, True, False, False], 2850, 'South', (16, 3))
Element 32: (0, (16, 3), ['%', '%', '', '.'], [(15, 7), (2, 8), (5, 11)], [True, True, False, False], 36, False, [False, False, False, True], 3869, 'East', (17, 3))
Element 33: (0, (17, 3), ['', '%', '', '.'], [(14, 7), (1, 8), (5, 12)], [False, True, False, False], 34, False, [False, False, False, True], 4888, 'East', (18, 3))
Element 34: (0, (18, 3), ['', '%', '', '%'], [(15, 7), (1, 7), (5, 13)], [False, True, False, True], 32, False, [False, False, False, False], 4917, 'North', (18, 4))
Element 35: (0, (18, 4), ['', '', '', '%'], [(15, 6), (1, 6), (4, 13)], [False, False, False, True], 30, False, [False, False, False, False], 4936, 'North', (18, 5))
Element 36: (0, (18, 5), ['', '', '%', '%'], [(15, 5), (2, 6), (4, 12)], [False, False, True, True], 28, False, [False, False, False, False], 4955, 'West', (17, 5))
Element 37: (0, (17, 5), ['', '', '', ''], [(14, 5), (2, 5), (4, 11)], [False, False, False, False], 26, False, [False, False, False, False], 4974, 'North', (17, 6))
Element 38: (0, (17, 6), ['', '', '', '%'], [(13, 5), (3, 5), (4, 10)], [False, False, False, True], 24, False, [False, False, False, False], 4993, 'North', (17, 7))
Element 39: (0, (17, 7), ['%', '', '%', ''], [(13, 6), (3, 4), (3, 10)], [True, False, True, False], 22, False, [False, False, False, False], 5022, 'East', (18, 7))
Element 40: (0, (18, 7), ['', '%', '%', '%'], [(12, 6), (4, 4), (2, 10)], [False, True, True, True], 20, False, [False, False, False, False], 5051, 'West', (17, 7))
Element 41: (0, (17, 7), ['%', '', '%', ''], [(12, 5), (4, 3), (2, 11)], [True, False, True, False], 18, False, [False, False, False, False], 6070, 'South', (17, 6))
Element 42: #1#
