Element 1: (0, (9, 4), ['G', '.', '.', '.'], [(8, 4), (12, 1), (17, 4)], [False, False, False, False], 98, False, [False, True, True, True], 0, 'East', (10, 4))
Element 2: (0, (10, 4), ['', '.', 'F', '.'], [(8, 5), (13, 1), (18, 4)], [False, False, False, False], 96, False, [False, True, False, True], 39, 'North', (10, 5))
Element 3: (0, (10, 5), ['G', '', '%', '%'], [(9, 5), (14, 1), (18, 5)], [False, False, True, True], 94, False, [False, False, False, False], 1068, 'South', (10, 4))
Element 4: (0, (10, 4), ['', '.', '', '.'], [(9, 6), (15, 1), (17, 5)], [False, False, False, False], 92, False, [False, True, False, True], 1097, 'East', (11, 4))
Element 5: (0, (11, 4), ['', '.', '%', '.'], [(9, 7), (14, 1), (17, 6)], [False, False, True, False], 90, False, [False, True, False, True], 1126, 'East', (12, 4))
Element 6: (0, (12, 4), ['', '%', '.', '.'], [(10, 7), (14, 2), (17, 7)], [False, True, False, False], 88, False, [False, False, True, True], 1165, 'East', (13, 4))
Element 7: (0, (13, 4), ['', '.', '.', '.'], [(10, 8), (14, 3), (18, 7)], [False, False, False, False], 86, False, [False, True, True, True], 1204, 'East', (14, 4))
Element 8: (0, (14, 4), ['', '', '.', '.'], [(9, 8), (13, 3), (17, 7)], [False, False, False, False], 84, False, [False, False, True, True], 1233, 'East', (15, 4))
Element 9: (0, (15, 4), ['', '%', '.', '.'], [(8, 8), (13, 2), (17, 6)], [False, True, False, False], 82, False, [False, False, True, True], 1262, 'East', (16, 4))
Element 10: (0, (16, 4), ['', '.', '.', ''], [(8, 9), (12, 2), (16, 6)], [False, False, False, False], 80, False, [False, True, True, False], 1301, 'North', (16, 5))
Element 11: (0, (16, 5), ['.', '', '', ''], [(7, 9), (11, 2), (15, 6)], [False, False, False, False], 78, False, [True, False, False, False], 1340, 'West', (15, 5))
Element 12: (0, (15, 5), ['.', '', '', ''], [(7, 8), (11, 3), (15, 7)], [False, False, False, False], 76, False, [True, False, False, False], 1379, 'West', (14, 5))
Element 13: (0, (14, 5), ['.', '', '%', ''], [(6, 8), (10, 3), (15, 8)], [False, False, True, False], 74, False, [True, False, False, False], 1418, 'West', (13, 5))
Element 14: (0, (13, 5), ['.', '', '.', ''], [(6, 9), (10, 2), (14, 8)], [False, False, False, False], 72, False, [True, False, True, False], 1457, 'North', (13, 6))
