Element 1: (1, (1, 5), ['%', '', '.', '.'], [(2, 4), (10, 3), (18, 12)], [True, False, False, False], 98, False, [False, False, True, True], 9, 'East', (2, 5))
Element 2: (1, (2, 5), ['', '', '.', '.'], [(3, 4), (11, 3), (18, 13)], [False, False, False, False], 96, False, [False, False, True, True], 48, 'East', (3, 5))
Element 3: (1, (3, 5), ['', '', '.', '.'], [(4, 4), (11, 4), (17, 13)], [False, False, False, False], 94, False, [False, False, True, True], 87, 'East', (4, 5))
Element 4: (1, (4, 5), ['', '', '.', '.'], [(4, 3), (12, 4), (17, 12)], [False, False, False, False], 92, False, [False, False, True, True], 126, 'East', (5, 5))
Element 5: (1, (5, 5), ['', '%', '.', '.'], [(5, 3), (13, 4), (17, 11)], [False, True, False, False], 90, False, [False, False, True, True], 165, 'East', (6, 5))
Element 6: (1, (6, 5), ['', '.', '.', '%'], [(6, 3), (14, 4), (18, 11)], [False, False, False, True], 88, False, [False, True, True, False], 204, 'North', (6, 6))
Element 7: (1, (6, 6), ['.', '', '%', '%'], [(7, 3), (15, 4), (18, 10)], [False, False, True, True], 86, False, [True, False, False, False], 243, 'West', (5, 6))
Element 8: (1, (5, 6), ['.', '', '%', ''], [(8, 3), (16, 4), (17, 10)], [False, False, True, False], 84, False, [True, False, False, False], 282, 'West', (4, 6))
Element 9: (1, (4, 6), ['.', '', '%', ''], [(9, 3), (17, 4), (17, 9)], [False, False, True, False], 82, False, [True, False, False, False], 321, 'West', (3, 6))
Element 10: (1, (3, 6), ['.', '', '.', ''], [(9, 2), (18, 4), (16, 9)], [False, False, False, False], 80, False, [True, False, True, False], 1350, 'North', (3, 7))
Element 11: (1, (3, 7), ['.', '', '%', '%'], [(10, 2), (18, 5), (16, 10)], [False, False, True, True], 78, False, [True, False, False, False], 1389, 'West', (2, 7))
Element 12: (1, (2, 7), ['.', '.', 'F', ''], [(11, 2), (17, 5), (16, 11)], [False, False, False, False], 76, False, [True, True, False, False], 1428, 'North', (2, 8))
Element 13: (1, (2, 8), ['F', '', '%', '%'], [(12, 2), (17, 6), (16, 12)], [False, False, True, True], 74, False, [False, False, False, False], 2457, 'West', (1, 8))
Element 14: (1, (1, 8), ['%', '.', '%', ''], [(13, 2), (17, 7), (16, 13)], [True, False, True, False], 72, False, [False, True, False, False], 3486, 'South', (1, 7))
Element 15: (1, (1, 7), ['%', '.', '', ''], [(14, 2), (18, 7), (15, 13)], [True, False, False, False], 70, False, [False, True, False, False], 3525, 'South', (1, 6))
Element 16: (1, (1, 6), ['%', '', '', '.'], [(14, 3), (17, 7), (15, 12)], [True, False, False, False], 68, False, [False, False, False, True], 3554, 'East', (2, 6))
Element 17: (1, (2, 6), ['', '', '', ''], [(13, 3), (17, 6), (15, 13)], [False, False, False, False], 66, False, [False, False, False, False], 3573, 'West', (1, 6))
Element 18: (1, (1, 6), ['%', '', '', ''], [(13, 4), (16, 6), (14, 13)], [True, False, False, False], 64, False, [False, False, False, False], 3592, 'North', (1, 7))
