Element 39: (3, (17, 11), ['', '', '', ''], [(17, 13), (9, 13), (15, 8)], [False, False, False, False], 22, False, [False, False, False, False], 3621, 'North', (17, 12))
Element 40: (3, (17, 12), ['', '', '', ''], [(16, 13), (10, 13), (15, 7)], [False, False, False, False], 20, False, [False, False, False, False], 3620, 'East', (18, 12))
Element 41: (3, (18, 12), ['', '', '', '%'], [(16, 12), (10, 12), (14, 7)], [False, False, False, True], 18, False, [False, False, False, False], 3619, 'West', (17, 12))
Element 42: (3, (17, 12), ['', '', '', ''], [(16, 13), (9, 12), (15, 7)], [False, False, False, False], 16, False, [False, False, False, False], 3618, 'North', (17, 13))
Element 43: (3, (17, 13), ['', '', '%', ''], [(15, 13), (9, 13), (15, 6)], [False, False, True, False], 14, False, [False, False, False, False], 3617, 'South', (17, 12))
Element 44: (3, (17, 12), ['', '', '', ''], [(15, 12), (9, 12), (15, 5)], [False, False, False, False], 12, False, [False, False, False, False], 3616, 'West', (16, 12))
Element 45: (3, (16, 12), ['', '', '', ''], [(15, 13), (8, 12), (14, 5)], [False, False, False, False], 10, False, [False, False, False, False], 3625, 'South', (16, 11))
Element 46: (3, (16, 11), ['%', '', '', ''], [(14, 13), (7, 12), (13, 5)], [True, False, False, False], 8, False, [False, False, False, False], 3634, 'North', (16, 12))
Element 47: (3, (16, 12), ['', '', '', ''], [(13, 13), (7, 13), (13, 6)], [False, False, False, False], 6, False, [False, False, False, False], 3653, 'North', (16, 13))
Element 48: (3, (16, 13), ['', '', '%', ''], [(12, 13), (6, 13), (12, 6)], [False, False, True, False], 4, False, [False, False, False, False], 3672, 'South', (16, 12))
Element 49: (3, (16, 12), ['', '', '', ''], [(12, 12), (5, 13), (12, 5)], [False, False, False, False], 2, False, [False, False, False, False], 3691, 'West', (15, 12))
Element 50: (3, (15, 12), ['%', '%', '', ''], [(12, 12), (5, 13), (12, 5)], [True, True, False, False], 0, False, [False, False, False, False], 3690, 'Stop', (15, 12))
Element 51: #0#
