Element 1: (2, (2, 5), ['.', '', '.', '.'], [(14, 3), (3, 4), (4, 13)], [False, False, False, False], 98, False, [True, False, True, True], 19, 'East', (3, 5))
Element 2: (2, (3, 5), ['', '', '.', '.'], [(14, 4), (4, 4), (5, 13)], [False, False, False, False], 96, False, [False, False, True, True], 58, 'East', (4, 5))
Element 3: (2, (4, 5), ['', '', '.', '.'], [(15, 4), (4, 3), (6, 13)], [False, False, False, False], 94, False, [False, False, True, True], 97, 'East', (5, 5))
Element 4: (2, (5, 5), ['', '%', '.', '.'], [(16, 4), (5, 3), (7, 13)], [False, True, False, False], 92, False, [False, False, True, True], 136, 'East', (6, 5))
Element 5: (2, (6, 5), ['', '.', '.', '%'], [(17, 4), (6, 3), (7, 12)], [False, False, False, True], 90, False, [False, True, True, False], 175, 'North', (6, 6))
Element 6: (2, (6, 6), ['.', '', '%', '%'], [(18, 4), (7, 3), (8, 12)], [False, False, True, True], 88, False, [True, False, False, False], 214, 'West', (5, 6))
Element 7: (2, (5, 6), ['.', '', '%', ''], [(18, 5), (8, 3), (9, 12)], [False, False, True, False], 86, False, [True, False, False, False], 253, 'West', (4, 6))
Element 8: (2, (4, 6), ['.', '', '%', ''], [(17, 5), (9, 3), (10, 12)], [False, False, True, False], 84, False, [True, False, False, False], 292, 'West', (3, 6))
Element 9: (2, (3, 6), ['.', '', '.', ''], [(17, 6), (9, 2), (11, 12)], [False, False, False, False], 82, False, [True, False, True, False], 1321, 'North', (3, 7))
Element 10: (2, (3, 7), ['.', '', '%', '%'], [(17, 7), (10, 2), (12, 12)], [False, False, True, True], 80, False, [True, False, False, False], 1360, 'West', (2, 7))
Element 11: (2, (2, 7), ['.', '.', 'F', ''], [(18, 7), (11, 2), (13, 12)], [False, False, False, False], 78, False, [True, True, False, False], 1399, 'North', (2, 8))
Element 12: (2, (2, 8), ['F', '', '%', '%'], [(17, 7), (12, 2), (13, 13)], [False, False, True, True], 76, False, [False, False, False, False], 2418, 'West', (1, 8))
Element 13: (2, (1, 8), ['%', '.', '%', ''], [(17, 6), (13, 2), (14, 13)], [True, False, True, False], 74, False, [False, True, False, False], 3437, 'South', (1, 7))
Element 14: (2, (1, 7), ['%', '.', '', ''], [(16, 6), (13, 3), (15, 13)], [True, False, False, False], 72, False, [False, True, False, False], 3476, 'South', (1, 6))
Element 15: (2, (1, 6), ['%', '.', '', '.'], [(16, 5), (13, 4), (16, 13)], [True, False, False, False], 70, False, [False, True, False, True], 3515, 'East', (2, 6))
Element 16: (2, (2, 6), ['', '', '', ''], [(15, 5), (13, 5), (17, 13)], [False, False, False, False], 68, False, [False, False, False, False], 3554, 'West', (1, 6))
Element 17: (2, (1, 6), ['%', '.', '', ''], [(15, 6), (14, 5), (18, 13)], [True, False, False, False], 66, False, [False, True, False, False], 3583, 'South', (1, 5))
Element 18: (2, (1, 5), ['%', '.', '', ''], [(15, 7), (15, 5), (18, 12)], [True, False, False, False], 64, False, [False, True, False, False], 3612, 'South', (1, 4))
Element 19: (2, (1, 4), ['%', '%', '', ''], [(15, 8), (16, 5), (18, 11)], [True, True, False, False], 62, False, [False, False, False, False], 3641, 'East', (2, 4))
Element 20: (2, (2, 4), ['', '.', '', ''], [(14, 8), (17, 5), (18, 10)], [False, False, False, False], 60, False, [False, True, False, False], 3660, 'South', (2, 3))
Element 21: (2, (2, 3), ['%', '.', '', '.'], [(14, 7), (18, 5), (17, 10)], [True, False, False, False], 58, False, [False, True, False, True], 3689, 'East', (3, 3))
Element 22: (2, (3, 3), ['', '%', '', ''], [(14, 8), (18, 4), (17, 11)], [False, True, False, False], 56, False, [False, False, False, False], 3708, 'East', (4, 3))
Element 23: (2, (4, 3), ['', '.', '', ''], [(13, 8), (18, 3), (17, 12)], [False, False, False, False], 54, False, [False, True, False, False], 3737, 'South', (4, 2))
Element 24: (2, (4, 2), ['%', '.', '', '.'], [(14, 8), (17, 3), (16, 12)], [True, False, False, False], 52, False, [False, True, False, True], 3766, 'East', (5, 2))
Element 25: (2, (5, 2), ['', '.', '', '.'], [(15, 8), (16, 3), (16, 11)], [False, False, False, False], 50, False, [False, True, False, True], 3795, 'East', (6, 2))
Element 26: (2, (6, 2), ['', '.', '', '.'], [(15, 7), (16, 4), (16, 10)], [False, False, False, False], 48, False, [False, True, False, True], 3814, 'East', (7, 2))
Element 27: (2, (7, 2), ['', '.', '', '.'], [(14, 7), (17, 4), (16, 9)], [False, False, False, False], 46, False, [False, True, False, True], 3833, 'East', (8, 2))
Element 28: (2, (8, 2), ['', '.', '', ''], [(15, 7), (16, 4), (17, 9)], [False, False, False, False], 44, False, [False, True, False, False], 3852, 'South', (8, 1))
Element 29: (2, (8, 1), ['.', '%', '', '.'], [(15, 6), (15, 4), (16, 9)], [False, True, False, False], 42, False, [True, False, False, True], 3861, 'East', (9, 1))
Element 30: (2, (9, 1), ['', '%', '', '%'], [(15, 5), (14, 4), (16, 10)], [False, True, False, True], 40, False, [False, False, False, False], 3870, 'North', (9, 2))
Element 31: (2, (9, 2), ['', '', '', ''], [(14, 5), (14, 3), (16, 11)], [False, False, False, False], 38, False, [False, False, False, False], 3869, 'East', (10, 2))
