Element 1: (3, (16, 9), ['%', '%', '.', '.'], [(18, 12), (10, 8), (10, 13)], [True, True, False, False], 98, False, [False, False, True, True], 29, 'East', (17, 9))
Element 2: (3, (17, 9), ['', '%', '.', '%'], [(18, 11), (10, 7), (10, 12)], [False, True, False, True], 96, False, [False, False, True, False], 68, 'North', (17, 10))
Element 3: (3, (17, 10), ['.', '', '.', 'G'], [(18, 10), (9, 7), (11, 12)], [False, False, False, False], 94, False, [True, False, True, False], 107, 'North', (17, 11))
Element 4: (3, (17, 11), ['.', 'G', '.', ''], [(17, 10), (9, 6), (12, 12)], [False, False, False, False], 92, False, [True, False, True, False], 136, 'North', (17, 12))
Element 5: (3, (17, 12), ['.', '', '.', ''], [(16, 10), (9, 5), (13, 12)], [False, False, False, False], 90, False, [True, False, True, False], 175, 'North', (17, 13))
Element 6: (3, (17, 13), ['.', '', '%', ''], [(16, 11), (10, 5), (13, 13)], [False, False, True, False], 88, False, [True, False, False, False], 1204, 'West', (16, 13))
Element 7: (3, (16, 13), ['.', 'G', '%', ''], [(16, 12), (10, 4), (14, 13)], [False, False, True, False], 86, False, [True, False, False, False], 1243, 'West', (15, 13))
Element 8: (3, (15, 13), ['', 'G', '%', ''], [(15, 12), (11, 4), (13, 13)], [False, False, True, False], 84, False, [False, False, False, False], 1272, 'West', (14, 13))
Element 9: (3, (14, 13), ['', '%', '%', 'G'], [(15, 13), (12, 4), (12, 13)], [False, True, True, False], 82, False, [False, False, False, False], 1291, 'West', (13, 13))
Element 10: (3, (13, 13), ['', '', '%', ''], [(16, 13), (13, 4), (12, 12)], [False, False, True, False], 80, False, [False, False, False, False], 1300, 'South', (13, 12))
Element 11: (3, (13, 12), ['', '.', '', '%'], [(17, 13), (14, 4), (11, 12)], [False, False, False, True], 78, False, [False, True, False, False], 1309, 'South', (13, 11))
Element 12: (3, (13, 11), ['.', '%', '', '%'], [(17, 12), (15, 4), (10, 12)], [False, True, False, True], 76, False, [True, False, False, False], 1328, 'West', (12, 11))
Element 13: (3, (12, 11), ['%', '%', '', ''], [(17, 11), (16, 4), (11, 12)], [True, True, False, False], 74, False, [False, False, False, False], 1347, 'North', (12, 12))
Element 14: (3, (12, 12), ['', '', '', ''], [(17, 12), (17, 4), (10, 12)], [False, False, False, False], 72, False, [False, False, False, False], 1356, 'North', (12, 13))
Element 15: (3, (12, 13), ['%', '', '%', ''], [(17, 13), (18, 4), (10, 13)], [True, False, True, False], 70, False, [False, False, False, False], 1365, 'South', (12, 12))
Element 16: (3, (12, 12), ['', '', '', ''], [(16, 13), (18, 5), (9, 13)], [False, False, False, False], 68, False, [False, False, False, False], 1374, 'West', (11, 12))
Element 17: (3, (11, 12), ['', '%', '%', ''], [(15, 13), (17, 5), (9, 12)], [False, True, True, False], 66, False, [False, False, False, False], 1393, 'West', (10, 12))
Element 18: (3, (10, 12), ['', '%', '', ''], [(14, 13), (17, 6), (8, 12)], [False, True, False, False], 64, False, [False, False, False, False], 1412, 'North', (10, 13))
