Element 1: (1, (9, 5), ['.', '.', '.', 'F'], [(7, 13), (11, 2), (12, 11)], [False, False, False, False], 98, False, [True, True, True, False], 9, 'East', (10, 5))
Element 2: (1, (10, 5), ['', '.', '%', '%'], [(7, 12), (12, 2), (13, 11)], [False, False, True, True], 96, False, [False, True, False, False], 1038, 'South', (10, 4))
Element 3: (1, (10, 4), ['.', '.', '', '.'], [(8, 12), (13, 2), (13, 12)], [False, False, False, False], 94, False, [True, True, False, True], 1077, 'East', (11, 4))
Element 4: (1, (11, 4), ['', '.', '%', '.'], [(9, 12), (14, 2), (13, 13)], [False, False, True, False], 92, False, [False, True, False, True], 1116, 'East', (12, 4))
Element 5: (1, (12, 4), ['', '%', '.', '.'], [(10, 12), (14, 3), (14, 13)], [False, True, False, False], 90, False, [False, False, True, True], 1155, 'East', (13, 4))
Element 6: (1, (13, 4), ['', '.', '.', 'G'], [(11, 12), (14, 4), (15, 13)], [False, False, False, False], 88, False, [False, True, True, False], 1194, 'North', (13, 5))
Element 7: (1, (13, 5), ['.', '', '.', '.'], [(12, 12), (15, 4), (16, 13)], [False, False, False, False], 86, False, [True, False, True, True], 1233, 'East', (14, 5))
Element 8: (1, (14, 5), ['', '', '%', '.'], [(12, 13), (16, 4), (17, 13)], [False, False, True, False], 84, False, [False, False, False, True], 1272, 'East', (15, 5))
Element 9: (1, (15, 5), ['', '', '.', '.'], [(13, 13), (17, 4), (18, 13)], [False, False, False, False], 82, False, [False, False, True, True], 1301, 'East', (16, 5))
Element 10: (1, (16, 5), ['', '', '.', '.'], [(14, 13), (18, 4), (18, 12)], [False, False, False, False], 80, False, [False, False, True, True], 1330, 'East', (17, 5))
Element 11: (1, (17, 5), ['', '', '.', 'G'], [(15, 13), (18, 5), (18, 11)], [False, False, False, False], 78, False, [False, False, True, False], 1359, 'North', (17, 6))
Element 12: (1, (17, 6), ['.', 'G', '.', '%'], [(15, 12), (17, 5), (18, 10)], [False, False, False, True], 76, False, [True, False, True, False], 1388, 'North', (17, 7))
Element 13: (1, (17, 7), ['%', 'G', '%', '.'], [(16, 12), (17, 6), (17, 10)], [True, False, True, False], 74, False, [False, False, False, True], 1417, 'East', (18, 7))
Element 14: (1, (18, 7), ['', '%', '%', '%'], [(17, 12), (16, 6), (17, 11)], [False, True, True, True], 72, False, [False, False, False, False], 1456, 'West', (17, 7))
Element 15: (1, (17, 7), ['%', '', '%', ''], [(18, 12), (15, 6), (16, 11)], [True, False, True, False], 70, False, [False, False, False, False], 1475, 'South', (17, 6))
Element 16: (1, (17, 6), ['', '', '', '%'], [(18, 13), (15, 7), (16, 10)], [False, False, False, True], 68, False, [False, False, False, False], 1494, 'West', (16, 6))
Element 17: (1, (16, 6), ['', '', '%', ''], [(17, 13), (15, 8), (16, 9)], [False, False, True, False], 66, False, [False, False, False, False], 1513, 'West', (15, 6))
Element 18: (1, (15, 6), ['%', '', '', ''], [(16, 13), (14, 8), (17, 9)], [True, False, False, False], 64, False, [False, False, False, False], 1532, 'North', (15, 7))
Element 19: (1, (15, 7), ['G', '', '', '%'], [(17, 13), (14, 7), (16, 9)], [False, False, False, True], 62, False, [False, False, False, False], 1541, 'North', (15, 8))
Element 20: (1, (15, 8), ['G', '', '%', '%'], [(18, 13), (14, 8), (16, 10)], [False, False, True, True], 60, False, [False, False, False, False], 1540, 'South', (15, 7))
Element 21: (1, (15, 7), ['', '', '', '%'], [(18, 12), (13, 8), (16, 11)], [False, False, False, True], 58, False, [False, False, False, False], 1549, 'South', (15, 6))
Element 22: (1, (15, 6), ['%', '', '', ''], [(18, 11), (14, 8), (16, 12)], [True, False, False, False], 56, False, [False, False, False, False], 1548, 'East', (16, 6))
Element 23: (1, (16, 6), ['', '', '%', ''], [(18, 10), (15, 8), (17, 12)], [False, False, True, False], 54, False, [False, False, False, False], 1547, 'East', (17, 6))
Element 24: (1, (17, 6), ['', '', '', '%'], [(17, 10), (15, 7), (16, 12)], [False, False, False, True], 52, False, [False, False, False, False], 1546, 'South', (17, 5))
Element 25: (1, (17, 5), ['', '', '', ''], [(17, 11), (14, 7), (15, 12)], [False, False, False, False], 50, False, [False, False, False, False], 1545, 'South', (17, 4))
Element 26: (1, (17, 4), ['', '.', '', ''], [(16, 11), (15, 7), (16, 12)], [False, False, False, False], 48, False, [False, True, False, False], 1544, 'South', (17, 3))
Element 27: (1, (17, 3), ['.', '%', '', '.'], [(16, 10), (15, 6), (15, 12)], [False, True, False, False], 46, False, [True, False, False, True], 1553, 'East', (18, 3))
Element 28: (1, (18, 3), ['', '%', '', '%'], [(16, 9), (15, 5), (15, 12)], [False, True, False, True], 44, False, [False, False, False, False], 1562, 'North', (18, 4))
Element 29: (1, (18, 4), ['', '', '', '%'], [(17, 9), (16, 5), (15, 12)], [False, False, False, True], 42, False, [False, False, False, False], 1561, 'North', (18, 5))
Element 30: (1, (18, 5), ['', '', '%', '%'], [(16, 9), (15, 5), (15, 13)], [False, False, True, True], 40, False, [False, False, False, False], 1560, 'South', (18, 4))
Element 31: (1, (18, 4), ['', '', '', '%'], [(16, 10), (14, 5), (15, 12)], [False, False, False, True], 38, False, [False, False, False, False], 1559, 'South', (18, 3))
Element 32: (1, (18, 3), ['', '%', '', '%'], [(16, 11), (13, 5), (15, 13)], [False, True, False, True], 36, False, [False, False, False, False], 1558, 'West', (17, 3))
Element 33: (1, (17, 3), ['.', '%', '', ''], [(17, 11), (13, 6), (15, 12)], [False, True, False, False], 34, False, [True, False, False, False], 1567, 'West', (16, 3))
Element 34: (1, (16, 3), ['%', '%', '', ''], [(17, 10), (12, 6), (15, 12)], [True, True, False, False], 32, False, [False, False, False, False], 1586, 'North', (16, 4))
Element 35: (1, (16, 4), ['', '', '', ''], [(17, 9), (12, 5), (15, 12)], [False, False, False, False], 30, False, [False, False, False, False], 1595, 'West', (15, 4))
Element 36: (1, (15, 4), ['', '%', '', ''], [(17, 10), (12, 4), (15, 12)], [False, True, False, False], 28, False, [False, False, False, False], 1594, 'West', (14, 4))
Element 37: (1, (14, 4), ['G', '', '', ''], [(16, 10), (13, 4), (15, 12)], [False, False, False, False], 26, False, [False, False, False, False], 1593, 'South', (14, 3))
Element 38: (1, (14, 3), ['G', '', '', '%'], [(17, 10), (13, 3), (16, 12)], [False, False, False, True], 24, False, [False, False, False, False], 1602, 'South', (14, 2))
Element 39: (1, (14, 2), ['', '.', '', '%'], [(18, 10), (13, 4), (17, 12)], [False, False, False, True], 22, False, [False, True, False, False], 1601, 'South', (14, 1))
Element 40: (1, (14, 1), ['.', '%', '', '.'], [(18, 11), (12, 4), (18, 12)], [False, True, False, False], 20, False, [True, False, False, True], 1610, 'East', (15, 1))
