Element 1: (1, (3, 13), ['%', '.', '%', '.'], [(7, 1), (5, 6), (7, 9)], [True, False, True, False], 98, False, [False, True, False, True], 9, 'East', (4, 13))
Element 2: (1, (4, 13), ['', '.', '%', '.'], [(8, 1), (6, 6), (8, 9)], [False, False, True, False], 96, False, [False, True, False, True], 48, 'East', (5, 13))
Element 3: (1, (5, 13), ['', '.', '%', '.'], [(9, 1), (6, 5), (8, 8)], [False, False, True, False], 94, False, [False, True, False, True], 87, 'East', (6, 13))
Element 4: (1, (6, 13), ['', '.', '%', '.'], [(9, 2), (6, 4), (9, 8)], [False, False, True, False], 92, False, [False, True, False, True], 1116, 'East', (7, 13))
Element 5: (1, (7, 13), ['', '.', '%', '%'], [(10, 2), (6, 3), (10, 8)], [False, False, True, True], 90, False, [False, True, False, False], 1155, 'South', (7, 12))
Element 6: (1, (7, 12), ['.', '%', '', '.'], [(11, 2), (7, 3), (10, 7)], [False, True, False, False], 88, False, [True, False, False, True], 1194, 'East', (8, 12))
Element 7: (1, (8, 12), ['', '%', '%', '.'], [(12, 2), (8, 3), (9, 7)], [False, True, True, False], 86, False, [False, False, False, True], 1233, 'East', (9, 12))
Element 8: (1, (9, 12), ['', '%', '.', '.'], [(13, 2), (9, 3), (9, 6)], [False, True, False, False], 84, False, [False, False, True, True], 1272, 'East', (10, 12))
Element 9: (1, (10, 12), ['', '%', '.', '.'], [(14, 2), (10, 3), (9, 5)], [False, True, False, False], 82, False, [False, False, True, True], 1311, 'East', (11, 12))
Element 10: (1, (11, 12), ['', '%', '%', '.'], [(14, 3), (11, 3), (10, 5)], [False, True, True, False], 80, False, [False, False, False, True], 2340, 'East', (12, 12))
Element 11: (1, (12, 12), ['', '.', '.', '.'], [(14, 4), (11, 4), (10, 4)], [False, False, False, False], 78, False, [False, True, True, True], 2379, 'East', (13, 12))
Element 12: (1, (13, 12), ['', '.', '.', '%'], [(15, 4), (12, 4), (9, 4)], [False, False, False, True], 76, False, [False, True, True, False], 2418, 'North', (13, 13))
Element 13: (1, (13, 13), ['.', '', '%', '.'], [(16, 4), (13, 4), (8, 4)], [False, False, True, False], 74, False, [True, False, False, True], 2457, 'East', (14, 13))
Element 14: (1, (14, 13), ['', '%', '%', '.'], [(17, 4), (13, 5), (8, 5)], [False, True, True, False], 72, False, [False, False, False, True], 2496, 'East', (15, 13))
Element 15: (1, (15, 13), ['', '.', '%', '.'], [(18, 4), (14, 5), (8, 6)], [False, False, True, False], 70, False, [False, True, False, True], 2535, 'East', (16, 13))
Element 16: (1, (16, 13), ['', '.', '%', '.'], [(18, 5), (15, 5), (8, 5)], [False, False, True, False], 68, False, [False, True, False, True], 2564, 'East', (17, 13))
Element 17: (1, (17, 13), ['', '.', '%', '.'], [(17, 5), (16, 5), (8, 4)], [False, False, True, False], 66, False, [False, True, False, True], 2593, 'East', (18, 13))
Element 18: (1, (18, 13), ['', '.', '%', '%'], [(17, 6), (16, 6), (8, 3)], [False, False, True, True], 64, False, [False, True, False, False], 2622, 'South', (18, 12))
Element 19: (1, (18, 12), ['.', '.', '', '%'], [(17, 7), (15, 6), (8, 2)], [False, False, False, True], 62, False, [True, True, False, False], 2661, 'South', (18, 11))
Element 20: (1, (18, 11), ['.', '.', '', '%'], [(18, 7), (15, 7), (7, 2)], [False, False, False, True], 60, False, [True, True, False, False], 2700, 'South', (18, 10))
Element 21: (1, (18, 10), ['.', '%', '', '%'], [(17, 7), (15, 8), (6, 2)], [False, True, False, True], 58, False, [True, False, False, False], 2729, 'West', (17, 10))
Element 22: (1, (17, 10), ['.', '.', '.', ''], [(17, 6), (14, 8), (5, 2)], [False, False, False, False], 56, False, [True, True, True, False], 2758, 'North', (17, 11))
Element 23: (1, (17, 11), ['.', '', '.', ''], [(16, 6), (14, 7), (5, 3)], [False, False, False, False], 54, False, [True, False, True, False], 2787, 'North', (17, 12))
Element 24: (1, (17, 12), ['.', '', '', ''], [(16, 5), (14, 8), (4, 3)], [False, False, False, False], 52, False, [True, False, False, False], 2806, 'West', (16, 12))
Element 25: (1, (16, 12), ['.', '.', '', ''], [(15, 5), (13, 8), (4, 4)], [False, False, False, False], 50, False, [True, True, False, False], 2835, 'South', (16, 11))
Element 26: (1, (16, 11), ['%', '.', '', ''], [(15, 6), (14, 8), (4, 5)], [True, False, False, False], 48, False, [False, True, False, False], 2854, 'South', (16, 10))
Element 27: (1, (16, 10), ['%', '.', '', ''], [(15, 7), (15, 8), (5, 5)], [True, False, False, False], 46, False, [False, True, False, False], 2873, 'South', (16, 9))
Element 28: (1, (16, 9), ['%', '%', '', '.'], [(15, 8), (14, 8), (6, 5)], [True, True, False, False], 44, False, [False, False, False, True], 2882, 'East', (17, 9))
Element 29: (1, (17, 9), ['', '%', '', '%'], [(14, 8), (14, 7), (6, 6)], [False, True, False, True], 42, False, [False, False, False, False], 2891, 'West', (16, 9))
Element 30: (1, (16, 9), ['%', '%', '', ''], [(14, 7), (15, 7), (5, 6)], [True, True, False, False], 40, False, [False, False, False, False], 2890, 'North', (16, 10))
Element 31: (1, (16, 10), ['%', '', '', ''], [(14, 8), (15, 6), (4, 6)], [True, False, False, False], 38, False, [False, False, False, False], 2899, 'North', (16, 11))
Element 32: (1, (16, 11), ['%', '', '', ''], [(13, 8), (16, 6), (3, 6)], [True, False, False, False], 36, False, [False, False, False, False], 2908, 'North', (16, 12))
Element 33: (1, (16, 12), ['.', '', '', ''], [(14, 8), (16, 5), (3, 7)], [False, False, False, False], 34, False, [True, False, False, False], 2917, 'West', (15, 12))
Element 34: (1, (15, 12), ['%', '%', '', ''], [(15, 8), (16, 4), (2, 7)], [True, True, False, False], 32, False, [False, False, False, False], 2936, 'East', (16, 12))
Element 35: (1, (16, 12), ['', '', '', ''], [(15, 7), (16, 3), (2, 8)], [False, False, False, False], 30, False, [False, False, False, False], 3945, 'East', (17, 12))
Element 36: (1, (17, 12), ['', '', '', ''], [(14, 7), (17, 3), (1, 8)], [False, False, False, False], 28, False, [False, False, False, False], 4954, 'South', (17, 11))
Element 37: (1, (17, 11), ['', '', '', ''], [(15, 7), (18, 3), (1, 7)], [False, False, False, False], 26, False, [False, False, False, False], 4973, 'West', (16, 11))
Element 38: (1, (16, 11), ['%', '', '', ''], [(15, 6), (18, 4), (1, 6)], [True, False, False, False], 24, False, [False, False, False, False], 4982, 'East', (17, 11))
Element 39: (1, (17, 11), ['', '', '', ''], [(15, 5), (18, 5), (2, 6)], [False, False, False, False], 22, False, [False, False, False, False], 4991, 'South', (17, 10))
Element 40: (1, (17, 10), ['', '', '', ''], [(14, 5), (17, 5), (2, 5)], [False, False, False, False], 20, False, [False, False, False, False], 5000, 'South', (17, 9))
Element 41: (1, (17, 9), ['', '%', '', '%'], [(13, 5), (17, 6), (3, 5)], [False, True, False, True], 18, False, [False, False, False, False], 5009, 'North', (17, 10))
Element 42: (1, (17, 10), ['', '', '', ''], [(13, 6), (17, 7), (3, 4)], [False, False, False, False], 16, False, [False, False, False, False], 5028, 'West', (16, 10))
Element 43: (1, (16, 10), ['%', '', '', ''], [(12, 6), (18, 7), (3, 3)], [True, False, False, False], 14, False, [False, False, False, False], 5047, 'East', (17, 10))
Element 44: (1, (17, 10), ['', '', '', ''], [(12, 5), (17, 7), (2, 3)], [False, False, False, False], 12, False, [False, False, False, False], 5066, 'East', (18, 10))
Element 45: (1, (18, 10), ['', '%', '', '%'], [(12, 4), (17, 6), (2, 4)], [False, True, False, True], 10, False, [False, False, False, False], 5075, 'North', (18, 11))
Element 46: (1, (18, 11), ['', '', '', '%'], [(13, 4), (17, 5), (1, 4)], [False, False, False, True], 8, False, [False, False, False, False], 5084, 'West', (17, 11))
Element 47: (1, (17, 11), ['', '', '', ''], [(13, 3), (17, 4), (1, 5)], [False, False, False, False], 6, False, [False, False, False, False], 5103, 'East', (18, 11))
Element 48: (1, (18, 11), ['', '', '', '%'], [(13, 4), (17, 5), (1, 4)], [False, False, False, True], 4, False, [False, False, False, False], 5102, 'North', (18, 12))
Element 49: (1, (18, 12), ['', '', '', '%'], [(12, 4), (18, 5), (2, 4)], [False, False, False, True], 2, False, [False, False, False, False], 5101, 'West', (17, 12))
Element 50: (1, (17, 12), ['', '', '', ''], [(12, 4), (18, 4), (2, 3)], [False, False, False, False], 0, False, [False, False, False, False], 5100, 'Stop', (17, 12))
Element 51: #0#
