Element 25: (1, (16, 4), ['', '', '', ''], [(13, 8), (17, 3), (12, 12)], [False, False, False, False], 50, False, [False, False, False, False], 1665, 'East', (17, 4))
Element 26: (1, (17, 4), ['', '', '', ''], [(14, 8), (16, 3), (11, 12)], [False, False, False, False], 48, False, [False, False, False, False], 1674, 'East', (18, 4))
Element 27: (1, (18, 4), ['', '', '', '%'], [(15, 8), (16, 4), (10, 12)], [False, False, False, True], 46, False, [False, False, False, False], 1683, 'North', (18, 5))
Element 28: (1, (18, 5), ['', '', '%', '%'], [(15, 7), (15, 4), (10, 13)], [False, False, True, True], 44, False, [False, False, False, False], 1692, 'West', (17, 5))
Element 29: (1, (17, 5), ['', '', '', ''], [(14, 7), (14, 4), (9, 13)], [False, False, False, False], 42, False, [False, False, False, False], 1701, 'North', (17, 6))
Element 30: (1, (17, 6), ['', '', '', '%'], [(15, 7), (14, 3), (9, 12)], [False, False, False, True], 40, False, [False, False, False, False], 1710, 'North', (17, 7))
Element 31: (1, (17, 7), ['%', '', '%', ''], [(15, 6), (14, 2), (8, 12)], [True, False, True, False], 38, False, [False, False, False, False], 1719, 'East', (18, 7))
Element 32: (1, (18, 7), ['', '%', '%', '%'], [(15, 5), (14, 1), (7, 12)], [False, True, True, True], 36, False, [False, False, False, False], 1738, 'West', (17, 7))
Element 33: (1, (17, 7), ['%', '', '%', ''], [(16, 5), (15, 1), (7, 13)], [True, False, True, False], 34, False, [False, False, False, False], 1757, 'South', (17, 6))
Element 34: (1, (17, 6), ['', '', '', '%'], [(15, 5), (14, 1), (6, 13)], [False, False, False, True], 32, False, [False, False, False, False], 1766, 'West', (16, 6))
Element 35: (1, (16, 6), ['', '', '%', ''], [(14, 5), (13, 1), (6, 12)], [False, False, True, False], 30, False, [False, False, False, False], 1785, 'South', (16, 5))
Element 36: (1, (16, 5), ['', '', '', ''], [(13, 5), (12, 1), (6, 11)], [False, False, False, False], 28, False, [False, False, False, False], 1804, 'West', (15, 5))
Element 37: (1, (15, 5), ['', '', '', ''], [(13, 6), (11, 1), (5, 11)], [False, False, False, False], 26, False, [False, False, False, False], 1823, 'North', (15, 6))
Element 38: (1, (15, 6), ['%', '', '', ''], [(13, 5), (11, 2), (5, 12)], [True, False, False, False], 24, False, [False, False, False, False], 1832, 'North', (15, 7))
Element 39: (1, (15, 7), ['', '', '', '%'], [(14, 5), (10, 2), (5, 13)], [False, False, False, True], 22, False, [False, False, False, False], 1851, 'North', (15, 8))
Element 40: (1, (15, 8), ['', '', '%', '%'], [(15, 5), (9, 2), (4, 13)], [False, False, True, True], 20, False, [False, False, False, False], 2860, 'West', (14, 8))
Element 41: (1, (14, 8), ['', '', '%', ''], [(15, 6), (9, 3), (4, 12)], [False, False, True, False], 18, False, [False, False, False, False], 2879, 'South', (14, 7))
Element 42: (1, (14, 7), ['%', '%', '', ''], [(16, 6), (10, 3), (4, 11)], [True, True, False, False], 16, False, [False, False, False, False], 2898, 'North', (14, 8))
Element 43: (1, (14, 8), ['', '', '%', ''], [(16, 5), (11, 3), (4, 10)], [False, False, True, False], 14, False, [False, False, False, False], 2907, 'West', (13, 8))
Element 44: (1, (13, 8), ['%', '%', '%', ''], [(16, 6), (11, 4), (3, 10)], [True, True, True, False], 12, False, [False, False, False, False], 2916, 'East', (14, 8))
Element 45: (1, (14, 8), ['', '', '%', ''], [(17, 6), (12, 4), (2, 10)], [False, False, True, False], 10, False, [False, False, False, False], 2925, 'East', (15, 8))
Element 46: (1, (15, 8), ['', '', '%', '%'], [(17, 7), (13, 4), (2, 11)], [False, False, True, True], 8, False, [False, False, False, False], 3924, 'South', (15, 7))
Element 47: (1, (15, 7), ['', '', '', '%'], [(18, 7), (13, 3), (1, 11)], [False, False, False, True], 6, False, [False, False, False, False], 4923, 'West', (14, 7))
Element 48: (1, (14, 7), ['%', '%', '', ''], [(17, 7), (13, 2), (1, 12)], [True, True, False, False], 4, False, [False, False, False, False], 4932, 'East', (15, 7))
Element 49: (1, (15, 7), ['', '', '', '%'], [(17, 6), (12, 2), (2, 12)], [False, False, False, True], 2, False, [False, False, False, False], 4941, 'South', (15, 6))
Element 50: (1, (15, 6), ['%', '', '', ''], [(17, 6), (13, 2), (3, 12)], [True, False, False, False], 0, False, [False, False, False, False], 4950, 'Stop', (15, 6))
Element 51: #0#
