Element 38: (2, (9, 3), ['.', '', '.', ''], [(17, 11), (15, 5), (9, 12)], [False, False, False, False], 24, False, [True, False, True, False], 2672, 'North', (9, 4))
Element 39: (2, (9, 4), ['.', '', '', ''], [(17, 10), (15, 6), (8, 12)], [False, False, False, False], 22, False, [True, False, False, False], 2691, 'West', (8, 4))
Element 40: (2, (8, 4), ['%', '.', '.', ''], [(17, 11), (16, 6), (7, 12)], [True, False, False, False], 20, False, [False, True, True, False], 2710, 'North', (8, 5))
Element 41: (2, (8, 5), ['%', '', '.', ''], [(16, 11), (16, 5), (7, 13)], [True, False, False, False], 18, False, [False, False, True, False], 2729, 'North', (8, 6))
Element 42: (2, (8, 6), ['%', '', '%', '.'], [(16, 10), (15, 5), (6, 13)], [True, False, True, False], 16, False, [False, False, False, True], 2748, 'East', (9, 6))
Element 43: (2, (9, 6), ['', '', '.', '%'], [(16, 11), (16, 5), (6, 12)], [False, False, False, True], 14, False, [False, False, True, False], 2767, 'North', (9, 7))
Element 44: (2, (9, 7), ['%', '', '.', '.'], [(16, 12), (17, 5), (6, 11)], [True, False, False, False], 12, False, [False, False, True, True], 2786, 'East', (10, 7))
Element 45: (2, (10, 7), ['', '%', '.', '%'], [(15, 12), (18, 5), (5, 11)], [False, True, False, True], 10, False, [False, False, True, False], 2805, 'North', (10, 8))
Element 46: (2, (10, 8), ['.', '', '%', '%'], [(16, 12), (18, 4), (5, 12)], [False, False, True, True], 8, False, [True, False, False, False], 2824, 'West', (9, 8))
Element 47: (2, (9, 8), ['.', '', '%', ''], [(17, 12), (18, 3), (5, 13)], [False, False, True, False], 6, False, [True, False, False, False], 2843, 'West', (8, 8))
Element 48: (2, (8, 8), ['.', '%', '.', ''], [(16, 12), (17, 3), (4, 13)], [False, True, False, False], 4, False, [True, False, True, False], 2862, 'North', (8, 9))
Element 49: (2, (8, 9), ['.', '', '%', '%'], [(16, 13), (16, 3), (4, 12)], [False, False, True, True], 2, False, [True, False, False, False], 2891, 'West', (7, 9))
Element 50: (2, (7, 9), ['.', '.', '%', ''], [(16, 13), (16, 3), (4, 11)], [False, False, True, False], 0, False, [True, True, False, False], 2910, 'Stop', (7, 9))
Element 51: #0#
