Element 1: (2, (4, 5), ['.', '.', 'G', '.'], [(13, 12), (3, 1), (4, 6)], [False, False, False, False], 98, False, [True, True, False, True], 19, 'East', (5, 5))
Element 2: (2, (5, 5), ['', '%', 'G', '.'], [(13, 13), (4, 1), (5, 6)], [False, True, False, False], 96, False, [False, False, False, True], 58, 'East', (6, 5))
Element 3: (2, (6, 5), ['', '.', 'G', '%'], [(14, 13), (5, 1), (6, 6)], [False, False, False, True], 94, False, [False, True, False, False], 97, 'South', (6, 4))
Element 4: (2, (6, 4), ['%', '.', 'G', '%'], [(15, 13), (6, 1), (6, 5)], [True, False, False, True], 92, False, [False, True, False, False], 126, 'South', (6, 3))
Element 5: (2, (6, 3), ['.', '.', 'G', '.'], [(16, 13), (7, 1), (6, 4)], [False, False, False, False], 90, False, [True, True, False, True], 155, 'East', (7, 3))
Element 6: (2, (7, 3), ['G', '.', '%', '.'], [(17, 13), (8, 1), (6, 3)], [False, False, True, False], 88, False, [False, True, False, True], 184, 'East', (8, 3))
Element 7: (2, (8, 3), ['', '.', '.', '.'], [(18, 13), (9, 1), (6, 2)], [False, False, False, False], 86, False, [False, True, True, True], 223, 'East', (9, 3))
Element 8: (2, (9, 3), ['', 'G', '.', '.'], [(18, 12), (9, 2), (7, 2)], [False, False, False, False], 84, False, [False, False, True, True], 1252, 'East', (10, 3))
Element 9: (2, (10, 3), ['', 'G', '.', '.'], [(18, 11), (10, 2), (8, 2)], [False, False, False, False], 82, False, [False, False, True, True], 1291, 'East', (11, 3))
Element 10: (2, (11, 3), ['', 'G', '.', '%'], [(18, 10), (11, 2), (9, 2)], [False, False, False, True], 80, False, [False, False, True, False], 1320, 'North', (11, 4))
Element 11: (2, (11, 4), ['.', '', '%', '.'], [(17, 10), (12, 2), (10, 2)], [False, False, True, False], 78, False, [True, False, False, True], 1349, 'East', (12, 4))
