Element 20: (1, (18, 5), ['G', '', '%', '%'], [(17, 5), (14, 2), (12, 6)], [False, False, True, True], 60, False, [False, False, False, False], 1310, 'South', (18, 4))
Element 21: (1, (18, 4), ['', '', 'G', '%'], [(18, 5), (14, 1), (12, 5)], [False, False, False, True], 58, False, [False, False, False, False], 1319, 'West', (17, 4))
Element 22: (1, (17, 4), ['', '', '', 'G'], [(18, 4), (15, 1), (12, 4)], [False, False, False, False], 56, False, [False, False, False, False], 1328, 'North', (17, 5))
Element 23: (1, (17, 5), ['', '', '', ''], [(18, 3), (14, 1), (11, 4)], [False, False, False, False], 54, False, [False, False, False, False], 1337, 'North', (17, 6))
Element 24: (1, (17, 6), ['', '', '', '%'], [(18, 4), (13, 1), (11, 3)], [False, False, False, True], 52, False, [False, False, False, False], 1356, 'North', (17, 7))
Element 25: (1, (17, 7), ['%', '', '%', ''], [(18, 5), (12, 1), (10, 3)], [True, False, True, False], 50, False, [False, False, False, False], 1375, 'East', (18, 7))
Element 26: (1, (18, 7), ['', '%', '%', '%'], [(17, 5), (11, 1), (10, 4)], [False, True, True, True], 48, False, [False, False, False, False], 1394, 'West', (17, 7))
Element 27: (1, (17, 7), ['%', 'G', '%', ''], [(17, 6), (11, 2), (10, 5)], [True, False, True, False], 46, False, [False, False, False, False], 2393, 'East', (18, 7))
Element 28: (1, (18, 7), ['G', '%', '%', '%'], [(17, 7), (12, 2), (9, 5)], [False, True, True, True], 44, False, [False, False, False, False], 2402, 'Stop', (18, 7))
Element 29: (1, (18, 7), ['', '%', '%', '%'], [(17, 6), (13, 2), (9, 6)], [False, True, True, True], 42, False, [False, False, False, False], 2411, 'West', (17, 7))
Element 30: (1, (17, 7), ['%', '', '%', ''], [(16, 6), (13, 3), (9, 7)], [True, False, True, False], 40, False, [False, False, False, False], 2420, 'South', (17, 6))
Element 31: (1, (17, 6), ['', '', '', '%'], [(15, 6), (13, 4), (10, 7)], [False, False, False, True], 38, False, [False, False, False, False], 2429, 'South', (17, 5))
Element 32: (1, (17, 5), ['', '', '', ''], [(15, 7), (12, 4), (10, 8)], [False, False, False, False], 36, False, [False, False, False, False], 2438, 'South', (17, 4))
Element 33: (1, (17, 4), ['', '', '', ''], [(14, 7), (12, 5), (9, 8)], [False, False, False, False], 34, False, [False, False, False, False], 2457, 'South', (17, 3))
Element 34: (1, (17, 3), ['', '%', '', ''], [(14, 8), (12, 4), (8, 8)], [False, True, False, False], 32, False, [False, False, False, False], 2466, 'North', (17, 4))
Element 35: (1, (17, 4), ['', '', '', ''], [(15, 8), (11, 4), (8, 9)], [False, False, False, False], 30, False, [False, False, False, False], 2475, 'North', (17, 5))
Element 36: (1, (17, 5), ['', '', '', ''], [(14, 8), (11, 3), (7, 9)], [False, False, False, False], 28, False, [False, False, False, False], 2484, 'South', (17, 4))
Element 37: (1, (17, 4), ['', '', '', ''], [(13, 8), (10, 3), (7, 8)], [False, False, False, False], 26, False, [False, False, False, False], 2493, 'West', (16, 4))
Element 38: (1, (16, 4), ['', '', '', ''], [(14, 8), (10, 4), (6, 8)], [False, False, False, False], 24, False, [False, False, False, False], 2502, 'North', (16, 5))
Element 39: (1, (16, 5), ['', '', '', ''], [(14, 7), (9, 4), (6, 9)], [False, False, False, False], 22, False, [False, False, False, False], 2521, 'North', (16, 6))
Element 40: (1, (16, 6), ['', '', '%', ''], [(15, 7), (8, 4), (6, 8)], [False, False, True, False], 20, False, [False, False, False, False], 2530, 'West', (15, 6))
Element 41: (1, (15, 6), ['%', '', '', ''], [(15, 8), (8, 5), (5, 8)], [True, False, False, False], 18, False, [False, False, False, False], 2549, 'North', (15, 7))
Element 42: (1, (15, 7), ['', '', '', '%'], [(14, 8), (8, 6), (4, 8)], [False, False, False, True], 16, False, [False, False, False, False], 2568, 'North', (15, 8))
Element 43: (1, (15, 8), ['', '', '%', '%'], [(14, 7), (9, 6), (5, 8)], [False, False, True, True], 14, False, [False, False, False, False], 2567, 'West', (14, 8))
Element 44: (1, (14, 8), ['', 'G', '%', ''], [(14, 7), (9, 7), (6, 8)], [False, False, True, False], 12, False, [False, False, False, False], 2566, 'West', (13, 8))
Element 45: (1, (13, 8), ['%', '%', '%', ''], [(14, 7), (10, 7), (7, 8)], [True, True, True, False], 10, False, [False, False, False, False], 2565, 'East', (14, 8))
Element 46: (1, (14, 8), ['', 'G', '%', ''], [(14, 7), (10, 8), (7, 9)], [False, False, True, False], 8, False, [False, False, False, False], 2564, 'East', (15, 8))
Element 47: (1, (15, 8), ['', '', '%', '%'], [(14, 7), (9, 8), (6, 9)], [False, False, True, True], 6, False, [False, False, False, False], 2563, 'South', (15, 7))
Element 48: (1, (15, 7), ['G', '', '', '%'], [(14, 7), (8, 8), (7, 9)], [False, False, False, True], 4, False, [False, False, False, False], 2562, 'South', (15, 6))
Element 49: (1, (15, 6), ['%', '', '', ''], [(14, 7), (8, 9), (6, 9)], [True, False, False, False], 2, False, [False, False, False, False], 2561, 'North', (15, 7))
Element 50: (1, (15, 7), ['G', '', '', '%'], [(14, 7), (7, 9), (6, 8)], [False, False, False, True], 0, False, [False, False, False, False], 2560, 'Stop', (15, 7))
Element 51: #0#
