Element 1: (1, (8, 2), ['.', '.', '.', 'F'], [(4, 5), (11, 1), (18, 13)], [False, False, False, False], 98, False, [True, True, True, False], 9, 'East', (9, 2))
Element 2: (1, (9, 2), ['', '.', '.', '.'], [(5, 5), (12, 1), (18, 12)], [False, False, False, False], 96, False, [False, True, True, True], 1038, 'East', (10, 2))
Element 3: (1, (10, 2), ['', '%', '.', '.'], [(6, 5), (13, 1), (18, 11)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (11, 2))
Element 4: (1, (11, 2), ['', '', '.', '.'], [(6, 6), (14, 1), (18, 10)], [False, False, False, False], 92, False, [False, False, True, True], 1116, 'East', (12, 2))
Element 5: (1, (12, 2), ['', '', '%', '.'], [(5, 6), (15, 1), (17, 10)], [False, False, True, False], 90, False, [False, False, False, True], 1155, 'East', (13, 2))
Element 6: (1, (13, 2), ['', '', '.', '.'], [(4, 6), (14, 1), (17, 11)], [False, False, False, False], 88, False, [False, False, True, True], 1184, 'East', (14, 2))
Element 7: (1, (14, 2), ['', '', '.', '%'], [(3, 6), (13, 1), (17, 12)], [False, False, False, True], 86, False, [False, False, True, False], 1213, 'North', (14, 3))
Element 8: (1, (14, 3), ['.', '', '.', '%'], [(3, 7), (14, 1), (17, 13)], [False, False, False, True], 84, False, [True, False, True, False], 1242, 'North', (14, 4))
Element 9: (1, (14, 4), ['.', '', '.', '.'], [(2, 7), (13, 1), (16, 13)], [False, False, False, False], 82, False, [True, False, True, True], 1271, 'East', (15, 4))
Element 10: (1, (15, 4), ['', '%', '.', '.'], [(2, 8), (13, 2), (16, 12)], [False, True, False, False], 80, False, [False, False, True, True], 2290, 'East', (16, 4))
Element 11: (1, (16, 4), ['', '.', '.', '.'], [(1, 8), (13, 3), (16, 11)], [False, False, False, False], 78, False, [False, True, True, True], 3319, 'East', (17, 4))
Element 12: (1, (17, 4), ['', '.', '.', '.'], [(1, 7), (13, 4), (16, 10)], [False, False, False, False], 76, False, [False, True, True, True], 3358, 'East', (18, 4))
Element 13: (1, (18, 4), ['', '.', '.', '%'], [(1, 6), (13, 5), (16, 9)], [False, False, False, True], 74, False, [False, True, True, False], 3397, 'North', (18, 5))
Element 14: (1, (18, 5), ['.', '', '%', '%'], [(2, 6), (14, 5), (17, 9)], [False, False, True, True], 72, False, [True, False, False, False], 3436, 'West', (17, 5))
Element 15: (1, (17, 5), ['.', '', '.', ''], [(2, 5), (15, 5), (16, 9)], [False, False, False, False], 70, False, [True, False, True, False], 3465, 'North', (17, 6))
Element 16: (1, (17, 6), ['.', '', '.', '%'], [(3, 5), (16, 5), (16, 10)], [False, False, False, True], 68, False, [True, False, True, False], 3494, 'North', (17, 7))
Element 17: (1, (17, 7), ['%', '', '%', '.'], [(3, 4), (16, 6), (16, 11)], [True, False, True, False], 66, False, [False, False, False, True], 3523, 'East', (18, 7))
Element 18: (1, (18, 7), ['', '%', '%', '%'], [(3, 3), (15, 6), (16, 12)], [False, True, True, True], 64, False, [False, False, False, False], 3552, 'West', (17, 7))
Element 19: (1, (17, 7), ['%', '', '%', ''], [(4, 3), (15, 7), (15, 12)], [True, False, True, False], 62, False, [False, False, False, False], 3581, 'South', (17, 6))
Element 20: (1, (17, 6), ['', '', '', '%'], [(5, 3), (15, 8), (15, 13)], [False, False, False, True], 60, False, [False, False, False, False], 3610, 'West', (16, 6))
Element 21: (1, (16, 6), ['', '', '%', ''], [(6, 3), (14, 8), (14, 13)], [False, False, True, False], 58, False, [False, False, False, False], 3639, 'South', (16, 5))
Element 22: (1, (16, 5), ['', '', '', ''], [(7, 3), (14, 7), (13, 13)], [False, False, False, False], 56, False, [False, False, False, False], 3668, 'West', (15, 5))
Element 23: (1, (15, 5), ['', '', '', ''], [(8, 3), (14, 8), (13, 12)], [False, False, False, False], 54, False, [False, False, False, False], 3687, 'North', (15, 6))
Element 24: (1, (15, 6), ['%', '', '', ''], [(9, 3), (13, 8), (13, 11)], [True, False, False, False], 52, False, [False, False, False, False], 3716, 'North', (15, 7))
Element 25: (1, (15, 7), ['', '', '', '%'], [(10, 3), (14, 8), (12, 11)], [False, False, False, True], 50, False, [False, False, False, False], 3735, 'North', (15, 8))
Element 26: (1, (15, 8), ['', '', '%', '%'], [(11, 3), (13, 8), (12, 12)], [False, False, True, True], 48, False, [False, False, False, False], 3754, 'West', (14, 8))
Element 27: (1, (14, 8), ['G', '', '%', ''], [(11, 4), (13, 8), (12, 13)], [False, False, True, False], 46, False, [False, False, False, False], 3773, 'South', (14, 7))
Element 28: (1, (14, 7), ['%', '%', 'G', ''], [(12, 4), (14, 8), (12, 12)], [True, True, False, False], 44, False, [False, False, False, False], 3782, 'East', (15, 7))
Element 29: (1, (15, 7), ['', '', '', '%'], [(12, 5), (13, 8), (11, 12)], [False, False, False, True], 42, False, [False, False, False, False], 3801, 'North', (15, 8))
Element 30: (1, (15, 8), ['', '', '%', '%'], [(12, 6), (13, 8), (10, 12)], [False, False, True, True], 40, False, [False, False, False, False], 3820, 'South', (15, 7))
Element 31: (1, (15, 7), ['', '', '', '%'], [(13, 6), (13, 8), (10, 13)], [False, False, False, True], 38, False, [False, False, False, False], 3839, 'West', (14, 7))
Element 32: (1, (14, 7), ['%', '%', '', ''], [(13, 5), (13, 8), (9, 13)], [True, True, False, False], 36, False, [False, False, False, False], 3848, 'East', (15, 7))
Element 33: (1, (15, 7), ['', '', '', '%'], [(14, 5), (13, 8), (9, 12)], [False, False, False, True], 34, False, [False, False, False, False], 3857, 'South', (15, 6))
Element 34: (1, (15, 6), ['%', 'G', '', ''], [(15, 5), (13, 8), (8, 12)], [True, False, False, False], 32, False, [False, False, False, False], 3866, 'North', (15, 7))
Element 35: (1, (15, 7), ['', '', '', '%'], [(16, 5), (13, 8), (7, 12)], [False, False, False, True], 30, False, [False, False, False, False], 3875, 'South', (15, 6))
Element 36: (1, (15, 6), ['%', '', '', ''], [(17, 5), (14, 8), (7, 13)], [True, False, False, False], 28, False, [False, False, False, False], 3884, 'South', (15, 5))
Element 37: (1, (15, 5), ['', '', '', ''], [(18, 5), (14, 7), (6, 13)], [False, False, False, False], 26, False, [False, False, False, False], 3893, 'East', (16, 5))
Element 38: (1, (16, 5), ['', '', '', ''], [(18, 4), (14, 8), (6, 12)], [False, False, False, False], 24, False, [False, False, False, False], 3902, 'North', (16, 6))
Element 39: (1, (16, 6), ['', '', '%', ''], [(18, 3), (14, 7), (6, 11)], [False, False, True, False], 22, False, [False, False, False, False], 3921, 'West', (15, 6))
Element 40: (1, (15, 6), ['%', '', '', ''], [(17, 3), (14, 8), (5, 11)], [True, False, False, False], 20, False, [False, False, False, False], 3940, 'East', (16, 6))
Element 41: (1, (16, 6), ['', '', '%', ''], [(16, 3), (14, 7), (5, 12)], [False, False, True, False], 18, False, [False, False, False, False], 3959, 'East', (17, 6))
Element 42: (1, (17, 6), ['', '', '', '%'], [(16, 4), (14, 7), (5, 13)], [False, False, False, True], 16, False, [False, False, False, False], 3968, 'South', (17, 5))
