Element 41: (1, (17, 9), ['', '%', '', '%'], [(17, 12), (18, 11), (12, 6)], [False, True, False, True], 18, False, [False, False, False, False], 2659, 'West', (16, 9))
Element 42: (1, (16, 9), ['%', '%', '', ''], [(18, 12), (18, 10), (13, 6)], [True, True, False, False], 16, False, [False, False, False, False], 2658, 'North', (16, 10))
Element 43: (1, (16, 10), ['%', '', '', 'G'], [(18, 13), (17, 10), (13, 5)], [True, False, False, False], 14, False, [False, False, False, False], 2657, 'South', (16, 9))
Element 44: (1, (16, 9), ['%', '%', '', ''], [(17, 13), (17, 11), (12, 5)], [True, True, False, False], 12, False, [False, False, False, False], 2656, 'East', (17, 9))
Element 45: (1, (17, 9), ['', '%', 'G', '%'], [(17, 12), (17, 10), (13, 5)], [False, True, False, True], 10, False, [False, False, False, False], 2655, 'West', (16, 9))
Element 46: (1, (16, 9), ['%', '%', '', 'G'], [(17, 13), (17, 9), (14, 5)], [True, True, False, False], 8, False, [False, False, False, False], 2654, 'North', (16, 10))
Element 47: (1, (16, 10), ['%', 'G', '', ''], [(16, 13), (16, 9), (15, 5)], [True, False, False, False], 6, False, [False, False, False, False], 2653, 'North', (16, 11))
Element 48: (1, (16, 11), ['%', 'G', 'G', ''], [(16, 12), (16, 10), (16, 5)], [True, False, False, False], 4, False, [False, False, False, False], 2652, 'North', (16, 12))
Element 49: (1, (16, 12), ['', '', 'G', ''], [(16, 13), (17, 10), (16, 6)], [False, False, False, False], 2, False, [False, False, False, False], 2651, 'East', (17, 12))
Element 50: (1, (17, 12), ['', '', '', ''], [(16, 13), (16, 10), (15, 6)], [False, False, False, False], 0, False, [False, False, False, False], 2650, 'Stop', (17, 12))
Element 51: #0#
