Element 39: (2, (15, 5), ['', '', '', ''], [(14, 7), (8, 5), (18, 3)], [False, False, False, False], 22, False, [False, False, False, False], 2501, 'West', (14, 5))
Element 40: (2, (14, 5), ['', '', '%', ''], [(14, 7), (8, 4), (17, 3)], [False, False, True, False], 20, False, [False, False, False, False], 2510, 'West', (13, 5))
Element 41: (2, (13, 5), ['.', '', '.', ''], [(14, 7), (9, 4), (16, 3)], [False, False, False, False], 18, False, [True, False, True, False], 2519, 'North', (13, 6))
Element 42: (2, (13, 6), ['.', '', '%', '%'], [(14, 7), (9, 3), (17, 3)], [False, False, True, True], 16, False, [True, False, False, False], 2538, 'West', (12, 6))
Element 43: (2, (12, 6), ['.', '.', '%', ''], [(14, 7), (8, 3), (18, 3)], [False, False, True, False], 14, False, [True, True, False, False], 2557, 'South', (12, 5))
Element 44: (2, (12, 5), ['%', '', '', ''], [(14, 7), (7, 3), (18, 4)], [True, False, False, False], 12, False, [False, False, False, False], 2576, 'South', (12, 4))
Element 45: (2, (12, 4), ['', '%', '', ''], [(14, 7), (7, 2), (17, 4)], [False, True, False, False], 10, False, [False, False, False, False], 2585, 'East', (13, 4))
Element 46: (2, (13, 4), ['', '', '', ''], [(14, 7), (7, 1), (17, 5)], [False, False, False, False], 8, False, [False, False, False, False], 2594, 'South', (13, 3))
Element 47: (2, (13, 3), ['%', '', '', ''], [(14, 7), (8, 1), (17, 4)], [True, False, False, False], 6, False, [False, False, False, False], 2603, 'South', (13, 2))
Element 48: (2, (13, 2), ['', '', '', ''], [(14, 7), (9, 1), (17, 3)], [False, False, False, False], 4, False, [False, False, False, False], 2612, 'North', (13, 3))
Element 49: (2, (13, 3), ['%', '', '', ''], [(14, 7), (8, 1), (17, 4)], [True, False, False, False], 2, False, [False, False, False, False], 2611, 'North', (13, 4))
Element 50: (2, (13, 4), ['', '', '', ''], [(14, 7), (8, 1), (16, 4)], [False, False, False, False], 0, False, [False, False, False, False], 2610, 'Stop', (13, 4))
Element 51: #0#
