Element 1: (0, (1, 7), ['%', '.', 'F', '.'], [(2, 12), (12, 5), (12, 11)], [True, False, False, False], 98, False, [False, True, False, True], 0, 'North', (1, 8))
Element 2: (0, (1, 8), ['%', '', '%', 'F'], [(2, 11), (13, 5), (13, 11)], [True, False, True, False], 96, False, [False, False, False, False], 2019, 'East', (2, 8))
Element 3: (0, (2, 8), ['', '.', '%', '%'], [(1, 11), (14, 5), (13, 12)], [False, False, True, True], 94, False, [False, True, False, False], 4038, 'South', (2, 7))
Element 4: (0, (2, 7), ['', '.', '', '.'], [(1, 12), (15, 5), (13, 13)], [False, False, False, False], 92, False, [False, True, False, True], 4077, 'East', (3, 7))
Element 5: (0, (3, 7), ['', '.', '%', '%'], [(1, 13), (16, 5), (14, 13)], [False, False, True, True], 90, False, [False, True, False, False], 4116, 'South', (3, 6))
Element 6: (0, (3, 6), ['.', '.', '', '.'], [(1, 12), (17, 5), (15, 13)], [False, False, False, False], 88, False, [True, True, False, True], 4145, 'East', (4, 6))
Element 7: (0, (4, 6), ['', '.', '%', '.'], [(1, 11), (18, 5), (16, 13)], [False, False, True, False], 86, False, [False, True, False, True], 4174, 'East', (5, 6))
Element 8: (0, (5, 6), ['', '.', '%', '.'], [(1, 10), (18, 4), (17, 13)], [False, False, True, False], 84, False, [False, True, False, True], 4213, 'East', (6, 6))
Element 9: (0, (6, 6), ['', '.', '%', '%'], [(2, 10), (18, 3), (18, 13)], [False, False, True, True], 82, False, [False, True, False, False], 4252, 'South', (6, 5))
Element 10: (0, (6, 5), ['.', '.', '', '%'], [(3, 10), (17, 3), (18, 12)], [False, False, False, True], 80, False, [True, True, False, False], 4291, 'South', (6, 4))
Element 11: (0, (6, 4), ['%', '.', '', '%'], [(4, 10), (17, 4), (18, 11)], [True, False, False, True], 78, False, [False, True, False, False], 4330, 'South', (6, 3))
Element 12: (0, (6, 3), ['.', '.', '', '.'], [(4, 11), (16, 4), (18, 10)], [False, False, False, False], 76, False, [True, True, False, True], 4369, 'East', (7, 3))
Element 13: (0, (7, 3), ['', '.', '%', '.'], [(5, 11), (16, 3), (17, 10)], [False, False, True, False], 74, False, [False, True, False, True], 4408, 'East', (8, 3))
Element 14: (0, (8, 3), ['', '.', '.', '.'], [(6, 11), (16, 4), (17, 11)], [False, False, False, False], 72, False, [False, True, True, True], 4437, 'East', (9, 3))
Element 15: (0, (9, 3), ['', 'F', '.', '.'], [(6, 12), (15, 4), (17, 12)], [False, False, False, False], 70, False, [False, False, True, True], 4476, 'South', (9, 2))
Element 16: (0, (9, 2), ['.', '.', '', '.'], [(7, 12), (14, 4), (16, 12)], [False, False, False, False], 68, False, [True, True, False, True], 5505, 'East', (10, 2))
Element 17: (0, (10, 2), ['', '%', '.', '.'], [(8, 12), (14, 3), (16, 11)], [False, True, False, False], 66, False, [False, False, True, True], 5544, 'East', (11, 2))
Element 18: (0, (11, 2), ['', '.', '.', '.'], [(9, 12), (14, 2), (16, 10)], [False, False, False, False], 64, False, [False, True, True, True], 5583, 'East', (12, 2))
Element 19: (0, (12, 2), ['', '.', '%', '.'], [(10, 12), (14, 1), (16, 9)], [False, False, True, False], 62, False, [False, True, False, True], 5622, 'East', (13, 2))
Element 20: (0, (13, 2), ['', '.', '.', ''], [(11, 12), (15, 1), (17, 9)], [False, False, False, False], 60, False, [False, True, True, False], 5661, 'North', (13, 3))
Element 21: (0, (13, 3), ['%', '', '.', ''], [(12, 12), (14, 1), (16, 9)], [True, False, False, False], 58, False, [False, False, True, False], 5680, 'North', (13, 4))
Element 22: (0, (13, 4), ['.', '', '', ''], [(12, 13), (13, 1), (16, 10)], [False, False, False, False], 56, False, [True, False, False, False], 5709, 'West', (12, 4))
Element 23: (0, (12, 4), ['.', '%', '', ''], [(13, 13), (12, 1), (16, 11)], [False, True, False, False], 54, False, [True, False, False, False], 5728, 'West', (11, 4))
Element 24: (0, (11, 4), ['.', '.', '%', ''], [(14, 13), (11, 1), (16, 12)], [False, False, True, False], 52, False, [True, True, False, False], 5747, 'South', (11, 3))
Element 25: (0, (11, 3), ['.', 'G', '', '%'], [(15, 13), (11, 2), (15, 12)], [False, False, False, True], 50, False, [True, False, False, False], 5766, 'West', (10, 3))
Element 26: (0, (10, 3), ['', '', '.', ''], [(16, 13), (12, 2), (16, 12)], [False, False, False, False], 48, False, [False, False, True, False], 5775, 'North', (10, 4))
Element 27: (0, (10, 4), ['.', '', 'F', ''], [(17, 13), (13, 2), (17, 12)], [False, False, False, False], 46, False, [True, False, False, False], 5784, 'North', (10, 5))
Element 28: #1#
