Element 1: (2, (6, 12), ['.', 'G', '.', '.'], [(4, 12), (6, 11), (13, 5)], [False, False, False, False], 98, False, [True, False, True, True], 19, 'East', (7, 12))
Element 2: (2, (7, 12), ['G', '%', '.', '.'], [(5, 12), (6, 12), (14, 5)], [False, True, False, False], 96, False, [False, False, True, True], 48, 'East', (8, 12))
Element 3: (2, (8, 12), ['', '%', '%', '.'], [(5, 13), (6, 13), (15, 5)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (9, 12))
Element 4: (2, (9, 12), ['', '%', '.', '.'], [(4, 13), (7, 13), (16, 5)], [False, True, False, False], 92, False, [False, False, True, True], 126, 'East', (10, 12))
Element 5: (2, (10, 12), ['', '%', '.', '.'], [(3, 13), (7, 12), (17, 5)], [False, True, False, False], 90, False, [False, False, True, True], 155, 'East', (11, 12))
Element 6: (2, (11, 12), ['', '%', '%', '.'], [(3, 12), (8, 12), (18, 5)], [False, True, True, False], 88, False, [False, False, False, True], 184, 'East', (12, 12))
Element 7: (2, (12, 12), ['', '.', '.', '.'], [(2, 12), (9, 12), (18, 4)], [False, False, False, False], 86, False, [False, True, True, True], 213, 'East', (13, 12))
Element 8: (2, (13, 12), ['', '.', '.', '%'], [(2, 11), (9, 13), (18, 3)], [False, False, False, True], 84, False, [False, True, True, False], 1242, 'North', (13, 13))
Element 9: (2, (13, 13), ['.', '', '%', '.'], [(1, 11), (10, 13), (17, 3)], [False, False, True, False], 82, False, [True, False, False, True], 2271, 'East', (14, 13))
Element 10: (2, (14, 13), ['', '%', '%', '.'], [(1, 12), (10, 12), (17, 4)], [False, True, True, False], 80, False, [False, False, False, True], 2300, 'East', (15, 13))
Element 11: (2, (15, 13), ['', '.', '%', '.'], [(1, 13), (11, 12), (16, 4)], [False, False, True, False], 78, False, [False, True, False, True], 2329, 'East', (16, 13))
Element 12: (2, (16, 13), ['', '.', '%', '.'], [(1, 12), (12, 12), (16, 3)], [False, False, True, False], 76, False, [False, True, False, True], 2348, 'East', (17, 13))
Element 13: (2, (17, 13), ['', '.', '%', '.'], [(1, 11), (12, 13), (16, 4)], [False, False, True, False], 74, False, [False, True, False, True], 2367, 'East', (18, 13))
Element 14: (2, (18, 13), ['', '.', '%', '%'], [(1, 10), (13, 13), (15, 4)], [False, False, True, True], 72, False, [False, True, False, False], 2396, 'South', (18, 12))
Element 15: (2, (18, 12), ['.', '.', '', '%'], [(2, 10), (14, 13), (14, 4)], [False, False, False, True], 70, False, [True, True, False, False], 2425, 'South', (18, 11))
Element 16: (2, (18, 11), ['.', '.', '', '%'], [(3, 10), (15, 13), (14, 3)], [False, False, False, True], 68, False, [True, True, False, False], 2454, 'South', (18, 10))
Element 17: (2, (18, 10), ['.', '%', '', '%'], [(4, 10), (15, 12), (14, 2)], [False, True, False, True], 66, False, [True, False, False, False], 2493, 'West', (17, 10))
Element 18: (2, (17, 10), ['.', '.', '.', ''], [(3, 10), (16, 12), (14, 1)], [False, False, False, False], 64, False, [True, True, True, False], 2522, 'North', (17, 11))
Element 19: (2, (17, 11), ['.', '', 'G', ''], [(2, 10), (17, 12), (15, 1)], [False, False, False, False], 62, False, [True, False, False, False], 2551, 'West', (16, 11))
Element 20: (2, (16, 11), ['%', '.', '', ''], [(1, 10), (18, 12), (14, 1)], [True, False, False, False], 60, False, [False, True, False, False], 2560, 'South', (16, 10))
Element 21: (2, (16, 10), ['%', '.', '', ''], [(1, 11), (18, 13), (13, 1)], [True, False, False, False], 58, False, [False, True, False, False], 2579, 'South', (16, 9))
Element 22: (2, (16, 9), ['%', '%', '', '.'], [(2, 11), (17, 13), (13, 2)], [True, True, False, False], 56, False, [False, False, False, True], 2598, 'East', (17, 9))
Element 23: (2, (17, 9), ['', '%', '', '%'], [(2, 10), (16, 13), (13, 3)], [False, True, False, True], 54, False, [False, False, False, False], 2617, 'West', (16, 9))
Element 24: (2, (16, 9), ['%', '%', '', ''], [(2, 11), (17, 13), (13, 4)], [True, True, False, False], 52, False, [False, False, False, False], 2626, 'North', (16, 10))
Element 25: (2, (16, 10), ['%', '', '', ''], [(2, 12), (18, 13), (12, 4)], [True, False, False, False], 50, False, [False, False, False, False], 2635, 'North', (16, 11))
Element 26: (2, (16, 11), ['%', '', '', ''], [(1, 12), (18, 12), (12, 5)], [True, False, False, False], 48, False, [False, False, False, False], 2644, 'North', (16, 12))
Element 27: (2, (16, 12), ['', '', '', ''], [(2, 12), (18, 11), (12, 6)], [False, False, False, False], 46, False, [False, False, False, False], 2653, 'East', (17, 12))
Element 28: (2, (17, 12), ['', '', '', ''], [(3, 12), (18, 10), (13, 6)], [False, False, False, False], 44, False, [False, False, False, False], 2662, 'West', (16, 12))
Element 29: (2, (16, 12), ['', '', '', ''], [(3, 13), (17, 10), (12, 6)], [False, False, False, False], 42, False, [False, False, False, False], 2661, 'West', (15, 12))
Element 30: (2, (15, 12), ['%', '%', '', ''], [(4, 13), (17, 11), (11, 6)], [True, True, False, False], 40, False, [False, False, False, False], 2670, 'East', (16, 12))
Element 31: (2, (16, 12), ['', 'G', '', ''], [(5, 13), (16, 11), (12, 6)], [False, False, False, False], 38, False, [False, False, False, False], 2669, 'West', (15, 12))
Element 32: (2, (15, 12), ['%', '%', '', ''], [(5, 12), (16, 10), (12, 5)], [True, True, False, False], 36, False, [False, False, False, False], 2668, 'Stop', (15, 12))
Element 33: (2, (15, 12), ['%', '%', '', ''], [(5, 11), (16, 9), (12, 4)], [True, True, False, False], 34, False, [False, False, False, False], 2667, 'Stop', (15, 12))
Element 34: (2, (15, 12), ['%', '%', '', ''], [(6, 11), (17, 9), (11, 4)], [True, True, False, False], 32, False, [False, False, False, False], 2676, 'North', (15, 13))
Element 35: (2, (15, 13), ['', '', '%', ''], [(6, 12), (16, 9), (11, 3)], [False, False, True, False], 30, False, [False, False, False, False], 2685, 'South', (15, 12))
Element 36: (2, (15, 12), ['%', '%', '', ''], [(7, 12), (16, 10), (11, 2)], [True, True, False, False], 28, False, [False, False, False, False], 2694, 'North', (15, 13))
Element 37: (2, (15, 13), ['', '', '%', ''], [(8, 12), (16, 11), (12, 2)], [False, False, True, False], 26, False, [False, False, False, False], 2703, 'South', (15, 12))
Element 38: (2, (15, 12), ['%', '%', '', ''], [(9, 12), (17, 11), (12, 1)], [True, True, False, False], 24, False, [False, False, False, False], 2712, 'Stop', (15, 12))
Element 39: (2, (15, 12), ['%', '%', '', ''], [(10, 12), (17, 10), (11, 1)], [True, True, False, False], 22, False, [False, False, False, False], 2721, 'Stop', (15, 12))
Element 40: (2, (15, 12), ['%', '%', '', ''], [(11, 12), (17, 9), (12, 1)], [True, True, False, False], 20, False, [False, False, False, False], 2720, 'Stop', (15, 12))
Element 41: (2, (15, 12), ['%', '%', '', ''], [(12, 12), (17, 10), (12, 2)], [True, True, False, False], 18, False, [False, False, False, False], 2719, 'Stop', (15, 12))
Element 42: (2, (15, 12), ['%', '%', '', ''], [(12, 11), (16, 10), (11, 2)], [True, True, False, False], 16, False, [False, False, False, False], 2728, 'East', (16, 12))
Element 43: (2, (16, 12), ['', '', '', ''], [(13, 11), (17, 10), (11, 1)], [False, False, False, False], 14, False, [False, False, False, False], 2737, 'East', (17, 12))
Element 44: (2, (17, 12), ['', '', '', ''], [(13, 12), (18, 10), (11, 2)], [False, False, False, False], 12, False, [False, False, False, False], 2736, 'East', (18, 12))
Element 45: (2, (18, 12), ['', 'G', '', '%'], [(13, 13), (18, 11), (10, 2)], [False, False, False, True], 10, False, [False, False, False, False], 2745, 'North', (18, 13))
Element 46: (2, (18, 13), ['', '', '%', '%'], [(14, 13), (17, 11), (9, 2)], [False, False, True, True], 8, False, [False, False, False, False], 3744, 'West', (17, 13))
