Element 1: (2, (5, 6), ['.', '.', '%', 'G'], [(6, 6), (6, 1), (15, 7)], [False, False, True, False], 98, False, [True, True, False, False], 19, 'South', (5, 5))
Element 2: (2, (5, 5), ['.', '%', 'G', ''], [(5, 6), (7, 1), (15, 8)], [False, True, False, False], 96, False, [True, False, False, False], 48, 'West', (4, 5))
Element 3: (2, (4, 5), ['.', '.', 'G', ''], [(4, 6), (8, 1), (14, 8)], [False, False, False, False], 94, False, [True, True, False, False], 87, 'South', (4, 4))
Element 4: (2, (4, 4), ['.', '.', '', '%'], [(3, 6), (9, 1), (14, 7)], [False, False, False, True], 92, False, [True, True, False, False], 126, 'South', (4, 3))
Element 5: (2, (4, 3), ['.', '.', '', '.'], [(3, 7), (9, 2), (14, 8)], [False, False, False, False], 90, False, [True, True, False, True], 1145, 'East', (5, 3))
Element 6: (2, (5, 3), ['', '.', '%', '.'], [(2, 7), (10, 2), (13, 8)], [False, False, True, False], 88, False, [False, True, False, True], 1184, 'East', (6, 3))
Element 7: (2, (6, 3), ['', '.', '.', '.'], [(2, 8), (11, 2), (14, 8)], [False, False, False, False], 86, False, [False, True, True, True], 2203, 'East', (7, 3))
Element 8: (2, (7, 3), ['', '.', '%', '.'], [(1, 8), (12, 2), (15, 8)], [False, False, True, False], 84, False, [False, True, False, True], 3222, 'East', (8, 3))
Element 9: (2, (8, 3), ['', '.', '.', '.'], [(1, 7), (13, 2), (15, 7)], [False, False, False, False], 82, False, [False, True, True, True], 3251, 'East', (9, 3))
Element 10: (2, (9, 3), ['', '', '.', '.'], [(1, 6), (14, 2), (15, 6)], [False, False, False, False], 80, False, [False, False, True, True], 3290, 'East', (10, 3))
Element 11: (2, (10, 3), ['', '', '.', '.'], [(2, 6), (14, 3), (16, 6)], [False, False, False, False], 78, False, [False, False, True, True], 3329, 'East', (11, 3))
Element 12: (2, (11, 3), ['', '', '.', '%'], [(2, 5), (14, 4), (17, 6)], [False, False, False, True], 76, False, [False, False, True, False], 3368, 'North', (11, 4))
Element 13: (2, (11, 4), ['.', '', '%', '.'], [(3, 5), (15, 4), (17, 7)], [False, False, True, False], 74, False, [True, False, False, True], 3407, 'East', (12, 4))
Element 14: (2, (12, 4), ['', '%', '.', '.'], [(3, 4), (16, 4), (18, 7)], [False, True, False, False], 72, False, [False, False, True, True], 3446, 'East', (13, 4))
