Element 38: (1, (13, 6), ['', '', '%', '%'], [(15, 1), (18, 4), (4, 13)], [False, False, True, True], 24, False, [False, False, False, False], 2862, 'West', (12, 6))
Element 39: (1, (12, 6), ['.', '', '%', ''], [(14, 1), (18, 3), (4, 12)], [False, False, True, False], 22, False, [True, False, False, False], 2871, 'West', (11, 6))
Element 40: (1, (11, 6), ['%', '%', '%', ''], [(14, 2), (17, 3), (4, 11)], [True, True, True, False], 20, False, [False, False, False, False], 2890, 'East', (12, 6))
Element 41: (1, (12, 6), ['', '', '%', ''], [(14, 1), (17, 4), (4, 10)], [False, False, True, False], 18, False, [False, False, False, False], 2899, 'South', (12, 5))
Element 42: (1, (12, 5), ['%', '', '', ''], [(13, 1), (16, 4), (3, 10)], [True, False, False, False], 16, False, [False, False, False, False], 2908, 'South', (12, 4))
Element 43: (1, (12, 4), ['', '%', '', ''], [(12, 1), (16, 3), (2, 10)], [False, True, False, False], 14, False, [False, False, False, False], 2927, 'East', (13, 4))
Element 44: (1, (13, 4), ['', '', '', ''], [(11, 1), (16, 4), (2, 11)], [False, False, False, False], 12, False, [False, False, False, False], 3936, 'South', (13, 3))
Element 45: (1, (13, 3), ['%', '', '', ''], [(11, 2), (15, 4), (1, 11)], [True, False, False, False], 10, False, [False, False, False, False], 4935, 'North', (13, 4))
Element 46: (1, (13, 4), ['', '', '', 'G'], [(12, 2), (14, 4), (1, 12)], [False, False, False, False], 8, False, [False, False, False, False], 4944, 'West', (12, 4))
Element 47: (1, (12, 4), ['', '%', '', ''], [(11, 2), (14, 3), (2, 12)], [False, True, False, False], 6, False, [False, False, False, False], 4953, 'West', (11, 4))
Element 48: (1, (11, 4), ['', '', '%', ''], [(10, 2), (14, 2), (3, 12)], [False, False, True, False], 4, False, [False, False, False, False], 4962, 'South', (11, 3))
Element 49: (1, (11, 3), ['', 'G', '', '%'], [(11, 2), (14, 1), (3, 13)], [False, False, False, True], 2, False, [False, False, False, False], 4971, 'West', (10, 3))
Element 50: (1, (10, 3), ['', '', '', ''], [(11, 2), (15, 1), (3, 12)], [False, False, False, False], 0, False, [False, False, False, False], 4970, 'Stop', (10, 3))
Element 51: #0#
