Element 1: (3, (12, 12), ['.', '', '.', '.'], [(5, 13), (9, 2), (13, 11)], [False, False, False, False], 98, False, [True, False, True, True], 1019, 'East', (13, 12))
Element 2: (3, (13, 12), ['', '', '.', '%'], [(6, 13), (10, 2), (12, 11)], [False, False, False, True], 96, False, [False, False, True, False], 1048, 'North', (13, 13))
Element 3: (3, (13, 13), ['.', '', '%', '.'], [(7, 13), (11, 2), (12, 11)], [False, False, True, False], 94, False, [True, False, False, True], 1077, 'East', (14, 13))
Element 4: (3, (14, 13), ['', '%', '%', '.'], [(7, 12), (12, 2), (13, 11)], [False, True, True, False], 92, False, [False, False, False, True], 1106, 'East', (15, 13))
Element 5: (3, (15, 13), ['', '.', '%', '.'], [(8, 12), (13, 2), (13, 12)], [False, False, True, False], 90, False, [False, True, False, True], 1135, 'East', (16, 13))
Element 6: (3, (16, 13), ['', '.', '%', '.'], [(9, 12), (14, 2), (13, 13)], [False, False, True, False], 88, False, [False, True, False, True], 1164, 'East', (17, 13))
Element 7: (3, (17, 13), ['', '.', '%', '.'], [(10, 12), (14, 3), (12, 13)], [False, False, True, False], 86, False, [False, True, False, True], 1203, 'East', (18, 13))
Element 8: (3, (18, 13), ['', '.', '%', '%'], [(11, 12), (14, 4), (12, 12)], [False, False, True, True], 84, False, [False, True, False, False], 1232, 'South', (18, 12))
Element 9: (3, (18, 12), ['.', '.', '', '%'], [(10, 12), (15, 4), (11, 12)], [False, False, False, True], 82, False, [True, True, False, False], 1251, 'South', (18, 11))
Element 10: (3, (18, 11), ['.', '.', '', '%'], [(10, 13), (16, 4), (10, 12)], [False, False, False, True], 80, False, [True, True, False, False], 1280, 'South', (18, 10))
Element 11: (3, (18, 10), ['.', '%', '', '%'], [(9, 13), (17, 4), (10, 13)], [False, True, False, True], 78, False, [True, False, False, False], 1309, 'West', (17, 10))
Element 12: (3, (17, 10), ['.', '.', '.', ''], [(9, 12), (18, 4), (9, 13)], [False, False, False, False], 76, False, [True, True, True, False], 1328, 'North', (17, 11))
Element 13: (3, (17, 11), ['.', '', '.', ''], [(10, 12), (18, 5), (9, 12)], [False, False, False, False], 74, False, [True, False, True, False], 1347, 'North', (17, 12))
Element 14: (3, (17, 12), ['.', '', '', ''], [(10, 13), (17, 5), (8, 12)], [False, False, False, False], 72, False, [True, False, False, False], 1366, 'West', (16, 12))
Element 15: (3, (16, 12), ['.', '.', '', ''], [(9, 13), (17, 6), (7, 12)], [False, False, False, False], 70, False, [True, True, False, False], 1385, 'South', (16, 11))
Element 16: (3, (16, 11), ['%', '.', '', ''], [(9, 12), (17, 7), (6, 12)], [True, False, False, False], 68, False, [False, True, False, False], 1414, 'South', (16, 10))
Element 17: (3, (16, 10), ['%', '.', '', ''], [(8, 12), (18, 7), (6, 11)], [True, False, False, False], 66, False, [False, True, False, False], 1443, 'South', (16, 9))
Element 18: (3, (16, 9), ['%', '%', '', '.'], [(7, 12), (17, 7), (5, 11)], [True, True, False, False], 64, False, [False, False, False, True], 1462, 'East', (17, 9))
Element 19: (3, (17, 9), ['', '%', '', '%'], [(6, 12), (17, 6), (5, 12)], [False, True, False, True], 62, False, [False, False, False, False], 1481, 'West', (16, 9))
Element 20: (3, (16, 9), ['%', '%', '', ''], [(6, 11), (16, 6), (4, 12)], [True, True, False, False], 60, False, [False, False, False, False], 1500, 'North', (16, 10))
Element 21: (3, (16, 10), ['%', '', '', ''], [(5, 11), (16, 5), (4, 11)], [True, False, False, False], 58, False, [False, False, False, False], 1519, 'North', (16, 11))
Element 22: (3, (16, 11), ['%', '', '', ''], [(5, 12), (15, 5), (4, 10)], [True, False, False, False], 56, False, [False, False, False, False], 1538, 'North', (16, 12))
Element 23: (3, (16, 12), ['.', '', '', ''], [(4, 12), (15, 6), (3, 10)], [False, False, False, False], 54, False, [True, False, False, False], 1557, 'West', (15, 12))
Element 24: (3, (15, 12), ['%', '%', '', ''], [(3, 12), (15, 7), (2, 10)], [True, True, False, False], 52, False, [False, False, False, False], 1596, 'East', (16, 12))
Element 25: (3, (16, 12), ['', '', '', ''], [(3, 13), (15, 8), (2, 11)], [False, False, False, False], 50, False, [False, False, False, False], 2615, 'East', (17, 12))
Element 26: (3, (17, 12), ['', '', '', ''], [(3, 12), (14, 8), (1, 11)], [False, False, False, False], 48, False, [False, False, False, False], 3624, 'South', (17, 11))
Element 27: (3, (17, 11), ['', '', '', ''], [(2, 12), (14, 7), (1, 12)], [False, False, False, False], 46, False, [False, False, False, False], 3653, 'West', (16, 11))
Element 28: (3, (16, 11), ['%', '', '', ''], [(2, 11), (14, 8), (1, 13)], [True, False, False, False], 44, False, [False, False, False, False], 3662, 'East', (17, 11))
Element 29: (3, (17, 11), ['', '', '', ''], [(2, 10), (13, 8), (1, 12)], [False, False, False, False], 42, False, [False, False, False, False], 3671, 'South', (17, 10))
Element 30: (3, (17, 10), ['', '', '', ''], [(1, 10), (14, 8), (2, 12)], [False, False, False, False], 40, False, [False, False, False, False], 3680, 'South', (17, 9))
Element 31: (3, (17, 9), ['', '%', '', '%'], [(1, 11), (15, 8), (3, 12)], [False, True, False, True], 38, False, [False, False, False, False], 3679, 'North', (17, 10))
Element 32: (3, (17, 10), ['', '', '', ''], [(1, 12), (15, 7), (3, 13)], [False, False, False, False], 36, False, [False, False, False, False], 3678, 'West', (16, 10))
Element 33: (3, (16, 10), ['%', '', '', ''], [(1, 13), (14, 7), (4, 13)], [True, False, False, False], 34, False, [False, False, False, False], 3677, 'East', (17, 10))
Element 34: (3, (17, 10), ['', '', '', ''], [(1, 12), (15, 7), (5, 13)], [False, False, False, False], 32, False, [False, False, False, False], 3676, 'East', (18, 10))
Element 35: (3, (18, 10), ['', '%', '', '%'], [(1, 11), (15, 6), (6, 13)], [False, True, False, True], 30, False, [False, False, False, False], 3675, 'North', (18, 11))
Element 36: (3, (18, 11), ['', '', '', '%'], [(1, 10), (15, 5), (7, 13)], [False, False, False, True], 28, False, [False, False, False, False], 3674, 'West', (17, 11))
Element 37: (3, (17, 11), ['', '', '', ''], [(2, 10), (14, 5), (6, 13)], [False, False, False, False], 26, False, [False, False, False, False], 3683, 'East', (18, 11))
Element 38: (3, (18, 11), ['', '', '', '%'], [(3, 10), (13, 5), (5, 13)], [False, False, False, True], 24, False, [False, False, False, False], 3692, 'North', (18, 12))
Element 39: (3, (18, 12), ['', '', '', '%'], [(4, 10), (13, 6), (4, 13)], [False, False, False, True], 22, False, [False, False, False, False], 3701, 'West', (17, 12))
Element 40: (3, (17, 12), ['', '', '', ''], [(4, 11), (12, 6), (3, 13)], [False, False, False, False], 20, False, [False, False, False, False], 3710, 'East', (18, 12))
Element 41: (3, (18, 12), ['', '', '', '%'], [(4, 10), (12, 5), (3, 12)], [False, False, False, True], 18, False, [False, False, False, False], 3719, 'North', (18, 13))
Element 42: (3, (18, 13), ['', '', '%', '%'], [(3, 10), (12, 4), (2, 12)], [False, False, True, True], 16, False, [False, False, False, False], 3728, 'West', (17, 13))
Element 43: (3, (17, 13), ['', '', '%', ''], [(2, 10), (13, 4), (1, 12)], [False, False, True, False], 14, False, [False, False, False, False], 3737, 'South', (17, 12))
Element 44: (3, (17, 12), ['', '', '', ''], [(2, 11), (13, 3), (1, 11)], [False, False, False, False], 12, False, [False, False, False, False], 3746, 'North', (17, 13))
Element 45: (3, (17, 13), ['', '', '%', ''], [(2, 10), (13, 4), (1, 10)], [False, False, True, False], 10, False, [False, False, False, False], 3745, 'West', (16, 13))
Element 46: (3, (16, 13), ['', '', '%', ''], [(2, 11), (12, 4), (1, 11)], [False, False, True, False], 8, False, [False, False, False, False], 3744, 'South', (16, 12))
Element 47: (3, (16, 12), ['', '', '', ''], [(2, 12), (11, 4), (2, 11)], [False, False, False, False], 6, False, [False, False, False, False], 3753, 'North', (16, 13))
Element 48: (3, (16, 13), ['', '', '%', ''], [(3, 12), (11, 3), (2, 12)], [False, False, True, False], 4, False, [False, False, False, False], 3762, 'West', (15, 13))
Element 49: (3, (15, 13), ['', '', '%', ''], [(4, 12), (10, 3), (2, 11)], [False, False, True, False], 2, False, [False, False, False, False], 3771, 'South', (15, 12))
Element 50: (3, (15, 12), ['%', '%', '', ''], [(4, 12), (10, 3), (2, 11)], [True, True, False, False], 0, False, [False, False, False, False], 3770, 'Stop', (15, 12))
Element 51: #0#
