Element 1: (2, (5, 11), ['G', '%', '.', '.'], [(13, 6), (4, 11), (11, 4)], [False, True, False, False], 98, False, [False, False, True, True], 19, 'East', (6, 11))
Element 2: (2, (6, 11), ['', '%', '.', '%'], [(13, 5), (4, 12), (12, 4)], [False, True, False, True], 96, False, [False, False, True, False], 58, 'North', (6, 12))
Element 3: (2, (6, 12), ['G', '', '.', '.'], [(14, 5), (5, 12), (13, 4)], [False, False, False, False], 94, False, [False, False, True, True], 97, 'East', (7, 12))
Element 4: (2, (7, 12), ['', '%', '.', '.'], [(15, 5), (5, 13), (14, 4)], [False, True, False, False], 92, False, [False, False, True, True], 136, 'East', (8, 12))
Element 5: (2, (8, 12), ['', '%', '%', '.'], [(16, 5), (6, 13), (15, 4)], [False, True, True, False], 90, False, [False, False, False, True], 175, 'East', (9, 12))
Element 6: (2, (9, 12), ['', '%', '.', '.'], [(17, 5), (7, 13), (16, 4)], [False, True, False, False], 88, False, [False, False, True, True], 214, 'East', (10, 12))
Element 7: (2, (10, 12), ['', '%', '.', '.'], [(18, 5), (7, 12), (17, 4)], [False, True, False, False], 86, False, [False, False, True, True], 243, 'East', (11, 12))
Element 8: (2, (11, 12), ['', '%', '%', '.'], [(17, 5), (8, 12), (18, 4)], [False, True, True, False], 84, False, [False, False, False, True], 262, 'East', (12, 12))
Element 9: (2, (12, 12), ['', '.', '.', '.'], [(17, 6), (9, 12), (18, 3)], [False, False, False, False], 82, False, [False, True, True, True], 291, 'East', (13, 12))
Element 10: (2, (13, 12), ['', '.', '.', '%'], [(17, 7), (9, 13), (17, 3)], [False, False, False, True], 80, False, [False, True, True, False], 330, 'North', (13, 13))
Element 11: (2, (13, 13), ['.', '', '%', '.'], [(18, 7), (10, 13), (16, 3)], [False, False, True, False], 78, False, [True, False, False, True], 369, 'East', (14, 13))
Element 12: (2, (14, 13), ['', '%', '%', '.'], [(17, 7), (10, 12), (17, 3)], [False, True, True, False], 76, False, [False, False, False, True], 378, 'East', (15, 13))
Element 13: (2, (15, 13), ['', '.', '%', '.'], [(17, 6), (11, 12), (18, 3)], [False, False, True, False], 74, False, [False, True, False, True], 387, 'East', (16, 13))
Element 14: (2, (16, 13), ['', '.', '%', '.'], [(16, 6), (12, 12), (18, 4)], [False, False, True, False], 72, False, [False, True, False, True], 406, 'East', (17, 13))
Element 15: (2, (17, 13), ['', '.', '%', '.'], [(15, 6), (12, 13), (18, 5)], [False, False, True, False], 70, False, [False, True, False, True], 435, 'East', (18, 13))
Element 16: (2, (18, 13), ['', '.', '%', '%'], [(15, 7), (13, 13), (17, 5)], [False, False, True, True], 68, False, [False, True, False, False], 454, 'South', (18, 12))
Element 17: (2, (18, 12), ['.', '.', '', '%'], [(15, 8), (14, 13), (17, 6)], [False, False, False, True], 66, False, [True, True, False, False], 473, 'South', (18, 11))
Element 18: (2, (18, 11), ['.', '.', '', '%'], [(14, 8), (15, 13), (17, 7)], [False, False, False, True], 64, False, [True, True, False, False], 492, 'South', (18, 10))
Element 19: (2, (18, 10), ['.', '%', '', '%'], [(14, 7), (15, 12), (18, 7)], [False, True, False, True], 62, False, [True, False, False, False], 521, 'West', (17, 10))
Element 20: (2, (17, 10), ['.', '.', '.', ''], [(14, 8), (16, 12), (17, 7)], [False, False, False, False], 60, False, [True, True, True, False], 540, 'North', (17, 11))
Element 21: (2, (17, 11), ['.', '', 'G', ''], [(13, 8), (17, 12), (17, 6)], [False, False, False, False], 58, False, [True, False, False, False], 569, 'West', (16, 11))
