Element 1: (1, (1, 7), ['%', '.', 'F', '.'], [(4, 12), (6, 4), (14, 1)], [True, False, False, False], 98, False, [False, True, False, True], 9, 'North', (1, 8))
Element 2: (1, (1, 8), ['%', '', '%', 'F'], [(5, 12), (6, 5), (15, 1)], [True, False, True, False], 96, False, [False, False, False, False], 1038, 'East', (2, 8))
Element 3: (1, (2, 8), ['', '.', '%', '%'], [(6, 12), (6, 6), (14, 1)], [False, False, True, True], 94, False, [False, True, False, False], 2057, 'South', (2, 7))
Element 4: (1, (2, 7), ['', '.', '', '.'], [(7, 12), (5, 6), (14, 2)], [False, False, False, False], 92, False, [False, True, False, True], 2096, 'East', (3, 7))
Element 5: (1, (3, 7), ['', '.', '%', '%'], [(8, 12), (5, 5), (14, 3)], [False, False, True, True], 90, False, [False, True, False, False], 2135, 'South', (3, 6))
Element 6: (1, (3, 6), ['.', '.', '', '.'], [(9, 12), (4, 5), (14, 4)], [False, False, False, False], 88, False, [True, True, False, True], 2174, 'East', (4, 6))
Element 7: (1, (4, 6), ['', '', '%', ''], [(10, 12), (4, 4), (15, 4)], [False, False, True, False], 86, False, [False, False, False, False], 2213, 'East', (5, 6))
Element 8: (1, (5, 6), ['', '', '%', ''], [(11, 12), (4, 3), (16, 4)], [False, False, True, False], 84, False, [False, False, False, False], 2242, 'East', (6, 6))
Element 9: (1, (6, 6), ['', '', '%', '%'], [(12, 12), (5, 3), (17, 4)], [False, False, True, True], 82, False, [False, False, False, False], 2271, 'South', (6, 5))
Element 10: (1, (6, 5), ['', '', '', '%'], [(13, 12), (6, 3), (18, 4)], [False, False, False, True], 80, False, [False, False, False, False], 2300, 'South', (6, 4))
Element 11: (1, (6, 4), ['%', '', '', '%'], [(13, 13), (7, 3), (18, 5)], [True, False, False, True], 78, False, [False, False, False, False], 2329, 'South', (6, 3))
Element 12: (1, (6, 3), ['', '.', '', ''], [(14, 13), (8, 3), (17, 5)], [False, False, False, False], 76, False, [False, True, False, False], 2358, 'South', (6, 2))
Element 13: (1, (6, 2), ['.', '.', '', '.'], [(15, 13), (9, 3), (17, 6)], [False, False, False, False], 74, False, [True, True, False, True], 2397, 'East', (7, 2))
Element 14: (1, (7, 2), ['', '.', '', '.'], [(16, 13), (9, 2), (17, 7)], [False, False, False, False], 72, False, [False, True, False, True], 3426, 'East', (8, 2))
Element 15: (1, (8, 2), ['', '.', '', ''], [(17, 13), (10, 2), (18, 7)], [False, False, False, False], 70, False, [False, True, False, False], 3465, 'South', (8, 1))
Element 16: (1, (8, 1), ['.', '%', '', '.'], [(18, 13), (11, 2), (17, 7)], [False, True, False, False], 68, False, [True, False, False, True], 3494, 'East', (9, 1))
Element 17: (1, (9, 1), ['', '%', '', '%'], [(18, 12), (12, 2), (17, 6)], [False, True, False, True], 66, False, [False, False, False, False], 3523, 'North', (9, 2))
Element 18: (1, (9, 2), ['', '', '', ''], [(18, 11), (13, 2), (16, 6)], [False, False, False, False], 64, False, [False, False, False, False], 3552, 'East', (10, 2))
Element 19: (1, (10, 2), ['', '%', '.', ''], [(18, 10), (13, 3), (16, 5)], [False, True, False, False], 62, False, [False, False, True, False], 3581, 'North', (10, 3))
Element 20: (1, (10, 3), ['', '', '.', '.'], [(17, 10), (13, 4), (15, 5)], [False, False, False, False], 60, False, [False, False, True, True], 3620, 'East', (11, 3))
Element 21: (1, (11, 3), ['', '', '.', '%'], [(17, 11), (13, 5), (15, 6)], [False, False, False, True], 58, False, [False, False, True, False], 3659, 'North', (11, 4))
Element 22: (1, (11, 4), ['.', '', '%', '.'], [(17, 12), (14, 5), (15, 7)], [False, False, True, False], 56, False, [True, False, False, True], 3698, 'East', (12, 4))
Element 23: (1, (12, 4), ['', '%', '.', ''], [(16, 12), (15, 5), (15, 8)], [False, True, False, False], 54, False, [False, False, True, False], 3727, 'North', (12, 5))
Element 24: (1, (12, 5), ['%', '', '.', ''], [(16, 11), (16, 5), (14, 8)], [True, False, False, False], 52, False, [False, False, True, False], 3756, 'North', (12, 6))
Element 25: (1, (12, 6), ['.', '', '%', '.'], [(16, 10), (17, 5), (14, 7)], [False, False, True, False], 50, False, [True, False, False, True], 3785, 'East', (13, 6))
Element 26: (1, (13, 6), ['', '', '%', '%'], [(16, 9), (18, 5), (14, 8)], [False, False, True, True], 48, False, [False, False, False, False], 3804, 'South', (13, 5))
