Element 1: (2, (12, 6), ['G', '.', '%', '.'], [(9, 2), (11, 6), (13, 8)], [False, False, True, False], 98, False, [False, True, False, True], 999, 'East', (13, 6))
Element 2: (2, (13, 6), ['G', '.', '%', '%'], [(10, 2), (12, 6), (14, 8)], [False, False, True, True], 96, False, [False, True, False, False], 1028, 'South', (13, 5))
Element 3: (2, (13, 5), ['G', '.', '', '.'], [(11, 2), (12, 5), (15, 8)], [False, False, False, False], 94, False, [False, True, False, True], 1067, 'East', (14, 5))
Element 4: (2, (14, 5), ['', '.', '%', '.'], [(12, 2), (12, 4), (15, 7)], [False, False, True, False], 92, False, [False, True, False, True], 1106, 'East', (15, 5))
Element 5: (2, (15, 5), ['', '.', 'G', '.'], [(13, 2), (13, 4), (15, 6)], [False, False, False, False], 90, False, [False, True, False, True], 1145, 'East', (16, 5))
Element 6: (2, (16, 5), ['', '.', 'G', '.'], [(14, 2), (14, 4), (16, 6)], [False, False, False, False], 88, False, [False, True, False, True], 1184, 'East', (17, 5))
Element 7: (2, (17, 5), ['', '.', 'G', '.'], [(14, 3), (15, 4), (17, 6)], [False, False, False, False], 86, False, [False, True, False, True], 1223, 'East', (18, 5))
Element 8: (2, (18, 5), ['', '.', '%', '%'], [(13, 3), (16, 4), (17, 7)], [False, False, True, True], 84, False, [False, True, False, False], 1262, 'South', (18, 4))
Element 9: (2, (18, 4), ['G', '.', '', '%'], [(13, 4), (17, 4), (18, 7)], [False, False, False, True], 82, False, [False, True, False, False], 1291, 'South', (18, 3))
Element 10: (2, (18, 3), ['G', '%', '', '%'], [(14, 4), (17, 3), (17, 7)], [False, True, False, True], 80, False, [False, False, False, False], 1310, 'North', (18, 4))
Element 11: (2, (18, 4), ['', '', '', '%'], [(15, 4), (16, 3), (17, 6)], [False, False, False, True], 78, False, [False, False, False, False], 1319, 'North', (18, 5))
Element 12: (2, (18, 5), ['G', '', '%', '%'], [(16, 4), (17, 3), (17, 5)], [False, False, True, True], 76, False, [False, False, False, False], 1318, 'South', (18, 4))
Element 13: (2, (18, 4), ['G', 'G', 'G', '%'], [(17, 4), (18, 3), (18, 5)], [False, False, False, True], 74, False, [False, False, False, False], 1317, 'Stop', (18, 4))
Element 14: (2, (18, 4), ['', 'G', '', '%'], [(17, 3), (18, 3), (17, 5)], [False, False, False, True], 72, False, [False, False, False, False], 1316, 'West', (17, 4))
Element 15: (2, (17, 4), ['', 'G', '', ''], [(16, 3), (17, 3), (16, 5)], [False, False, False, False], 70, False, [False, False, False, False], 1315, 'West', (16, 4))
Element 16: (2, (16, 4), ['', 'G', '', 'G'], [(16, 3), (17, 4), (15, 5)], [False, False, False, False], 68, False, [False, False, False, False], 1314, 'West', (15, 4))
Element 17: (2, (15, 4), ['', '%', '', 'G'], [(16, 4), (17, 4), (14, 5)], [False, True, False, False], 66, False, [False, False, False, False], 1313, 'West', (14, 4))
Element 18: (2, (14, 4), ['', '', '', ''], [(16, 4), (17, 5), (13, 5)], [False, False, False, False], 64, False, [False, False, False, False], 1312, 'South', (14, 3))
Element 19: (2, (14, 3), ['', '', '', '%'], [(16, 5), (18, 5), (13, 6)], [False, False, False, True], 62, False, [False, False, False, False], 1311, 'South', (14, 2))
Element 20: (2, (14, 2), ['', '.', '', '%'], [(17, 5), (18, 4), (12, 6)], [False, False, False, True], 60, False, [False, True, False, False], 1310, 'South', (14, 1))
Element 21: (2, (14, 1), ['.', '%', '', '.'], [(18, 5), (17, 4), (12, 5)], [False, True, False, False], 58, False, [True, False, False, True], 1319, 'East', (15, 1))
Element 22: (2, (15, 1), ['', '%', '%', '%'], [(18, 4), (17, 5), (12, 4)], [False, True, True, True], 56, False, [False, False, False, False], 1328, 'West', (14, 1))
Element 23: (2, (14, 1), ['.', '%', '', ''], [(18, 3), (17, 6), (11, 4)], [False, True, False, False], 54, False, [True, False, False, False], 1337, 'West', (13, 1))
Element 24: (2, (13, 1), ['.', '%', '', ''], [(18, 4), (17, 7), (11, 3)], [False, True, False, False], 52, False, [True, False, False, False], 1356, 'West', (12, 1))
Element 25: (2, (12, 1), ['.', '%', '', ''], [(18, 5), (18, 7), (10, 3)], [False, True, False, False], 50, False, [True, False, False, False], 1375, 'West', (11, 1))
Element 26: (2, (11, 1), ['%', '%', '', ''], [(17, 5), (17, 7), (10, 4)], [True, True, False, False], 48, False, [False, False, False, False], 1394, 'North', (11, 2))
Element 27: (2, (11, 2), ['', '', '', ''], [(17, 6), (18, 7), (10, 5)], [False, False, False, False], 46, False, [False, False, False, False], 2393, 'East', (12, 2))
Element 28: (2, (12, 2), ['', '', '%', ''], [(17, 7), (18, 7), (9, 5)], [False, False, True, False], 44, False, [False, False, False, False], 2402, 'East', (13, 2))
Element 29: (2, (13, 2), ['', '', '', ''], [(17, 6), (17, 7), (9, 6)], [False, False, False, False], 42, False, [False, False, False, False], 2411, 'North', (13, 3))
Element 30: (2, (13, 3), ['%', '', '', ''], [(16, 6), (17, 6), (9, 7)], [True, False, False, False], 40, False, [False, False, False, False], 2420, 'North', (13, 4))
Element 31: (2, (13, 4), ['', '', '', ''], [(15, 6), (17, 5), (10, 7)], [False, False, False, False], 38, False, [False, False, False, False], 2429, 'West', (12, 4))
Element 32: (2, (12, 4), ['', '%', '', ''], [(15, 7), (17, 4), (10, 8)], [False, True, False, False], 36, False, [False, False, False, False], 2438, 'North', (12, 5))
Element 33: (2, (12, 5), ['%', '', '', ''], [(14, 7), (17, 3), (9, 8)], [True, False, False, False], 34, False, [False, False, False, False], 2457, 'South', (12, 4))
Element 34: (2, (12, 4), ['', '%', '', ''], [(14, 8), (17, 4), (8, 8)], [False, True, False, False], 32, False, [False, False, False, False], 2466, 'West', (11, 4))
Element 35: (2, (11, 4), ['', '', '%', ''], [(15, 8), (17, 5), (8, 9)], [False, False, True, False], 30, False, [False, False, False, False], 2475, 'South', (11, 3))
Element 36: (2, (11, 3), ['', '', '', '%'], [(14, 8), (17, 4), (7, 9)], [False, False, False, True], 28, False, [False, False, False, False], 2484, 'West', (10, 3))
Element 37: (2, (10, 3), ['', '', '', ''], [(13, 8), (16, 4), (7, 8)], [False, False, False, False], 26, False, [False, False, False, False], 2493, 'North', (10, 4))
Element 38: (2, (10, 4), ['.', '', '', ''], [(14, 8), (16, 5), (6, 8)], [False, False, False, False], 24, False, [True, False, False, False], 2502, 'West', (9, 4))
Element 39: (2, (9, 4), ['.', '', '', ''], [(14, 7), (16, 6), (6, 9)], [False, False, False, False], 22, False, [True, False, False, False], 2521, 'West', (8, 4))
Element 40: (2, (8, 4), ['%', '.', '.', ''], [(15, 7), (15, 6), (6, 8)], [True, False, False, False], 20, False, [False, True, True, False], 2530, 'North', (8, 5))
Element 41: (2, (8, 5), ['%', '', '.', ''], [(15, 8), (15, 7), (5, 8)], [True, False, False, False], 18, False, [False, False, True, False], 2549, 'North', (8, 6))
Element 42: (2, (8, 6), ['%', '', '%', ''], [(14, 8), (15, 8), (4, 8)], [True, False, True, False], 16, False, [False, False, False, False], 2568, 'East', (9, 6))
Element 43: (2, (9, 6), ['', '', '', '%'], [(14, 7), (14, 8), (5, 8)], [False, False, False, True], 14, False, [False, False, False, False], 2567, 'North', (9, 7))
Element 44: (2, (9, 7), ['%', '', '', ''], [(14, 7), (13, 8), (6, 8)], [True, False, False, False], 12, False, [False, False, False, False], 2566, 'East', (10, 7))
Element 45: (2, (10, 7), ['', '%', '', '%'], [(14, 7), (14, 8), (7, 8)], [False, True, False, True], 10, False, [False, False, False, False], 2565, 'North', (10, 8))
Element 46: (2, (10, 8), ['', '', '%', '%'], [(14, 7), (15, 8), (7, 9)], [False, False, True, True], 8, False, [False, False, False, False], 2564, 'West', (9, 8))
Element 47: (2, (9, 8), ['', '', '%', ''], [(14, 7), (15, 7), (6, 9)], [False, False, True, False], 6, False, [False, False, False, False], 2563, 'West', (8, 8))
Element 48: (2, (8, 8), ['', '%', '', ''], [(14, 7), (15, 6), (7, 9)], [False, True, False, False], 4, False, [False, False, False, False], 2562, 'North', (8, 9))
Element 49: (2, (8, 9), ['', '', '%', '%'], [(14, 7), (15, 7), (6, 9)], [False, False, True, True], 2, False, [False, False, False, False], 2561, 'West', (7, 9))
Element 50: (2, (7, 9), ['', '', '%', ''], [(14, 7), (15, 7), (6, 8)], [False, False, True, False], 0, False, [False, False, False, False], 2560, 'Stop', (7, 9))
Element 51: #0#
