Element 1: (0, (5, 13), ['.', '.', '%', '.'], [(3, 1), (6, 3), (8, 9)], [False, False, True, False], 98, False, [True, True, False, True], 0, 'East', (6, 13))
Element 2: (0, (6, 13), ['', '.', '%', '.'], [(4, 1), (7, 3), (8, 8)], [False, False, True, False], 96, False, [False, True, False, True], 39, 'East', (7, 13))
Element 3: (0, (7, 13), ['', '.', '%', '%'], [(5, 1), (8, 3), (9, 8)], [False, False, True, True], 94, False, [False, True, False, False], 78, 'South', (7, 12))
Element 4: (0, (7, 12), ['.', '%', '', '.'], [(6, 1), (9, 3), (10, 8)], [False, True, False, False], 92, False, [True, False, False, True], 117, 'East', (8, 12))
Element 5: (0, (8, 12), ['', '%', '%', '.'], [(7, 1), (9, 2), (10, 7)], [False, True, True, False], 90, False, [False, False, False, True], 1146, 'East', (9, 12))
Element 6: (0, (9, 12), ['', '%', '.', '.'], [(8, 1), (10, 2), (9, 7)], [False, True, False, False], 88, False, [False, False, True, True], 1185, 'East', (10, 12))
Element 7: (0, (10, 12), ['', '%', '.', '.'], [(9, 1), (11, 2), (9, 6)], [False, True, False, False], 86, False, [False, False, True, True], 1224, 'East', (11, 12))
Element 8: (0, (11, 12), ['', '%', '%', '.'], [(9, 2), (12, 2), (9, 5)], [False, True, True, False], 84, False, [False, False, False, True], 1253, 'East', (12, 12))
Element 9: (0, (12, 12), ['', '.', '.', '.'], [(8, 2), (13, 2), (10, 5)], [False, False, False, False], 82, False, [False, True, True, True], 2282, 'East', (13, 12))
Element 10: (0, (13, 12), ['', '.', '.', '%'], [(7, 2), (14, 2), (10, 4)], [False, False, False, True], 80, False, [False, True, True, False], 2321, 'North', (13, 13))
Element 11: (0, (13, 13), ['.', '', '%', '.'], [(6, 2), (14, 3), (11, 4)], [False, False, True, False], 78, False, [True, False, False, True], 2360, 'East', (14, 13))
Element 12: (0, (14, 13), ['', '%', '%', '.'], [(5, 2), (14, 4), (12, 4)], [False, True, True, False], 76, False, [False, False, False, True], 2399, 'East', (15, 13))
Element 13: (0, (15, 13), ['', '.', '%', '.'], [(5, 3), (15, 4), (13, 4)], [False, False, True, False], 74, False, [False, True, False, True], 2438, 'East', (16, 13))
Element 14: (0, (16, 13), ['', '.', '%', '.'], [(4, 3), (16, 4), (13, 5)], [False, False, True, False], 72, False, [False, True, False, True], 2477, 'East', (17, 13))
Element 15: (0, (17, 13), ['', '.', '%', '.'], [(4, 4), (17, 4), (14, 5)], [False, False, True, False], 70, False, [False, True, False, True], 2516, 'East', (18, 13))
Element 16: (0, (18, 13), ['', '.', '%', '%'], [(4, 5), (18, 4), (15, 5)], [False, False, True, True], 68, False, [False, True, False, False], 2555, 'South', (18, 12))
Element 17: (0, (18, 12), ['.', '.', '', '%'], [(5, 5), (18, 5), (16, 5)], [False, False, False, True], 66, False, [True, True, False, False], 2594, 'South', (18, 11))
Element 18: (0, (18, 11), ['.', '.', '', '%'], [(6, 5), (17, 5), (16, 6)], [False, False, False, True], 64, False, [True, True, False, False], 2633, 'South', (18, 10))
Element 19: (0, (18, 10), ['.', '%', '', '%'], [(6, 6), (17, 6), (15, 6)], [False, True, False, True], 62, False, [True, False, False, False], 2672, 'West', (17, 10))
Element 20: (0, (17, 10), ['.', '.', '.', ''], [(5, 6), (17, 7), (15, 7)], [False, False, False, False], 60, False, [True, True, True, False], 2711, 'North', (17, 11))
Element 21: (0, (17, 11), ['.', '', '.', ''], [(4, 6), (18, 7), (15, 8)], [False, False, False, False], 58, False, [True, False, True, False], 2750, 'North', (17, 12))
Element 22: (0, (17, 12), ['.', '', '', ''], [(3, 6), (17, 7), (14, 8)], [False, False, False, False], 56, False, [True, False, False, False], 2779, 'West', (16, 12))
Element 23: (0, (16, 12), ['.', '.', '', ''], [(3, 7), (17, 6), (14, 7)], [False, False, False, False], 54, False, [True, True, False, False], 2808, 'South', (16, 11))
Element 24: (0, (16, 11), ['%', '.', '', ''], [(2, 7), (16, 6), (14, 8)], [True, False, False, False], 52, False, [False, True, False, False], 2827, 'South', (16, 10))
Element 25: (0, (16, 10), ['%', '.', '', ''], [(2, 8), (16, 5), (13, 8)], [True, False, False, False], 50, False, [False, True, False, False], 3846, 'South', (16, 9))
Element 26: (0, (16, 9), ['%', '%', '', '.'], [(1, 8), (15, 5), (14, 8)], [True, True, False, False], 48, False, [False, False, False, True], 4855, 'East', (17, 9))
Element 27: (0, (17, 9), ['', '%', '', '%'], [(1, 7), (15, 6), (15, 8)], [False, True, False, True], 46, False, [False, False, False, False], 4874, 'West', (16, 9))
Element 28: (0, (16, 9), ['%', '%', '', ''], [(1, 6), (15, 7), (14, 8)], [True, True, False, False], 44, False, [False, False, False, False], 4883, 'North', (16, 10))
Element 29: (0, (16, 10), ['%', '', '', ''], [(2, 6), (15, 8), (14, 7)], [True, False, False, False], 42, False, [False, False, False, False], 4892, 'North', (16, 11))
Element 30: (0, (16, 11), ['%', '', '', ''], [(2, 5), (14, 8), (15, 7)], [True, False, False, False], 40, False, [False, False, False, False], 4901, 'North', (16, 12))
Element 31: (0, (16, 12), ['.', '', '', ''], [(3, 5), (14, 7), (15, 6)], [False, False, False, False], 38, False, [True, False, False, False], 4910, 'West', (15, 12))
Element 32: (0, (15, 12), ['%', '%', '', ''], [(3, 4), (14, 8), (16, 6)], [True, True, False, False], 36, False, [False, False, False, False], 4929, 'East', (16, 12))
Element 33: (0, (16, 12), ['', '', '', ''], [(3, 3), (13, 8), (16, 5)], [False, False, False, False], 34, False, [False, False, False, False], 4938, 'East', (17, 12))
Element 34: (0, (17, 12), ['', '', '', ''], [(2, 3), (14, 8), (16, 4)], [False, False, False, False], 32, False, [False, False, False, False], 4947, 'South', (17, 11))
Element 35: (0, (17, 11), ['', '', '', ''], [(2, 4), (15, 8), (16, 3)], [False, False, False, False], 30, False, [False, False, False, False], 4966, 'West', (16, 11))
Element 36: (0, (16, 11), ['%', '', '', ''], [(1, 4), (15, 7), (17, 3)], [True, False, False, False], 28, False, [False, False, False, False], 4985, 'East', (17, 11))
Element 37: (0, (17, 11), ['', '', '', ''], [(1, 5), (14, 7), (18, 3)], [False, False, False, False], 26, False, [False, False, False, False], 5004, 'South', (17, 10))
Element 38: (0, (17, 10), ['', '', '', ''], [(1, 4), (15, 7), (18, 4)], [False, False, False, False], 24, False, [False, False, False, False], 5003, 'South', (17, 9))
Element 39: (0, (17, 9), ['', '%', '', '%'], [(2, 4), (15, 6), (18, 5)], [False, True, False, True], 22, False, [False, False, False, False], 5002, 'North', (17, 10))
Element 40: (0, (17, 10), ['', '', '', ''], [(2, 3), (15, 5), (17, 5)], [False, False, False, False], 20, False, [False, False, False, False], 5001, 'West', (16, 10))
Element 41: (0, (16, 10), ['%', '', '', ''], [(2, 2), (14, 5), (17, 6)], [True, False, False, False], 18, False, [False, False, False, False], 5010, 'East', (17, 10))
Element 42: (0, (17, 10), ['', '', '', ''], [(2, 1), (13, 5), (17, 7)], [False, False, False, False], 16, False, [False, False, False, False], 5019, 'East', (18, 10))
Element 43: (0, (18, 10), ['', '%', '', '%'], [(1, 1), (13, 6), (18, 7)], [False, True, False, True], 14, False, [False, False, False, False], 5038, 'North', (18, 11))
Element 44: (0, (18, 11), ['', '', '', '%'], [(1, 2), (12, 6), (17, 7)], [False, False, False, True], 12, False, [False, False, False, False], 5057, 'West', (17, 11))
Element 45: (0, (17, 11), ['', '', '', ''], [(1, 1), (12, 5), (17, 6)], [False, False, False, False], 10, False, [False, False, False, False], 5066, 'East', (18, 11))
Element 46: (0, (18, 11), ['', '', '', '%'], [(2, 1), (12, 4), (17, 5)], [False, False, False, True], 8, False, [False, False, False, False], 5065, 'North', (18, 12))
Element 47: (0, (18, 12), ['', '', '', '%'], [(2, 2), (13, 4), (17, 4)], [False, False, False, True], 6, False, [False, False, False, False], 5064, 'West', (17, 12))
