Element 1: (0, (1, 13), ['%', '.', '%', '%'], [(4, 6), (9, 10), (16, 9)], [True, False, True, True], 98, False, [False, True, False, False], 0, 'South', (1, 12))
Element 2: (0, (1, 12), ['%', 'F', '', '.'], [(5, 6), (10, 10), (17, 9)], [True, False, False, False], 96, False, [False, False, False, True], 39, 'South', (1, 11))
Element 3: (0, (1, 11), ['%', '.', '', 'F'], [(6, 6), (9, 10), (17, 10)], [True, False, False, False], 94, False, [False, True, False, False], 1058, 'East', (2, 11))
Element 4: (0, (2, 11), ['', '.', '.', '%'], [(6, 5), (9, 10), (18, 10)], [False, False, False, True], 92, False, [False, True, True, False], 2077, 'North', (2, 12))
Element 5: (0, (2, 12), ['', '', '%', '.'], [(6, 4), (10, 10), (18, 11)], [False, False, True, False], 90, False, [False, False, False, True], 2106, 'East', (3, 12))
Element 6: (0, (3, 12), ['', '%', '.', '.'], [(6, 3), (9, 10), (18, 12)], [False, True, False, False], 88, False, [False, False, True, True], 2135, 'East', (4, 12))
Element 7: (0, (4, 12), ['', '.', '.', '.'], [(7, 3), (9, 10), (18, 13)], [False, False, False, False], 86, False, [False, True, True, True], 2164, 'East', (5, 12))
Element 8: (0, (5, 12), ['', '.', '.', '.'], [(8, 3), (10, 10), (17, 13)], [False, False, False, False], 84, False, [False, True, True, True], 2193, 'East', (6, 12))
Element 9: (0, (6, 12), ['', '.', '.', '.'], [(9, 3), (9, 10), (17, 12)], [False, False, False, False], 82, False, [False, True, True, True], 2222, 'East', (7, 12))
Element 10: (0, (7, 12), ['', '%', '.', '.'], [(9, 2), (9, 10), (17, 11)], [False, True, False, False], 80, False, [False, False, True, True], 3241, 'East', (8, 12))
Element 11: (0, (8, 12), ['', '%', '%', '.'], [(10, 2), (10, 10), (16, 11)], [False, True, True, False], 78, False, [False, False, False, True], 3270, 'East', (9, 12))
Element 12: (0, (9, 12), ['', '%', '.', '.'], [(11, 2), (9, 10), (16, 12)], [False, True, False, False], 76, False, [False, False, True, True], 3299, 'East', (10, 12))
Element 13: (0, (10, 12), ['', '%', '.', '.'], [(12, 2), (9, 10), (16, 13)], [False, True, False, False], 74, False, [False, False, True, True], 3328, 'East', (11, 12))
Element 14: (0, (11, 12), ['', '%', '%', '.'], [(13, 2), (10, 10), (15, 13)], [False, True, True, False], 72, False, [False, False, False, True], 3357, 'East', (12, 12))
Element 15: (0, (12, 12), ['', '.', '.', '.'], [(14, 2), (9, 10), (15, 12)], [False, False, False, False], 70, False, [False, True, True, True], 3386, 'East', (13, 12))
Element 16: (0, (13, 12), ['', '.', '.', '%'], [(14, 3), (9, 10), (15, 13)], [False, False, False, True], 68, False, [False, True, True, False], 3405, 'North', (13, 13))
Element 17: (0, (13, 13), ['.', '', '%', 'G'], [(14, 4), (10, 10), (14, 13)], [False, False, True, False], 66, False, [True, False, False, False], 3434, 'West', (12, 13))
Element 18: (0, (12, 13), ['%', '', '%', 'G'], [(15, 4), (9, 10), (13, 13)], [True, False, True, False], 64, False, [False, False, False, False], 3453, 'South', (12, 12))
Element 19: (0, (12, 12), ['', '.', '', 'G'], [(16, 4), (9, 10), (13, 12)], [False, False, False, False], 62, False, [False, True, False, False], 3462, 'West', (11, 12))
Element 20: (0, (11, 12), ['', '%', '%', ''], [(17, 4), (10, 10), (13, 11)], [False, True, True, False], 60, False, [False, False, False, False], 3481, 'West', (10, 12))
Element 21: (0, (10, 12), ['', '%', '.', ''], [(18, 4), (9, 10), (12, 11)], [False, True, False, False], 58, False, [False, False, True, False], 3500, 'East', (11, 12))
Element 22: (0, (11, 12), ['', '%', '%', 'G'], [(18, 5), (9, 10), (12, 12)], [False, True, True, False], 56, False, [False, False, False, False], 3509, 'West', (10, 12))
Element 23: (0, (10, 12), ['', '%', '.', ''], [(17, 5), (10, 10), (12, 13)], [False, True, False, False], 54, False, [False, False, True, False], 3518, 'West', (9, 12))
Element 24: (0, (9, 12), ['', '%', '.', ''], [(17, 6), (9, 10), (12, 12)], [False, True, False, False], 52, False, [False, False, True, False], 3527, 'West', (8, 12))
Element 25: (0, (8, 12), ['', '%', '%', ''], [(17, 7), (9, 10), (11, 12)], [False, True, True, False], 50, False, [False, False, False, False], 3536, 'Stop', (8, 12))
Element 26: (0, (8, 12), ['', '%', '%', ''], [(18, 7), (10, 10), (10, 12)], [False, True, True, False], 48, False, [False, False, False, False], 3545, 'East', (9, 12))
Element 27: (0, (9, 12), ['', '%', '.', ''], [(17, 7), (9, 10), (10, 13)], [False, True, False, False], 46, False, [False, False, True, False], 3554, 'East', (10, 12))
Element 28: (0, (10, 12), ['', '%', '', ''], [(17, 6), (9, 10), (9, 13)], [False, True, False, False], 44, False, [False, False, False, False], 3563, 'Stop', (10, 12))
Element 29: (0, (10, 12), ['G', '%', '', ''], [(16, 6), (10, 10), (9, 12)], [False, True, False, False], 42, False, [False, False, False, False], 3572, 'North', (10, 13))
