Element 1: (2, (9, 5), ['.', '.', '.', 'F'], [(18, 10), (7, 12), (16, 10)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'East', (10, 5))
Element 2: (2, (10, 5), ['', '.', '%', '%'], [(18, 11), (8, 12), (16, 11)], [False, False, True, True], 96, False, [False, True, False, False], 1048, 'South', (10, 4))
Element 3: (2, (10, 4), ['.', '.', '', '.'], [(18, 12), (9, 12), (17, 11)], [False, False, False, False], 94, False, [True, True, False, True], 1087, 'East', (11, 4))
Element 4: (2, (11, 4), ['', '.', '%', '.'], [(18, 13), (10, 12), (17, 12)], [False, False, True, False], 92, False, [False, True, False, True], 1126, 'East', (12, 4))
Element 5: (2, (12, 4), ['', '%', '.', '.'], [(18, 12), (11, 12), (17, 13)], [False, True, False, False], 90, False, [False, False, True, True], 1155, 'East', (13, 4))
Element 6: (2, (13, 4), ['', '.', '.', '.'], [(18, 11), (12, 12), (16, 13)], [False, False, False, False], 88, False, [False, True, True, True], 1184, 'East', (14, 4))
Element 7: (2, (14, 4), ['', '.', '.', '.'], [(18, 10), (13, 12), (16, 12)], [False, False, False, False], 86, False, [False, True, True, True], 1213, 'East', (15, 4))
Element 8: (2, (15, 4), ['', '%', '.', '.'], [(17, 10), (13, 13), (15, 12)], [False, True, False, False], 84, False, [False, False, True, True], 1242, 'East', (16, 4))
Element 9: (2, (16, 4), ['', '.', '.', '.'], [(17, 11), (14, 13), (15, 13)], [False, False, False, False], 82, False, [False, True, True, True], 1271, 'East', (17, 4))
Element 10: (2, (17, 4), ['', '.', '.', '.'], [(17, 12), (15, 13), (15, 12)], [False, False, False, False], 80, False, [False, True, True, True], 1280, 'East', (18, 4))
Element 11: (2, (18, 4), ['', '.', '.', '%'], [(17, 13), (16, 13), (16, 12)], [False, False, False, True], 78, False, [False, True, True, False], 1289, 'North', (18, 5))
Element 12: (2, (18, 5), ['.', '', '%', '%'], [(17, 12), (17, 13), (15, 12)], [False, False, True, True], 76, False, [True, False, False, False], 1298, 'West', (17, 5))
Element 13: (2, (17, 5), ['.', '', '.', ''], [(17, 11), (18, 13), (15, 13)], [False, False, False, False], 74, False, [True, False, True, False], 1307, 'North', (17, 6))
Element 14: (2, (17, 6), ['.', '', '.', '%'], [(16, 11), (18, 12), (16, 13)], [False, False, False, True], 72, False, [True, False, True, False], 1316, 'North', (17, 7))
Element 15: (2, (17, 7), ['%', '', '%', '.'], [(16, 12), (18, 11), (17, 13)], [True, False, True, False], 70, False, [False, False, False, True], 1325, 'East', (18, 7))
Element 16: (2, (18, 7), ['', '%', '%', '%'], [(16, 13), (18, 10), (18, 13)], [False, True, True, True], 68, False, [False, False, False, False], 1334, 'West', (17, 7))
Element 17: (2, (17, 7), ['%', '', '%', ''], [(15, 13), (17, 10), (18, 12)], [True, False, True, False], 66, False, [False, False, False, False], 1333, 'South', (17, 6))
Element 18: (2, (17, 6), ['.', '', '', '%'], [(15, 12), (17, 9), (18, 11)], [False, False, False, True], 64, False, [True, False, False, False], 1342, 'West', (16, 6))
Element 19: (2, (16, 6), ['.', '.', '%', ''], [(15, 13), (16, 9), (18, 10)], [False, False, True, False], 62, False, [True, True, False, False], 1361, 'South', (16, 5))
Element 20: (2, (16, 5), ['.', '', '', ''], [(14, 13), (16, 10), (17, 10)], [False, False, False, False], 60, False, [True, False, False, False], 1370, 'West', (15, 5))
Element 21: (2, (15, 5), ['.', '', '.', ''], [(13, 13), (16, 11), (17, 9)], [False, False, False, False], 58, False, [True, False, True, False], 1379, 'North', (15, 6))
Element 22: (2, (15, 6), ['%', '', '.', ''], [(12, 13), (17, 11), (16, 9)], [True, False, False, False], 56, False, [False, False, True, False], 1398, 'North', (15, 7))
Element 23: (2, (15, 7), ['.', '', '.', '%'], [(12, 12), (17, 12), (17, 9)], [False, False, False, True], 54, False, [True, False, True, False], 1407, 'North', (15, 8))
Element 24: (2, (15, 8), ['.', '', '%', '%'], [(12, 11), (16, 12), (17, 10)], [False, False, True, True], 52, False, [True, False, False, False], 1426, 'West', (14, 8))
Element 25: (2, (14, 8), ['.', '.', '%', ''], [(13, 11), (15, 12), (18, 10)], [False, False, True, False], 50, False, [True, True, False, False], 1445, 'South', (14, 7))
Element 26: (2, (14, 7), ['%', '%', '', ''], [(13, 12), (16, 12), (18, 11)], [True, True, False, False], 48, False, [False, False, False, False], 1454, 'North', (14, 8))
Element 27: (2, (14, 8), ['.', '', '%', ''], [(13, 11), (17, 12), (18, 12)], [False, False, True, False], 46, False, [True, False, False, False], 1453, 'West', (13, 8))
Element 28: (2, (13, 8), ['%', '%', '%', ''], [(12, 11), (17, 11), (18, 13)], [True, True, True, False], 44, False, [False, False, False, False], 1462, 'East', (14, 8))
Element 29: (2, (14, 8), ['', '', '%', ''], [(12, 12), (16, 11), (17, 13)], [False, False, True, False], 42, False, [False, False, False, False], 1461, 'East', (15, 8))
Element 30: (2, (15, 8), ['', '', '%', '%'], [(13, 12), (16, 12), (17, 12)], [False, False, True, True], 40, False, [False, False, False, False], 1460, 'South', (15, 7))
Element 31: (2, (15, 7), ['', '', '', '%'], [(12, 12), (16, 11), (17, 11)], [False, False, False, True], 38, False, [False, False, False, False], 1459, 'West', (14, 7))
Element 32: (2, (14, 7), ['%', '%', '', ''], [(11, 12), (16, 10), (17, 12)], [True, True, False, False], 36, False, [False, False, False, False], 1458, 'East', (15, 7))
Element 33: (2, (15, 7), ['', '', '', '%'], [(10, 12), (16, 9), (18, 12)], [False, False, False, True], 34, False, [False, False, False, False], 1457, 'South', (15, 6))
Element 34: (2, (15, 6), ['%', '', '', ''], [(10, 13), (17, 9), (17, 12)], [True, False, False, False], 32, False, [False, False, False, False], 1466, 'South', (15, 5))
Element 35: (2, (15, 5), ['.', '', '', ''], [(9, 13), (17, 10), (17, 11)], [False, False, False, False], 30, False, [True, False, False, False], 1475, 'West', (14, 5))
Element 36: (2, (14, 5), ['.', '', '%', ''], [(9, 12), (17, 11), (18, 11)], [False, False, True, False], 28, False, [True, False, False, False], 1484, 'West', (13, 5))
Element 37: (2, (13, 5), ['.', '', '.', ''], [(8, 12), (17, 10), (18, 10)], [False, False, False, False], 26, False, [True, False, True, False], 1493, 'North', (13, 6))
Element 38: (2, (13, 6), ['.', '', '%', '%'], [(7, 12), (16, 10), (18, 11)], [False, False, True, True], 24, False, [True, False, False, False], 1502, 'West', (12, 6))
Element 39: (2, (12, 6), ['.', '.', '%', ''], [(6, 12), (17, 10), (17, 11)], [False, False, True, False], 22, False, [True, True, False, False], 1521, 'South', (12, 5))
Element 40: (2, (12, 5), ['%', '', '', ''], [(6, 13), (18, 10), (16, 11)], [True, False, False, False], 20, False, [False, False, False, False], 1540, 'North', (12, 6))
Element 41: (2, (12, 6), ['.', '', '%', ''], [(5, 13), (18, 11), (16, 12)], [False, False, True, False], 18, False, [True, False, False, False], 1549, 'West', (11, 6))
Element 42: (2, (11, 6), ['%', '%', '%', ''], [(5, 12), (17, 11), (16, 11)], [True, True, True, False], 16, False, [False, False, False, False], 1568, 'East', (12, 6))
Element 43: (2, (12, 6), ['', '', '%', ''], [(5, 11), (18, 11), (16, 10)], [False, False, True, False], 14, False, [False, False, False, False], 1577, 'East', (13, 6))
Element 44: (2, (13, 6), ['', '', '%', '%'], [(6, 11), (18, 12), (16, 9)], [False, False, True, True], 12, False, [False, False, False, False], 1586, 'South', (13, 5))
Element 45: (2, (13, 5), ['', '', '', ''], [(5, 11), (17, 12), (16, 10)], [False, False, False, False], 10, False, [False, False, False, False], 1585, 'West', (12, 5))
Element 46: (2, (12, 5), ['%', '', '', ''], [(4, 11), (18, 12), (17, 10)], [True, False, False, False], 8, False, [False, False, False, False], 1594, 'East', (13, 5))
Element 47: (2, (13, 5), ['', '', '', ''], [(4, 12), (18, 13), (16, 10)], [False, False, False, False], 6, False, [False, False, False, False], 1603, 'East', (14, 5))
Element 48: (2, (14, 5), ['', '', '%', ''], [(4, 13), (17, 13), (16, 10)], [False, False, True, False], 4, False, [False, False, False, False], 1612, 'East', (15, 5))
Element 49: (2, (15, 5), ['', '', '', ''], [(3, 13), (17, 12), (17, 10)], [False, False, False, False], 2, False, [False, False, False, False], 1621, 'East', (16, 5))
Element 50: (2, (16, 5), ['', '', '', ''], [(3, 13), (17, 12), (18, 10)], [False, False, False, False], 0, False, [False, False, False, False], 1620, 'Stop', (16, 5))
Element 51: #0#
