Element 39: (0, (16, 4), ['', '', '', ''], [(11, 2), (12, 5), (17, 10)], [False, False, False, False], 22, False, [False, False, False, False], 3932, 'West', (15, 4))
Element 40: (0, (15, 4), ['', '%', '', ''], [(11, 1), (12, 4), (18, 10)], [False, True, False, False], 20, False, [False, False, False, False], 3941, 'West', (14, 4))
Element 41: (0, (14, 4), ['G', '', '', ''], [(12, 1), (13, 4), (18, 11)], [False, False, False, False], 18, False, [False, False, False, False], 3950, 'South', (14, 3))
Element 42: (0, (14, 3), ['G', '', '', '%'], [(13, 1), (13, 3), (17, 11)], [False, False, False, True], 16, False, [False, False, False, False], 3969, 'South', (14, 2))
Element 43: (0, (14, 2), ['', 'G', '', '%'], [(14, 1), (13, 4), (18, 11)], [False, False, False, True], 14, False, [False, False, False, False], 3978, 'West', (13, 2))
Element 44: (0, (13, 2), ['', '', '', ''], [(15, 1), (12, 4), (18, 12)], [False, False, False, False], 12, False, [False, False, False, False], 3987, 'North', (13, 3))
Element 45: (0, (13, 3), ['%', '', '', ''], [(14, 1), (11, 4), (17, 12)], [True, False, False, False], 10, False, [False, False, False, False], 3986, 'South', (13, 2))
Element 46: (0, (13, 2), ['', '', '', 'G'], [(14, 2), (10, 4), (18, 12)], [False, False, False, False], 8, False, [False, False, False, False], 3995, 'South', (13, 1))
Element 47: (0, (13, 1), ['', '%', '', ''], [(14, 3), (10, 5), (18, 13)], [False, True, False, False], 6, False, [False, False, False, False], 4994, 'East', (14, 1))
Element 48: (0, (14, 1), ['', '%', '', ''], [(14, 4), (9, 5), (17, 13)], [False, True, False, False], 4, False, [False, False, False, False], 5003, 'East', (15, 1))
Element 49: (0, (15, 1), ['', '%', '%', '%'], [(15, 4), (9, 6), (17, 12)], [False, True, True, True], 2, False, [False, False, False, False], 5012, 'West', (14, 1))
Element 50: (0, (14, 1), ['', '%', '', ''], [(16, 4), (9, 7), (17, 13)], [False, True, False, False], 0, False, [False, False, False, False], 5021, 'Stop', (14, 1))
Element 51: #0#
