Element 39: (3, (4, 12), ['.', '.', '', ''], [(15, 1), (16, 4), (9, 13)], [False, False, False, False], 22, False, [True, True, False, False], 1771, 'South', (4, 11))
Element 40: (3, (4, 11), ['%', '.', '', ''], [(14, 1), (15, 4), (9, 12)], [True, False, False, False], 20, False, [False, True, False, False], 1780, 'South', (4, 10))
Element 41: (3, (4, 10), ['.', '%', '', '%'], [(13, 1), (16, 4), (8, 12)], [False, True, False, True], 18, False, [True, False, False, False], 1799, 'West', (3, 10))
Element 42: (3, (3, 10), ['.', '%', '%', ''], [(13, 2), (17, 4), (7, 12)], [False, True, True, False], 16, False, [True, False, False, False], 1818, 'West', (2, 10))
Element 43: (3, (2, 10), ['.', '%', 'F', ''], [(13, 3), (17, 3), (7, 13)], [False, True, False, False], 14, False, [True, False, False, False], 1837, 'North', (2, 11))
Element 44: (3, (2, 11), ['F', '', '.', '%'], [(13, 4), (16, 3), (6, 13)], [False, False, False, True], 12, False, [False, False, True, False], 2836, 'West', (1, 11))
Element 45: (3, (1, 11), ['%', '.', '.', ''], [(13, 5), (17, 3), (6, 12)], [True, False, False, False], 10, False, [False, True, True, False], 3835, 'North', (1, 12))
Element 46: (3, (1, 12), ['%', '', '.', '.'], [(13, 6), (18, 3), (6, 11)], [True, False, False, False], 8, False, [False, False, True, True], 3844, 'East', (2, 12))
Element 47: (3, (2, 12), ['', '', '%', '.'], [(12, 6), (18, 4), (5, 11)], [False, False, True, False], 6, False, [False, False, False, True], 3853, 'East', (3, 12))
Element 48: (3, (3, 12), ['', '%', '.', ''], [(12, 5), (17, 4), (5, 12)], [False, True, False, False], 4, False, [False, False, True, False], 3862, 'North', (3, 13))
Element 49: (3, (3, 13), ['%', '', '%', ''], [(12, 4), (18, 4), (5, 13)], [True, False, True, False], 2, False, [False, False, False, False], 3871, 'South', (3, 12))
Element 50: (3, (3, 12), ['', '%', '', ''], [(12, 4), (18, 4), (5, 13)], [False, True, False, False], 0, False, [False, False, False, False], 3870, 'Stop', (3, 12))
Element 51: #0#
