Element 1: (3, (13, 2), ['', '.', '.', '.'], [(12, 1), (2, 8), (9, 2)], [False, False, False, False], 98, False, [False, True, True, True], 2009, 'East', (14, 2))
Element 2: (3, (14, 2), ['', '.', '.', '%'], [(13, 1), (1, 8), (10, 2)], [False, False, False, True], 96, False, [False, True, True, False], 3038, 'North', (14, 3))
Element 3: (3, (14, 3), ['.', '', '.', '%'], [(14, 1), (1, 7), (11, 2)], [False, False, False, True], 94, False, [True, False, True, False], 3077, 'North', (14, 4))
Element 4: (3, (14, 4), ['.', '', '.', '.'], [(15, 1), (1, 6), (11, 3)], [False, False, False, False], 92, False, [True, False, True, True], 3116, 'East', (15, 4))
Element 5: (3, (15, 4), ['', '%', '.', '.'], [(14, 1), (2, 6), (11, 4)], [False, True, False, False], 90, False, [False, False, True, True], 3145, 'East', (16, 4))
Element 6: (3, (16, 4), ['', '.', '.', '.'], [(14, 2), (3, 6), (12, 4)], [False, False, False, False], 88, False, [False, True, True, True], 3174, 'East', (17, 4))
Element 7: (3, (17, 4), ['', '.', '.', '.'], [(14, 3), (4, 6), (13, 4)], [False, False, False, False], 86, False, [False, True, True, True], 3203, 'East', (18, 4))
Element 8: (3, (18, 4), ['', '.', '.', '%'], [(13, 3), (5, 6), (13, 5)], [False, False, False, True], 84, False, [False, True, True, False], 3242, 'North', (18, 5))
Element 9: (3, (18, 5), ['.', '', '%', '%'], [(13, 4), (6, 6), (14, 5)], [False, False, True, True], 82, False, [True, False, False, False], 3271, 'West', (17, 5))
Element 10: (3, (17, 5), ['.', '', '.', ''], [(14, 4), (6, 5), (15, 5)], [False, False, False, False], 80, False, [True, False, True, False], 3300, 'North', (17, 6))
Element 11: (3, (17, 6), ['.', '', '.', '%'], [(15, 4), (6, 4), (16, 5)], [False, False, False, True], 78, False, [True, False, True, False], 3329, 'North', (17, 7))
Element 12: (3, (17, 7), ['%', '', '%', '.'], [(16, 4), (6, 3), (16, 6)], [True, False, True, False], 76, False, [False, False, False, True], 3358, 'East', (18, 7))
Element 13: (3, (18, 7), ['', '%', '%', '%'], [(16, 3), (7, 3), (15, 6)], [False, True, True, True], 74, False, [False, False, False, False], 3397, 'West', (17, 7))
Element 14: (3, (17, 7), ['%', '', '%', ''], [(17, 3), (8, 3), (15, 7)], [True, False, True, False], 72, False, [False, False, False, False], 3426, 'South', (17, 6))
Element 15: (3, (17, 6), ['', '', '', '%'], [(18, 3), (9, 3), (15, 8)], [False, False, False, True], 70, False, [False, False, False, False], 3455, 'West', (16, 6))
Element 16: (3, (16, 6), ['', '', '%', ''], [(18, 4), (10, 3), (14, 8)], [False, False, True, False], 68, False, [False, False, False, False], 3474, 'South', (16, 5))
Element 17: (3, (16, 5), ['', '', '', ''], [(18, 5), (10, 4), (14, 7)], [False, False, False, False], 66, False, [False, False, False, False], 3493, 'West', (15, 5))
Element 18: (3, (15, 5), ['', '', '', ''], [(17, 5), (10, 5), (14, 8)], [False, False, False, False], 64, False, [False, False, False, False], 4492, 'North', (15, 6))
Element 19: (3, (15, 6), ['%', '', '', ''], [(17, 6), (9, 5), (13, 8)], [True, False, False, False], 62, False, [False, False, False, False], 4511, 'North', (15, 7))
Element 20: (3, (15, 7), ['', '', '', '%'], [(17, 7), (9, 6), (14, 8)], [False, False, False, True], 60, False, [False, False, False, False], 4520, 'North', (15, 8))
Element 21: (3, (15, 8), ['', '', '%', '%'], [(18, 7), (9, 7), (13, 8)], [False, False, True, True], 58, False, [False, False, False, False], 4529, 'West', (14, 8))
Element 22: (3, (14, 8), ['G', '', '%', ''], [(17, 7), (10, 7), (13, 8)], [False, False, True, False], 56, False, [False, False, False, False], 4538, 'South', (14, 7))
Element 23: (3, (14, 7), ['%', '%', 'G', ''], [(17, 6), (10, 8), (14, 8)], [True, True, False, False], 54, False, [False, False, False, False], 4547, 'East', (15, 7))
Element 24: (3, (15, 7), ['', '', '', '%'], [(16, 6), (9, 8), (13, 8)], [False, False, False, True], 52, False, [False, False, False, False], 4556, 'North', (15, 8))
Element 25: (3, (15, 8), ['', '', '%', '%'], [(16, 5), (8, 8), (13, 8)], [False, False, True, True], 50, False, [False, False, False, False], 4565, 'South', (15, 7))
Element 26: (3, (15, 7), ['', '', '', '%'], [(15, 5), (8, 9), (13, 8)], [False, False, False, True], 48, False, [False, False, False, False], 4574, 'West', (14, 7))
Element 27: (3, (14, 7), ['%', '%', '', ''], [(15, 6), (7, 9), (13, 8)], [True, True, False, False], 46, False, [False, False, False, False], 4583, 'East', (15, 7))
