Element 38: (2, (15, 5), ['', '', '', ''], [(17, 13), (13, 8), (13, 3)], [False, False, False, False], 24, False, [False, False, False, False], 1622, 'East', (16, 5))
Element 39: (2, (16, 5), ['', '', '', ''], [(17, 12), (14, 8), (13, 4)], [False, False, False, False], 22, False, [False, False, False, False], 1621, 'West', (15, 5))
Element 40: (2, (15, 5), ['', '', '', ''], [(17, 13), (15, 8), (12, 4)], [False, False, False, False], 20, False, [False, False, False, False], 1620, 'West', (14, 5))
Element 41: (2, (14, 5), ['', '', '%', ''], [(16, 13), (15, 7), (11, 4)], [False, False, True, False], 18, False, [False, False, False, False], 1619, 'West', (13, 5))
Element 42: (2, (13, 5), ['', '', '.', ''], [(16, 12), (14, 7), (10, 4)], [False, False, False, False], 16, False, [False, False, True, False], 1628, 'North', (13, 6))
Element 43: (2, (13, 6), ['.', '', '%', '%'], [(16, 13), (15, 7), (10, 5)], [False, False, True, True], 14, False, [True, False, False, False], 2637, 'West', (12, 6))
Element 44: (2, (12, 6), ['.', '', '%', ''], [(15, 13), (15, 6), (9, 5)], [False, False, True, False], 12, False, [True, False, False, False], 2656, 'West', (11, 6))
Element 45: (2, (11, 6), ['%', '%', '%', ''], [(15, 12), (15, 5), (9, 6)], [True, True, True, False], 10, False, [False, False, False, False], 2675, 'East', (12, 6))
Element 46: (2, (12, 6), ['', '', '%', ''], [(15, 13), (14, 5), (9, 7)], [False, False, True, False], 8, False, [False, False, False, False], 2684, 'South', (12, 5))
Element 47: (2, (12, 5), ['%', '', '', 'G'], [(14, 13), (13, 5), (10, 7)], [True, False, False, False], 6, False, [False, False, False, False], 2703, 'South', (12, 4))
Element 48: (2, (12, 4), ['', '%', '', ''], [(13, 13), (13, 6), (10, 8)], [False, True, False, False], 4, False, [False, False, False, False], 2722, 'East', (13, 4))
Element 49: (2, (13, 4), ['', '', '', ''], [(13, 12), (12, 6), (9, 8)], [False, False, False, False], 2, False, [False, False, False, False], 2741, 'South', (13, 3))
Element 50: (2, (13, 3), ['%', '', '', ''], [(13, 12), (12, 6), (8, 8)], [True, False, False, False], 0, False, [False, False, False, False], 2750, 'Stop', (13, 3))
Element 51: #0#
