Element 1: (1, (1, 13), ['%', '.', '%', '%'], [(6, 1), (2, 2), (18, 5)], [True, False, True, True], 98, False, [False, True, False, False], 9, 'South', (1, 12))
Element 2: (1, (1, 12), ['%', 'F', '', '.'], [(7, 1), (2, 3), (18, 4)], [True, False, False, False], 96, False, [False, False, False, True], 48, 'South', (1, 11))
Element 3: (1, (1, 11), ['%', '.', '', 'F'], [(8, 1), (3, 3), (18, 3)], [True, False, False, False], 94, False, [False, True, False, False], 1077, 'East', (2, 11))
Element 4: (1, (2, 11), ['', '.', '.', '%'], [(9, 1), (4, 3), (17, 3)], [False, False, False, True], 92, False, [False, True, True, False], 2106, 'North', (2, 12))
Element 5: (1, (2, 12), ['', '', '%', '.'], [(9, 2), (5, 3), (17, 4)], [False, False, True, False], 90, False, [False, False, False, True], 3135, 'East', (3, 12))
Element 6: (1, (3, 12), ['', '%', '.', '.'], [(10, 2), (6, 3), (17, 5)], [False, True, False, False], 88, False, [False, False, True, True], 3174, 'East', (4, 12))
Element 7: (1, (4, 12), ['', '.', '.', '.'], [(11, 2), (7, 3), (17, 6)], [False, False, False, False], 86, False, [False, True, True, True], 3213, 'East', (5, 12))
Element 8: (1, (5, 12), ['', '.', '.', '.'], [(12, 2), (8, 3), (17, 7)], [False, False, False, False], 84, False, [False, True, True, True], 3252, 'East', (6, 12))
Element 9: (1, (6, 12), ['', '.', '.', '.'], [(13, 2), (9, 3), (18, 7)], [False, False, False, False], 82, False, [False, True, True, True], 3291, 'East', (7, 12))
Element 10: (1, (7, 12), ['', '%', '.', '.'], [(14, 2), (10, 3), (17, 7)], [False, True, False, False], 80, False, [False, False, True, True], 3320, 'East', (8, 12))
Element 11: (1, (8, 12), ['', '%', '%', '.'], [(14, 3), (11, 3), (17, 6)], [False, True, True, False], 78, False, [False, False, False, True], 3349, 'East', (9, 12))
Element 12: (1, (9, 12), ['', '%', '.', '.'], [(14, 4), (11, 4), (16, 6)], [False, True, False, False], 76, False, [False, False, True, True], 3388, 'East', (10, 12))
Element 13: (1, (10, 12), ['', '%', '.', '.'], [(15, 4), (12, 4), (16, 5)], [False, True, False, False], 74, False, [False, False, True, True], 3427, 'East', (11, 12))
Element 14: (1, (11, 12), ['', '%', '%', '.'], [(15, 5), (13, 4), (16, 4)], [False, True, True, False], 72, False, [False, False, False, True], 3466, 'East', (12, 12))
Element 15: (1, (12, 12), ['', '.', '.', '.'], [(15, 6), (13, 5), (16, 3)], [False, False, False, False], 70, False, [False, True, True, True], 3505, 'East', (13, 12))
Element 16: (1, (13, 12), ['', '.', '.', '%'], [(15, 7), (14, 5), (16, 4)], [False, False, False, True], 68, False, [False, True, True, False], 3534, 'North', (13, 13))
Element 17: (1, (13, 13), ['.', '', '%', '.'], [(15, 8), (15, 5), (15, 4)], [False, False, True, False], 66, False, [True, False, False, True], 3553, 'East', (14, 13))
Element 18: (1, (14, 13), ['', '%', '%', '.'], [(14, 8), (16, 5), (15, 5)], [False, True, True, False], 64, False, [False, False, False, True], 3572, 'East', (15, 13))
Element 19: (1, (15, 13), ['', '.', '%', '.'], [(14, 7), (17, 5), (15, 6)], [False, False, True, False], 62, False, [False, True, False, True], 3591, 'East', (16, 13))
Element 20: (1, (16, 13), ['', '.', '%', '.'], [(14, 8), (18, 5), (15, 7)], [False, False, True, False], 60, False, [False, True, False, True], 3600, 'East', (17, 13))
Element 21: (1, (17, 13), ['', '.', '%', '.'], [(13, 8), (18, 4), (15, 8)], [False, False, True, False], 58, False, [False, True, False, True], 3619, 'East', (18, 13))
Element 22: (1, (18, 13), ['', '.', '%', '%'], [(13, 8), (18, 3), (14, 8)], [False, False, True, True], 56, False, [False, True, False, False], 3628, 'South', (18, 12))
Element 23: (1, (18, 12), ['.', '.', '', '%'], [(14, 8), (17, 3), (14, 7)], [False, False, False, True], 54, False, [True, True, False, False], 3637, 'South', (18, 11))
Element 24: (1, (18, 11), ['.', '.', '', '%'], [(13, 8), (17, 4), (15, 7)], [False, False, False, True], 52, False, [True, True, False, False], 3646, 'South', (18, 10))
Element 25: (1, (18, 10), ['.', '%', '', '%'], [(13, 8), (16, 4), (15, 8)], [False, True, False, True], 50, False, [True, False, False, False], 3655, 'West', (17, 10))
Element 26: (1, (17, 10), ['.', '.', '.', ''], [(14, 8), (16, 3), (15, 7)], [False, False, False, False], 48, False, [True, True, True, False], 3664, 'North', (17, 11))
Element 27: (1, (17, 11), ['.', '', '.', ''], [(14, 7), (16, 4), (14, 7)], [False, False, False, False], 46, False, [True, False, True, False], 3673, 'North', (17, 12))
Element 28: (1, (17, 12), ['.', '', '', ''], [(14, 7), (15, 4), (15, 7)], [False, False, False, False], 44, False, [True, False, False, False], 3682, 'West', (16, 12))
Element 29: (1, (16, 12), ['.', '.', '', ''], [(14, 8), (14, 4), (15, 6)], [False, False, False, False], 42, False, [True, True, False, False], 3691, 'South', (16, 11))
Element 30: (1, (16, 11), ['%', '.', '', ''], [(13, 8), (14, 3), (15, 5)], [True, False, False, False], 40, False, [False, True, False, False], 3700, 'South', (16, 10))
Element 31: (1, (16, 10), ['%', '.', '', ''], [(14, 8), (13, 3), (14, 5)], [True, False, False, False], 38, False, [False, True, False, False], 3719, 'South', (16, 9))
Element 32: (1, (16, 9), ['%', '%', '', '.'], [(14, 7), (13, 2), (14, 4)], [True, True, False, False], 36, False, [False, False, False, True], 3728, 'East', (17, 9))
Element 33: (1, (17, 9), ['', '%', '', '%'], [(14, 7), (13, 1), (14, 3)], [False, True, False, True], 34, False, [False, False, False, False], 3747, 'West', (16, 9))
Element 34: (1, (16, 9), ['%', '%', '', ''], [(14, 7), (14, 1), (14, 2)], [True, True, False, False], 32, False, [False, False, False, False], 3756, 'North', (16, 10))
Element 35: (1, (16, 10), ['%', '', '', ''], [(14, 7), (15, 1), (14, 1)], [True, False, False, False], 30, False, [False, False, False, False], 3765, 'North', (16, 11))
Element 36: (1, (16, 11), ['%', '', '', ''], [(14, 7), (15, 1), (13, 1)], [True, False, False, False], 28, False, [False, False, False, False], 3764, 'North', (16, 12))
Element 37: (1, (16, 12), ['.', '', '', ''], [(14, 7), (14, 1), (12, 1)], [False, False, False, False], 26, False, [True, False, False, False], 3773, 'West', (15, 12))
Element 38: (1, (15, 12), ['%', '%', '', ''], [(14, 7), (13, 1), (11, 1)], [True, True, False, False], 24, False, [False, False, False, False], 3792, 'East', (16, 12))
Element 39: (1, (16, 12), ['', '', '', ''], [(14, 7), (13, 1), (11, 2)], [False, False, False, False], 22, False, [False, False, False, False], 3791, 'East', (17, 12))
Element 40: (1, (17, 12), ['', '', '', ''], [(14, 7), (13, 2), (12, 2)], [False, False, False, False], 20, False, [False, False, False, False], 3790, 'South', (17, 11))
Element 41: (1, (17, 11), ['', '', '', ''], [(14, 7), (14, 2), (13, 2)], [False, False, False, False], 18, False, [False, False, False, False], 3789, 'West', (16, 11))
Element 42: (1, (16, 11), ['%', '', '', ''], [(14, 8), (14, 1), (13, 3)], [True, False, False, False], 16, False, [False, False, False, False], 3788, 'East', (17, 11))
Element 43: (1, (17, 11), ['', '', '', ''], [(14, 7), (14, 2), (13, 4)], [False, False, False, False], 14, False, [False, False, False, False], 3787, 'South', (17, 10))
