Element 1: (2, (6, 4), ['%', '.', '.', '%'], [(8, 8), (5, 11), (16, 5)], [True, False, False, True], 98, False, [False, True, True, False], 19, 'North', (6, 5))
Element 2: (2, (6, 5), ['.', '', '.', '%'], [(9, 8), (6, 11), (17, 5)], [False, False, False, True], 96, False, [True, False, True, False], 58, 'North', (6, 6))
Element 3: (2, (6, 6), ['.', '', '%', '%'], [(10, 8), (6, 12), (18, 5)], [False, False, True, True], 94, False, [True, False, False, False], 97, 'West', (5, 6))
Element 4: (2, (5, 6), ['.', '.', '%', ''], [(10, 7), (7, 12), (18, 4)], [False, False, True, False], 92, False, [True, True, False, False], 136, 'South', (5, 5))
Element 5: (2, (5, 5), ['.', '%', '', ''], [(9, 7), (8, 12), (18, 3)], [False, True, False, False], 90, False, [True, False, False, False], 175, 'West', (4, 5))
Element 6: (2, (4, 5), ['.', '.', '.', ''], [(9, 6), (9, 12), (17, 3)], [False, False, False, False], 88, False, [True, True, True, False], 214, 'North', (4, 6))
Element 7: (2, (4, 6), ['.', '', '%', ''], [(9, 5), (10, 12), (17, 4)], [False, False, True, False], 86, False, [True, False, False, False], 253, 'West', (3, 6))
Element 8: (2, (3, 6), ['.', '.', '.', ''], [(10, 5), (11, 12), (16, 4)], [False, False, False, False], 84, False, [True, True, True, False], 1282, 'North', (3, 7))
Element 9: (2, (3, 7), ['.', '', '%', '%'], [(10, 4), (12, 12), (16, 3)], [False, False, True, True], 82, False, [True, False, False, False], 1321, 'West', (2, 7))
Element 10: (2, (2, 7), ['.', '.', 'F', ''], [(11, 4), (13, 12), (16, 4)], [False, False, False, False], 80, False, [True, True, False, False], 1350, 'North', (2, 8))
Element 11: (2, (2, 8), ['F', '', '%', '%'], [(12, 4), (13, 13), (15, 4)], [False, False, True, True], 78, False, [False, False, False, False], 2379, 'West', (1, 8))
Element 12: (2, (1, 8), ['%', '.', '%', ''], [(13, 4), (14, 13), (15, 5)], [True, False, True, False], 76, False, [False, True, False, False], 3408, 'South', (1, 7))
Element 13: (2, (1, 7), ['%', '.', '', ''], [(14, 4), (15, 13), (15, 6)], [True, False, False, False], 74, False, [False, True, False, False], 3447, 'South', (1, 6))
Element 14: (2, (1, 6), ['%', '.', '', '.'], [(14, 5), (16, 13), (16, 6)], [True, False, False, False], 72, False, [False, True, False, True], 3486, 'East', (2, 6))
Element 15: (2, (2, 6), ['', '.', '', ''], [(13, 5), (17, 13), (17, 6)], [False, False, False, False], 70, False, [False, True, False, False], 3525, 'South', (2, 5))
Element 16: (2, (2, 5), ['.', '.', '', '.'], [(13, 6), (18, 13), (17, 7)], [False, False, False, False], 68, False, [True, True, False, True], 3564, 'East', (3, 5))
Element 17: (2, (3, 5), ['', '.', '', ''], [(12, 6), (18, 12), (18, 7)], [False, False, False, False], 66, False, [False, True, False, False], 3603, 'South', (3, 4))
Element 18: (2, (3, 4), ['.', '.', '', '.'], [(12, 5), (18, 11), (17, 7)], [False, False, False, False], 64, False, [True, True, False, True], 3632, 'East', (4, 4))
Element 19: (2, (4, 4), ['', '.', '', '%'], [(12, 6), (18, 10), (17, 6)], [False, False, False, True], 62, False, [False, True, False, False], 3651, 'South', (4, 3))
Element 20: (2, (4, 3), ['.', '.', '', '.'], [(11, 6), (17, 10), (16, 6)], [False, False, False, False], 60, False, [True, True, False, True], 3680, 'East', (5, 3))
Element 21: (2, (5, 3), ['', '.', '%', '.'], [(12, 6), (17, 11), (15, 6)], [False, False, True, False], 58, False, [False, True, False, True], 3699, 'East', (6, 3))
Element 22: (2, (6, 3), ['', '.', '', '.'], [(13, 6), (17, 12), (15, 7)], [False, False, False, False], 56, False, [False, True, False, True], 3728, 'East', (7, 3))
Element 23: (2, (7, 3), ['', '.', '%', '.'], [(13, 5), (16, 12), (15, 8)], [False, False, True, False], 54, False, [False, True, False, True], 3757, 'East', (8, 3))
Element 24: (2, (8, 3), ['', '.', '.', '.'], [(12, 5), (16, 11), (14, 8)], [False, False, False, False], 52, False, [False, True, True, True], 3786, 'East', (9, 3))
Element 25: (2, (9, 3), ['', 'F', '.', '.'], [(13, 5), (16, 10), (14, 7)], [False, False, False, False], 50, False, [False, False, True, True], 3815, 'South', (9, 2))
Element 26: (2, (9, 2), ['.', '.', '', '.'], [(14, 5), (16, 9), (14, 8)], [False, False, False, False], 48, False, [True, True, False, True], 4824, 'East', (10, 2))
Element 27: (2, (10, 2), ['', '%', '.', '.'], [(15, 5), (17, 9), (13, 8)], [False, True, False, False], 46, False, [False, False, True, True], 4853, 'East', (11, 2))
Element 28: (2, (11, 2), ['', '.', '.', '.'], [(16, 5), (16, 9), (14, 8)], [False, False, False, False], 44, False, [False, True, True, True], 4862, 'East', (12, 2))
Element 29: (2, (12, 2), ['', '.', '%', '.'], [(17, 5), (16, 10), (15, 8)], [False, False, True, False], 42, False, [False, True, False, True], 4871, 'East', (13, 2))
Element 30: (2, (13, 2), ['', '.', '.', '.'], [(18, 5), (16, 11), (15, 7)], [False, False, False, False], 40, False, [False, True, True, True], 4880, 'East', (14, 2))
Element 31: (2, (14, 2), ['', '.', '.', '%'], [(18, 4), (16, 12), (14, 7)], [False, False, False, True], 38, False, [False, True, True, False], 4889, 'North', (14, 3))
Element 32: (2, (14, 3), ['.', '', '', '%'], [(18, 3), (15, 12), (15, 7)], [False, False, False, True], 36, False, [True, False, False, False], 4908, 'West', (13, 3))
Element 33: (2, (13, 3), ['%', '', '', ''], [(17, 3), (16, 12), (15, 6)], [True, False, False, False], 34, False, [False, False, False, False], 4917, 'North', (13, 4))
Element 34: (2, (13, 4), ['', '', '', ''], [(17, 4), (17, 12), (15, 5)], [False, False, False, False], 32, False, [False, False, False, False], 4916, 'East', (14, 4))
Element 35: (2, (14, 4), ['', '', 'G', ''], [(16, 4), (17, 11), (14, 5)], [False, False, False, False], 30, False, [False, False, False, False], 4915, 'East', (15, 4))
Element 36: (2, (15, 4), ['G', '%', '', ''], [(16, 3), (16, 11), (14, 4)], [False, True, False, False], 28, False, [False, False, False, False], 4914, 'East', (16, 4))
Element 37: (2, (16, 4), ['', '', '', ''], [(17, 3), (17, 11), (14, 3)], [False, False, False, False], 26, False, [False, False, False, False], 4913, 'East', (17, 4))
Element 38: (2, (17, 4), ['', '', '', ''], [(16, 3), (17, 10), (14, 2)], [False, False, False, False], 24, False, [False, False, False, False], 4912, 'East', (18, 4))
Element 39: (2, (18, 4), ['', '', '', '%'], [(17, 3), (17, 9), (14, 1)], [False, False, False, True], 22, False, [False, False, False, False], 4921, 'North', (18, 5))
Element 40: (2, (18, 5), ['', '', '%', '%'], [(16, 3), (17, 10), (15, 1)], [False, False, True, True], 20, False, [False, False, False, False], 4930, 'West', (17, 5))
Element 41: (2, (17, 5), ['', '', '', ''], [(17, 3), (16, 10), (14, 1)], [False, False, False, False], 18, False, [False, False, False, False], 4929, 'North', (17, 6))
Element 42: (2, (17, 6), ['', '', '', '%'], [(18, 3), (17, 10), (13, 1)], [False, False, False, True], 16, False, [False, False, False, False], 4938, 'North', (17, 7))
Element 43: (2, (17, 7), ['%', '', '%', ''], [(18, 4), (18, 10), (12, 1)], [True, False, True, False], 14, False, [False, False, False, False], 4947, 'East', (18, 7))
Element 44: (2, (18, 7), ['', '%', '%', '%'], [(17, 4), (18, 11), (11, 1)], [False, True, True, True], 12, False, [False, False, False, False], 4956, 'West', (17, 7))
