Element 1: (2, (4, 13), ['.', '', '%', '.'], [(7, 12), (5, 12), (18, 11)], [False, False, True, False], 98, False, [True, False, False, True], 19, 'East', (5, 13))
Element 2: (2, (5, 13), ['', '', '%', '.'], [(8, 12), (6, 12), (18, 12)], [False, False, True, False], 96, False, [False, False, False, True], 58, 'East', (6, 13))
Element 3: (2, (6, 13), ['', '', '%', ''], [(9, 12), (6, 11), (18, 13)], [False, False, True, False], 94, False, [False, False, False, False], 97, 'East', (7, 13))
Element 4: (2, (7, 13), ['', '', '%', '%'], [(10, 12), (5, 11), (17, 13)], [False, False, True, True], 92, False, [False, False, False, False], 126, 'South', (7, 12))
Element 5: (2, (7, 12), ['', '%', '', ''], [(11, 12), (4, 11), (17, 12)], [False, True, False, False], 90, False, [False, False, False, False], 155, 'East', (8, 12))
Element 6: (2, (8, 12), ['', '%', '%', ''], [(12, 12), (4, 10), (17, 11)], [False, True, True, False], 88, False, [False, False, False, False], 184, 'East', (9, 12))
Element 7: (2, (9, 12), ['', '%', '.', ''], [(13, 12), (3, 10), (17, 10)], [False, True, False, False], 86, False, [False, False, True, False], 213, 'North', (9, 13))
Element 8: (2, (9, 13), ['%', '', '%', '.'], [(13, 13), (2, 10), (18, 10)], [True, False, True, False], 84, False, [False, False, False, True], 252, 'East', (10, 13))
Element 9: (2, (10, 13), ['', '', '%', '%'], [(14, 13), (2, 11), (17, 10)], [False, False, True, True], 82, False, [False, False, False, False], 1271, 'South', (10, 12))
Element 10: (2, (10, 12), ['', '%', '', ''], [(15, 13), (1, 11), (17, 9)], [False, True, False, False], 80, False, [False, False, False, False], 2290, 'East', (11, 12))
Element 11: (2, (11, 12), ['', '%', '%', ''], [(16, 13), (1, 12), (16, 9)], [False, True, True, False], 78, False, [False, False, False, False], 2319, 'East', (12, 12))
Element 12: (2, (12, 12), ['', '.', '.', ''], [(16, 12), (2, 12), (16, 10)], [False, False, False, False], 76, False, [False, True, True, False], 2348, 'North', (12, 13))
Element 13: (2, (12, 13), ['%', '', '%', ''], [(15, 12), (3, 12), (16, 11)], [True, False, True, False], 74, False, [False, False, False, False], 2387, 'East', (13, 13))
Element 14: (2, (13, 13), ['', '', '%', ''], [(15, 13), (3, 13), (16, 12)], [False, False, True, False], 72, False, [False, False, False, False], 2396, 'East', (14, 13))
Element 15: (2, (14, 13), ['', '%', '%', ''], [(15, 12), (4, 13), (16, 13)], [False, True, True, False], 70, False, [False, False, False, False], 2395, 'East', (15, 13))
Element 16: (2, (15, 13), ['', 'G', '%', ''], [(15, 12), (5, 13), (16, 12)], [False, False, True, False], 68, False, [False, False, False, False], 2394, 'East', (16, 13))
Element 17: (2, (16, 13), ['G', '', '%', ''], [(15, 13), (6, 13), (16, 11)], [False, False, True, False], 66, False, [False, False, False, False], 2393, 'East', (17, 13))
Element 18: (2, (17, 13), ['', '', '%', ''], [(14, 13), (7, 13), (16, 12)], [False, False, True, False], 64, False, [False, False, False, False], 2392, 'East', (18, 13))
Element 19: (2, (18, 13), ['', '', '%', '%'], [(15, 13), (7, 12), (16, 11)], [False, False, True, True], 62, False, [False, False, False, False], 2391, 'South', (18, 12))
Element 20: (2, (18, 12), ['', '', '', '%'], [(15, 13), (8, 12), (16, 10)], [False, False, False, True], 60, False, [False, False, False, False], 2390, 'South', (18, 11))
Element 21: (2, (18, 11), ['', '', '', '%'], [(15, 12), (9, 12), (16, 9)], [False, False, False, True], 58, False, [False, False, False, False], 2389, 'South', (18, 10))
