Element 1: (1, (2, 10), ['.', '%', 'F', '.'], [(5, 1), (17, 3), (18, 1)], [False, True, False, False], 98, False, [True, False, False, True], 9, 'North', (2, 11))
Element 2: (1, (2, 11), ['F', '', '.', '%'], [(6, 1), (18, 3), (17, 1)], [False, False, False, True], 96, False, [False, False, True, False], 1038, 'West', (1, 11))
Element 3: (1, (1, 11), ['%', '.', '.', ''], [(7, 1), (18, 4), (18, 1)], [True, False, False, False], 94, False, [False, True, True, False], 2057, 'North', (1, 12))
Element 4: (1, (1, 12), ['%', '', '.', '.'], [(8, 1), (18, 5), (18, 1)], [True, False, False, False], 92, False, [False, False, True, True], 2086, 'East', (2, 12))
Element 5: (1, (2, 12), ['', '', '%', '.'], [(9, 1), (17, 5), (17, 1)], [False, False, True, False], 90, False, [False, False, False, True], 2115, 'East', (3, 12))
Element 6: (1, (3, 12), ['', '%', '.', '.'], [(9, 2), (17, 6), (18, 1)], [False, True, False, False], 88, False, [False, False, True, True], 3134, 'East', (4, 12))
Element 7: (1, (4, 12), ['', '.', '.', '.'], [(10, 2), (17, 7), (18, 1)], [False, False, False, False], 86, False, [False, True, True, True], 3163, 'East', (5, 12))
Element 8: (1, (5, 12), ['', '.', '.', '.'], [(11, 2), (18, 7), (17, 1)], [False, False, False, False], 84, False, [False, True, True, True], 3192, 'East', (6, 12))
Element 9: (1, (6, 12), ['', '.', '.', '.'], [(12, 2), (17, 7), (18, 1)], [False, False, False, False], 82, False, [False, True, True, True], 3211, 'East', (7, 12))
Element 10: (1, (7, 12), ['', '%', '.', '.'], [(13, 2), (17, 6), (18, 1)], [False, True, False, False], 80, False, [False, False, True, True], 3230, 'East', (8, 12))
Element 11: (1, (8, 12), ['', '%', '%', '.'], [(14, 2), (16, 6), (17, 1)], [False, True, True, False], 78, False, [False, False, False, True], 3259, 'East', (9, 12))
Element 12: (1, (9, 12), ['', '%', '.', '.'], [(14, 3), (16, 5), (18, 1)], [False, True, False, False], 76, False, [False, False, True, True], 3288, 'East', (10, 12))
Element 13: (1, (10, 12), ['', '%', '.', '.'], [(14, 4), (16, 4), (18, 1)], [False, True, False, False], 74, False, [False, False, True, True], 3317, 'East', (11, 12))
Element 14: (1, (11, 12), ['', '%', '%', '.'], [(15, 4), (17, 4), (17, 1)], [False, True, True, False], 72, False, [False, False, False, True], 3346, 'East', (12, 12))
Element 15: (1, (12, 12), ['', '.', '.', '.'], [(15, 5), (16, 4), (18, 1)], [False, False, False, False], 70, False, [False, True, True, True], 3365, 'East', (13, 12))
Element 16: (1, (13, 12), ['', '.', '.', '%'], [(15, 6), (16, 3), (18, 1)], [False, False, False, True], 68, False, [False, True, True, False], 3394, 'North', (13, 13))
Element 17: (1, (13, 13), ['.', '', '%', '.'], [(15, 7), (16, 4), (17, 1)], [False, False, True, False], 66, False, [True, False, False, True], 3413, 'East', (14, 13))
Element 18: (1, (14, 13), ['', '%', '%', '.'], [(15, 8), (15, 4), (18, 1)], [False, True, True, False], 64, False, [False, False, False, True], 3432, 'East', (15, 13))
Element 19: (1, (15, 13), ['', '.', '%', '.'], [(14, 8), (15, 5), (18, 1)], [False, False, True, False], 62, False, [False, True, False, True], 3451, 'East', (16, 13))
Element 20: (1, (16, 13), ['', '.', '%', '.'], [(14, 7), (14, 5), (17, 1)], [False, False, True, False], 60, False, [False, True, False, True], 3480, 'East', (17, 13))
Element 21: (1, (17, 13), ['', '.', '%', '.'], [(14, 8), (13, 5), (18, 1)], [False, False, True, False], 58, False, [False, True, False, True], 3499, 'East', (18, 13))
Element 22: (1, (18, 13), ['', '.', '%', '%'], [(13, 8), (13, 6), (18, 1)], [False, False, True, True], 56, False, [False, True, False, False], 3528, 'South', (18, 12))
Element 23: (1, (18, 12), ['.', '.', '', '%'], [(14, 8), (12, 6), (17, 1)], [False, False, False, True], 54, False, [True, True, False, False], 3547, 'South', (18, 11))
Element 24: (1, (18, 11), ['.', '.', '', '%'], [(15, 8), (12, 5), (18, 1)], [False, False, False, True], 52, False, [True, True, False, False], 3566, 'South', (18, 10))
Element 25: (1, (18, 10), ['.', '%', '', '%'], [(15, 7), (12, 4), (18, 1)], [False, True, False, True], 50, False, [True, False, False, False], 3585, 'West', (17, 10))
Element 26: (1, (17, 10), ['.', '.', '.', ''], [(14, 7), (13, 4), (17, 1)], [False, False, False, False], 48, False, [True, True, True, False], 3604, 'North', (17, 11))
Element 27: (1, (17, 11), ['.', '', '.', ''], [(15, 7), (13, 3), (18, 1)], [False, False, False, False], 46, False, [True, False, True, False], 3623, 'North', (17, 12))
Element 28: (1, (17, 12), ['.', '', '', ''], [(15, 6), (14, 3), (18, 1)], [False, False, False, False], 44, False, [True, False, False, False], 3632, 'West', (16, 12))
Element 29: (1, (16, 12), ['.', '.', '', ''], [(16, 6), (14, 4), (17, 1)], [False, False, False, False], 42, False, [True, True, False, False], 3641, 'South', (16, 11))
Element 30: (1, (16, 11), ['%', '.', '', ''], [(17, 6), (14, 3), (18, 1)], [True, False, False, False], 40, False, [False, True, False, False], 3650, 'South', (16, 10))
Element 31: (1, (16, 10), ['%', '.', '', ''], [(17, 7), (14, 2), (18, 1)], [True, False, False, False], 38, False, [False, True, False, False], 3659, 'South', (16, 9))
Element 32: (1, (16, 9), ['%', '%', '', '.'], [(18, 7), (14, 1), (17, 1)], [True, True, False, False], 36, False, [False, False, False, True], 3678, 'East', (17, 9))
Element 33: (1, (17, 9), ['', '%', '', '%'], [(17, 7), (15, 1), (18, 1)], [False, True, False, True], 34, False, [False, False, False, False], 3697, 'West', (16, 9))
Element 34: (1, (16, 9), ['%', '%', '', ''], [(17, 6), (14, 1), (18, 1)], [True, True, False, False], 32, False, [False, False, False, False], 3696, 'North', (16, 10))
Element 35: (1, (16, 10), ['%', '', '', ''], [(17, 5), (13, 1), (17, 1)], [True, False, False, False], 30, False, [False, False, False, False], 3705, 'North', (16, 11))
Element 36: (1, (16, 11), ['%', '', '', ''], [(18, 5), (12, 1), (18, 1)], [True, False, False, False], 28, False, [False, False, False, False], 3714, 'North', (16, 12))
Element 37: (1, (16, 12), ['.', '', '', ''], [(18, 4), (11, 1), (18, 1)], [False, False, False, False], 26, False, [True, False, False, False], 3723, 'West', (15, 12))
Element 38: (1, (15, 12), ['%', '%', '', ''], [(18, 3), (11, 2), (17, 1)], [True, True, False, False], 24, False, [False, False, False, False], 3732, 'East', (16, 12))
Element 39: (1, (16, 12), ['', '', '', ''], [(17, 3), (11, 3), (18, 1)], [False, False, False, False], 22, False, [False, False, False, False], 3741, 'East', (17, 12))
Element 40: (1, (17, 12), ['', '', '', ''], [(17, 4), (11, 4), (18, 1)], [False, False, False, False], 20, False, [False, False, False, False], 3750, 'South', (17, 11))
Element 41: (1, (17, 11), ['', '', '', ''], [(16, 4), (10, 4), (17, 1)], [False, False, False, False], 18, False, [False, False, False, False], 3759, 'West', (16, 11))
Element 42: (1, (16, 11), ['%', '', '', ''], [(16, 5), (10, 5), (18, 1)], [True, False, False, False], 16, False, [False, False, False, False], 4758, 'East', (17, 11))
Element 43: (1, (17, 11), ['', '', '', ''], [(16, 4), (9, 5), (18, 1)], [False, False, False, False], 14, False, [False, False, False, False], 4767, 'South', (17, 10))
Element 44: (1, (17, 10), ['', '', '', ''], [(16, 3), (9, 6), (17, 1)], [False, False, False, False], 12, False, [False, False, False, False], 4776, 'South', (17, 9))
Element 45: (1, (17, 9), ['', '%', '', '%'], [(16, 4), (9, 7), (18, 1)], [False, True, False, True], 10, False, [False, False, False, False], 4785, 'North', (17, 10))
Element 46: (1, (17, 10), ['', '', '', ''], [(17, 4), (10, 7), (18, 1)], [False, False, False, False], 8, False, [False, False, False, False], 4794, 'West', (16, 10))
Element 47: (1, (16, 10), ['%', '', '', ''], [(17, 3), (10, 8), (17, 1)], [True, False, False, False], 6, False, [False, False, False, False], 4803, 'East', (17, 10))
Element 48: (1, (17, 10), ['', '', '', ''], [(16, 3), (9, 8), (18, 1)], [False, False, False, False], 4, False, [False, False, False, False], 4812, 'East', (18, 10))
Element 49: (1, (18, 10), ['', '%', '', '%'], [(17, 3), (8, 8), (18, 1)], [False, True, False, True], 2, False, [False, False, False, False], 4821, 'North', (18, 11))
Element 50: (1, (18, 11), ['', '', '', '%'], [(17, 3), (8, 9), (17, 1)], [False, False, False, True], 0, False, [False, False, False, False], 4830, 'Stop', (18, 11))
Element 51: #0#
