Element 39: (0, (11, 4), ['', '', '%', ''], [(17, 11), (7, 9), (13, 6)], [False, False, True, False], 22, False, [False, False, False, False], 1662, 'South', (11, 3))
Element 40: (0, (11, 3), ['.', '', '', '%'], [(18, 11), (7, 8), (12, 6)], [False, False, False, True], 20, False, [True, False, False, False], 1671, 'West', (10, 3))
Element 41: (0, (10, 3), ['.', '.', '', ''], [(18, 12), (6, 8), (12, 5)], [False, False, False, False], 18, False, [True, True, False, False], 1690, 'South', (10, 2))
Element 42: (0, (10, 2), ['F', '%', '', ''], [(17, 12), (6, 9), (12, 4)], [False, True, False, False], 16, False, [False, False, False, False], 1709, 'West', (9, 2))
Element 43: (0, (9, 2), ['.', '.', '.', ''], [(18, 12), (6, 8), (13, 4)], [False, False, False, False], 14, False, [True, True, True, False], 2708, 'North', (9, 3))
Element 44: (0, (9, 3), ['.', '', '.', ''], [(18, 13), (5, 8), (13, 3)], [False, False, False, False], 12, False, [True, False, True, False], 2727, 'North', (9, 4))
Element 45: (0, (9, 4), ['.', '', '', ''], [(17, 13), (4, 8), (14, 3)], [False, False, False, False], 10, False, [True, False, False, False], 2746, 'West', (8, 4))
Element 46: (0, (8, 4), ['%', '.', '.', ''], [(17, 12), (5, 8), (14, 2)], [True, False, False, False], 8, False, [False, True, True, False], 2755, 'North', (8, 5))
Element 47: (0, (8, 5), ['%', '', '.', ''], [(17, 13), (6, 8), (14, 1)], [True, False, False, False], 6, False, [False, False, True, False], 2764, 'North', (8, 6))
Element 48: (0, (8, 6), ['%', '', '%', ''], [(16, 13), (7, 8), (15, 1)], [True, False, True, False], 4, False, [False, False, False, False], 2773, 'East', (9, 6))
Element 49: (0, (9, 6), ['', '', '', '%'], [(16, 12), (7, 9), (14, 1)], [False, False, False, True], 2, False, [False, False, False, False], 2772, 'North', (9, 7))
Element 50: (0, (9, 7), ['%', '', '', ''], [(16, 13), (6, 9), (13, 1)], [True, False, False, False], 0, False, [False, False, False, False], 2771, 'Stop', (9, 7))
Element 51: #0#
