Element 1: (1, (1, 12), ['%', 'F', '.', '.'], [(13, 13), (4, 8), (13, 11)], [True, False, False, False], 98, False, [False, False, True, True], 9, 'South', (1, 11))
Element 2: (1, (1, 11), ['%', '.', '', 'F'], [(14, 13), (5, 8), (12, 11)], [True, False, False, False], 96, False, [False, True, False, False], 1038, 'East', (2, 11))
Element 3: (1, (2, 11), ['', '.', '.', '%'], [(15, 13), (6, 8), (12, 12)], [False, False, False, True], 94, False, [False, True, True, False], 2067, 'North', (2, 12))
Element 4: (1, (2, 12), ['', '', '%', '.'], [(16, 13), (7, 8), (12, 13)], [False, False, True, False], 92, False, [False, False, False, True], 2106, 'East', (3, 12))
Element 5: (1, (3, 12), ['', '%', '.', '.'], [(17, 13), (8, 8), (13, 13)], [False, True, False, False], 90, False, [False, False, True, True], 2135, 'East', (4, 12))
Element 6: (1, (4, 12), ['', '.', '.', '.'], [(18, 13), (9, 8), (14, 13)], [False, False, False, False], 88, False, [False, True, True, True], 2164, 'East', (5, 12))
Element 7: (1, (5, 12), ['', '.', '.', '.'], [(18, 12), (10, 8), (15, 13)], [False, False, False, False], 86, False, [False, True, True, True], 2193, 'East', (6, 12))
Element 8: (1, (6, 12), ['', '.', '.', '.'], [(18, 11), (10, 7), (15, 12)], [False, False, False, False], 84, False, [False, True, True, True], 2232, 'East', (7, 12))
Element 9: (1, (7, 12), ['', '%', '.', '.'], [(18, 10), (9, 7), (16, 12)], [False, True, False, False], 82, False, [False, False, True, True], 2271, 'East', (8, 12))
Element 10: (1, (8, 12), ['', '%', '%', '.'], [(17, 10), (9, 6), (17, 12)], [False, True, True, False], 80, False, [False, False, False, True], 2310, 'East', (9, 12))
Element 11: (1, (9, 12), ['', '%', '.', '.'], [(17, 9), (9, 5), (17, 11)], [False, True, False, False], 78, False, [False, False, True, True], 2349, 'East', (10, 12))
Element 12: (1, (10, 12), ['', '%', '.', '.'], [(16, 9), (10, 5), (16, 11)], [False, True, False, False], 76, False, [False, False, True, True], 3378, 'East', (11, 12))
Element 13: (1, (11, 12), ['', '%', '%', ''], [(17, 9), (10, 4), (16, 10)], [False, True, True, False], 74, False, [False, False, False, False], 3407, 'East', (12, 12))
Element 14: (1, (12, 12), ['', '', '', ''], [(16, 9), (11, 4), (17, 10)], [False, False, False, False], 72, False, [False, False, False, False], 3416, 'East', (13, 12))
Element 15: (1, (13, 12), ['', '', '', '%'], [(16, 10), (12, 4), (18, 10)], [False, False, False, True], 70, False, [False, False, False, False], 3425, 'North', (13, 13))
Element 16: (1, (13, 13), ['', '', '%', ''], [(16, 11), (13, 4), (18, 11)], [False, False, True, False], 68, False, [False, False, False, False], 3434, 'East', (14, 13))
Element 17: (1, (14, 13), ['', '%', '%', ''], [(17, 11), (14, 4), (18, 12)], [False, True, True, False], 66, False, [False, False, False, False], 3443, 'East', (15, 13))
Element 18: (1, (15, 13), ['', '', '%', ''], [(17, 12), (15, 4), (18, 13)], [False, False, True, False], 64, False, [False, False, False, False], 3452, 'East', (16, 13))
Element 19: (1, (16, 13), ['', 'G', '%', 'G'], [(16, 12), (16, 4), (17, 13)], [False, False, True, False], 62, False, [False, False, False, False], 3461, 'West', (15, 13))
Element 20: (1, (15, 13), ['', 'G', '%', 'G'], [(15, 12), (17, 4), (16, 13)], [False, False, True, False], 60, False, [False, False, False, False], 3470, 'West', (14, 13))
Element 21: (1, (14, 13), ['', '%', '%', ''], [(16, 12), (18, 4), (17, 13)], [False, True, True, False], 58, False, [False, False, False, False], 3479, 'East', (15, 13))
Element 22: (1, (15, 13), ['', '', '%', ''], [(17, 12), (18, 5), (18, 13)], [False, False, True, False], 56, False, [False, False, False, False], 3488, 'West', (14, 13))
Element 23: (1, (14, 13), ['', '%', '%', ''], [(17, 11), (17, 5), (18, 12)], [False, True, True, False], 54, False, [False, False, False, False], 3497, 'West', (13, 13))
Element 24: (1, (13, 13), ['', '', '%', ''], [(16, 11), (17, 6), (18, 11)], [False, False, True, False], 52, False, [False, False, False, False], 3506, 'West', (12, 13))
Element 25: (1, (12, 13), ['%', '', '%', ''], [(16, 12), (17, 7), (18, 10)], [True, False, True, False], 50, False, [False, False, False, False], 3515, 'East', (13, 13))
Element 26: (1, (13, 13), ['', '', '%', ''], [(16, 11), (18, 7), (17, 10)], [False, False, True, False], 48, False, [False, False, False, False], 3524, 'South', (13, 12))
Element 27: (1, (13, 12), ['', '', '', '%'], [(16, 10), (17, 7), (17, 9)], [False, False, False, True], 46, False, [False, False, False, False], 3523, 'South', (13, 11))
Element 28: (1, (13, 11), ['', '%', '', '%'], [(17, 10), (17, 6), (16, 9)], [False, True, False, True], 44, False, [False, False, False, False], 3522, 'West', (12, 11))
Element 29: (1, (12, 11), ['%', '%', '', ''], [(18, 10), (16, 6), (17, 9)], [True, True, False, False], 42, False, [False, False, False, False], 3531, 'East', (13, 11))
Element 30: (1, (13, 11), ['', '%', '', '%'], [(18, 11), (16, 5), (17, 10)], [False, True, False, True], 40, False, [False, False, False, False], 3540, 'North', (13, 12))
Element 31: (1, (13, 12), ['', '', '', '%'], [(17, 11), (15, 5), (16, 10)], [False, False, False, True], 38, False, [False, False, False, False], 3549, 'West', (12, 12))
Element 32: (1, (12, 12), ['', '', '', ''], [(18, 11), (15, 6), (16, 9)], [False, False, False, False], 36, False, [False, False, False, False], 3558, 'North', (12, 13))
Element 33: (1, (12, 13), ['%', '', '%', ''], [(18, 12), (15, 7), (16, 10)], [True, False, True, False], 34, False, [False, False, False, False], 3567, 'South', (12, 12))
Element 34: (1, (12, 12), ['', '', '', ''], [(17, 12), (15, 8), (16, 11)], [False, False, False, False], 32, False, [False, False, False, False], 3576, 'South', (12, 11))
Element 35: (1, (12, 11), ['%', '%', '', ''], [(18, 12), (14, 8), (17, 11)], [True, True, False, False], 30, False, [False, False, False, False], 3585, 'North', (12, 12))
