Element 1: (1, (1, 10), ['%', '%', 'F', '.'], [(3, 4), (11, 3), (17, 5)], [True, True, False, False], 98, False, [False, False, False, True], 9, 'North', (1, 11))
Element 2: (1, (1, 11), ['%', '', '.', 'F'], [(4, 4), (11, 4), (18, 5)], [True, False, False, False], 96, False, [False, False, True, False], 1038, 'East', (2, 11))
Element 3: (1, (2, 11), ['', '.', '.', '%'], [(4, 5), (12, 4), (18, 4)], [False, False, False, True], 94, False, [False, True, True, False], 2067, 'North', (2, 12))
Element 4: (1, (2, 12), ['.', '', '%', '.'], [(5, 5), (13, 4), (18, 3)], [False, False, True, False], 92, False, [True, False, False, True], 2106, 'East', (3, 12))
Element 5: (1, (3, 12), ['', '%', '.', '.'], [(6, 5), (14, 4), (17, 3)], [False, True, False, False], 90, False, [False, False, True, True], 2145, 'East', (4, 12))
Element 6: (1, (4, 12), ['', '.', '.', '.'], [(6, 6), (15, 4), (17, 4)], [False, False, False, False], 88, False, [False, True, True, True], 2184, 'East', (5, 12))
Element 7: (1, (5, 12), ['', '.', '.', '.'], [(5, 6), (16, 4), (17, 3)], [False, False, False, False], 86, False, [False, True, True, True], 2213, 'East', (6, 12))
Element 8: (1, (6, 12), ['', '.', '.', '.'], [(4, 6), (16, 5), (16, 3)], [False, False, False, False], 84, False, [False, True, True, True], 2252, 'East', (7, 12))
Element 9: (1, (7, 12), ['', '%', '.', '.'], [(3, 6), (16, 6), (16, 4)], [False, True, False, False], 82, False, [False, False, True, True], 2281, 'East', (8, 12))
Element 10: (1, (8, 12), ['', '%', '%', '.'], [(3, 7), (17, 6), (16, 5)], [False, True, True, False], 80, False, [False, False, False, True], 2310, 'East', (9, 12))
Element 11: (1, (9, 12), ['', '%', '.', '.'], [(2, 7), (17, 7), (15, 5)], [False, True, False, False], 78, False, [False, False, True, True], 2349, 'East', (10, 12))
Element 12: (1, (10, 12), ['', '%', '.', '.'], [(2, 8), (18, 7), (15, 6)], [False, True, False, False], 76, False, [False, False, True, True], 3378, 'East', (11, 12))
Element 13: (1, (11, 12), ['', '%', '%', '.'], [(1, 8), (17, 7), (15, 7)], [False, True, True, False], 74, False, [False, False, False, True], 4397, 'East', (12, 12))
Element 14: (1, (12, 12), ['', '.', '.', '.'], [(1, 7), (17, 6), (15, 8)], [False, False, False, False], 72, False, [False, True, True, True], 4426, 'East', (13, 12))
Element 15: (1, (13, 12), ['', '.', '.', '%'], [(1, 6), (17, 5), (14, 8)], [False, False, False, True], 70, False, [False, True, True, False], 4455, 'North', (13, 13))
Element 16: (1, (13, 13), ['.', '', '%', '.'], [(2, 6), (18, 5), (14, 7)], [False, False, True, False], 68, False, [True, False, False, True], 4484, 'East', (14, 13))
Element 17: (1, (14, 13), ['', '%', '%', '.'], [(2, 5), (18, 4), (14, 8)], [False, True, True, False], 66, False, [False, False, False, True], 4503, 'East', (15, 13))
Element 18: (1, (15, 13), ['', '.', '%', '.'], [(3, 5), (18, 3), (13, 8)], [False, False, True, False], 64, False, [False, True, False, True], 4532, 'East', (16, 13))
Element 19: (1, (16, 13), ['', '.', '%', '.'], [(2, 5), (17, 3), (14, 8)], [False, False, True, False], 62, False, [False, True, False, True], 4541, 'East', (17, 13))
Element 20: (1, (17, 13), ['', '.', '%', '.'], [(1, 5), (17, 4), (15, 8)], [False, False, True, False], 60, False, [False, True, False, True], 4560, 'East', (18, 13))
Element 21: (1, (18, 13), ['', '.', '%', '%'], [(1, 4), (17, 3), (15, 7)], [False, False, True, True], 58, False, [False, True, False, False], 4579, 'South', (18, 12))
Element 22: (1, (18, 12), ['.', '.', '', '%'], [(1, 5), (16, 3), (14, 7)], [False, False, False, True], 56, False, [True, True, False, False], 4588, 'South', (18, 11))
Element 23: (1, (18, 11), ['.', '.', '', '%'], [(2, 5), (17, 3), (15, 7)], [False, False, False, True], 54, False, [True, True, False, False], 4597, 'South', (18, 10))
Element 24: (1, (18, 10), ['.', '%', '', '%'], [(2, 6), (18, 3), (15, 6)], [False, True, False, True], 52, False, [True, False, False, False], 4606, 'West', (17, 10))
Element 25: (1, (17, 10), ['.', '.', '.', ''], [(1, 6), (18, 4), (16, 6)], [False, False, False, False], 50, False, [True, True, True, False], 4615, 'North', (17, 11))
Element 26: (1, (17, 11), ['.', '', '.', ''], [(1, 5), (17, 4), (17, 6)], [False, False, False, False], 48, False, [True, False, True, False], 4624, 'North', (17, 12))
Element 27: (1, (17, 12), ['.', '', '', ''], [(1, 6), (18, 4), (17, 7)], [False, False, False, False], 46, False, [True, False, False, False], 4633, 'West', (16, 12))
Element 28: (1, (16, 12), ['.', '.', '', ''], [(1, 7), (18, 5), (18, 7)], [False, False, False, False], 44, False, [True, True, False, False], 4642, 'South', (16, 11))
Element 29: (1, (16, 11), ['%', '.', '', ''], [(1, 8), (17, 5), (17, 7)], [True, False, False, False], 42, False, [False, True, False, False], 4651, 'South', (16, 10))
Element 30: (1, (16, 10), ['%', '.', '', ''], [(2, 8), (17, 4), (17, 6)], [True, False, False, False], 40, False, [False, True, False, False], 4660, 'South', (16, 9))
Element 31: (1, (16, 9), ['%', '%', '', '.'], [(2, 7), (17, 5), (16, 6)], [True, True, False, False], 38, False, [False, False, False, True], 4669, 'East', (17, 9))
Element 32: (1, (17, 9), ['', '%', '', '%'], [(2, 6), (17, 6), (15, 6)], [False, True, False, True], 36, False, [False, False, False, False], 4678, 'West', (16, 9))
Element 33: (1, (16, 9), ['%', '%', '', ''], [(2, 7), (16, 6), (15, 5)], [True, True, False, False], 34, False, [False, False, False, False], 4677, 'North', (16, 10))
Element 34: (1, (16, 10), ['%', '', '', ''], [(1, 7), (15, 6), (14, 5)], [True, False, False, False], 32, False, [False, False, False, False], 4686, 'North', (16, 11))
Element 35: (1, (16, 11), ['%', '', '', ''], [(2, 7), (15, 7), (13, 5)], [True, False, False, False], 30, False, [False, False, False, False], 4695, 'North', (16, 12))
Element 36: (1, (16, 12), ['.', '', '', ''], [(3, 7), (15, 8), (13, 6)], [False, False, False, False], 28, False, [True, False, False, False], 4704, 'West', (15, 12))
Element 37: (1, (15, 12), ['%', '%', '', ''], [(3, 6), (14, 8), (12, 6)], [True, True, False, False], 26, False, [False, False, False, False], 4723, 'East', (16, 12))
Element 38: (1, (16, 12), ['', '', '', ''], [(3, 5), (14, 7), (12, 5)], [False, False, False, False], 24, False, [False, False, False, False], 4732, 'East', (17, 12))
Element 39: (1, (17, 12), ['', '', '', ''], [(3, 6), (14, 8), (12, 4)], [False, False, False, False], 22, False, [False, False, False, False], 4731, 'South', (17, 11))
Element 40: (1, (17, 11), ['', '', '', ''], [(2, 6), (13, 8), (13, 4)], [False, False, False, False], 20, False, [False, False, False, False], 4730, 'West', (16, 11))
Element 41: (1, (16, 11), ['%', '', '', ''], [(3, 6), (14, 8), (13, 3)], [True, False, False, False], 18, False, [False, False, False, False], 4739, 'East', (17, 11))
Element 42: (1, (17, 11), ['', '', '', ''], [(4, 6), (15, 8), (14, 3)], [False, False, False, False], 16, False, [False, False, False, False], 4748, 'South', (17, 10))
Element 43: (1, (17, 10), ['', '', '', ''], [(5, 6), (15, 7), (14, 2)], [False, False, False, False], 14, False, [False, False, False, False], 4757, 'South', (17, 9))
Element 44: (1, (17, 9), ['', '%', '', '%'], [(6, 6), (14, 7), (14, 1)], [False, True, False, True], 12, False, [False, False, False, False], 4766, 'North', (17, 10))
Element 45: (1, (17, 10), ['', '', '', ''], [(6, 5), (15, 7), (15, 1)], [False, False, False, False], 10, False, [False, False, False, False], 4775, 'West', (16, 10))
Element 46: (1, (16, 10), ['%', '', '', ''], [(6, 4), (15, 6), (14, 1)], [True, False, False, False], 8, False, [False, False, False, False], 4784, 'East', (17, 10))
Element 47: (1, (17, 10), ['', '', '', ''], [(6, 3), (15, 5), (13, 1)], [False, False, False, False], 6, False, [False, False, False, False], 4803, 'East', (18, 10))
Element 48: (1, (18, 10), ['', '%', '', '%'], [(7, 3), (14, 5), (13, 2)], [False, True, False, True], 4, False, [False, False, False, False], 4822, 'North', (18, 11))
Element 49: (1, (18, 11), ['', '', '', '%'], [(8, 3), (13, 5), (12, 2)], [False, False, False, True], 2, False, [False, False, False, False], 4841, 'West', (17, 11))
Element 50: (1, (17, 11), ['', '', '', ''], [(8, 3), (13, 6), (12, 1)], [False, False, False, False], 0, False, [False, False, False, False], 4850, 'Stop', (17, 11))
Element 51: #0#
