Element 13: (0, (17, 5), ['', '', '.', ''], [(3, 6), (14, 5), (18, 4)], [False, False, False, False], 74, False, [False, False, True, False], 1418, 'North', (17, 6))
Element 14: (0, (17, 6), ['.', '', '.', '%'], [(3, 7), (15, 5), (18, 3)], [False, False, False, True], 72, False, [True, False, True, False], 1447, 'North', (17, 7))
Element 15: (0, (17, 7), ['%', '', '%', '.'], [(2, 7), (15, 6), (17, 3)], [True, False, True, False], 70, False, [False, False, False, True], 1486, 'East', (18, 7))
Element 16: (0, (18, 7), ['', '%', '%', '%'], [(2, 8), (16, 6), (16, 3)], [False, True, True, True], 68, False, [False, False, False, False], 2515, 'West', (17, 7))
Element 17: (0, (17, 7), ['%', 'G', '%', ''], [(1, 8), (17, 6), (17, 3)], [True, False, True, False], 66, False, [False, False, False, False], 3514, 'East', (18, 7))
Element 18: (0, (18, 7), ['G', '%', '%', '%'], [(1, 7), (17, 7), (18, 3)], [False, True, True, True], 64, False, [False, False, False, False], 3523, 'Stop', (18, 7))
Element 19: (0, (18, 7), ['', '%', '%', '%'], [(1, 6), (17, 6), (18, 4)], [False, True, True, True], 62, False, [False, False, False, False], 3532, 'West', (17, 7))
Element 20: (0, (17, 7), ['%', '', '%', ''], [(2, 6), (17, 5), (17, 4)], [True, False, True, False], 60, False, [False, False, False, False], 3541, 'South', (17, 6))
Element 21: (0, (17, 6), ['', 'G', '', '%'], [(2, 5), (18, 5), (17, 5)], [False, False, False, True], 58, False, [False, False, False, False], 3550, 'West', (16, 6))
Element 22: (0, (16, 6), ['', '', '%', 'G'], [(3, 5), (18, 4), (17, 6)], [False, False, True, False], 56, False, [False, False, False, False], 3559, 'West', (15, 6))
Element 23: (0, (15, 6), ['%', '', '.', ''], [(3, 4), (18, 3), (17, 7)], [True, False, False, False], 54, False, [False, False, True, False], 3568, 'North', (15, 7))
Element 24: (0, (15, 7), ['.', '', '.', '%'], [(4, 4), (17, 3), (18, 7)], [False, False, False, True], 52, False, [True, False, True, False], 3587, 'North', (15, 8))
Element 25: (0, (15, 8), ['.', '', '%', '%'], [(4, 3), (17, 4), (17, 7)], [False, False, True, True], 50, False, [True, False, False, False], 3606, 'West', (14, 8))
Element 26: (0, (14, 8), ['.', '.', '%', ''], [(5, 3), (16, 4), (17, 6)], [False, False, True, False], 48, False, [True, True, False, False], 3625, 'South', (14, 7))
Element 27: (0, (14, 7), ['%', '%', '', ''], [(4, 3), (16, 5), (16, 6)], [True, True, False, False], 46, False, [False, False, False, False], 3634, 'North', (14, 8))
Element 28: (0, (14, 8), ['.', '', '%', ''], [(4, 2), (16, 4), (16, 5)], [False, False, True, False], 44, False, [True, False, False, False], 3643, 'West', (13, 8))
Element 29: (0, (13, 8), ['%', '%', '%', ''], [(4, 1), (16, 3), (15, 5)], [True, True, True, False], 42, False, [False, False, False, False], 3662, 'East', (14, 8))
Element 30: (0, (14, 8), ['', '', '%', ''], [(5, 1), (16, 4), (15, 6)], [False, False, True, False], 40, False, [False, False, False, False], 3671, 'East', (15, 8))
Element 31: (0, (15, 8), ['', 'G', '%', '%'], [(6, 1), (15, 4), (15, 7)], [False, False, True, True], 38, False, [False, False, False, False], 3680, 'West', (14, 8))
Element 32: (0, (14, 8), ['', '', '%', 'G'], [(7, 1), (14, 4), (15, 8)], [False, False, True, False], 36, False, [False, False, False, False], 3689, 'South', (14, 7))
Element 33: (0, (14, 7), ['%', '%', 'G', ''], [(8, 1), (14, 3), (14, 8)], [True, True, False, False], 34, False, [False, False, False, False], 3688, 'East', (15, 7))
Element 34: (0, (15, 7), ['G', '', '', '%'], [(9, 1), (14, 2), (14, 7)], [False, False, False, True], 32, False, [False, False, False, False], 3687, 'South', (15, 6))
Element 35: (0, (15, 6), ['%', '', '', ''], [(9, 2), (14, 1), (14, 8)], [True, False, False, False], 30, False, [False, False, False, False], 3686, 'East', (16, 6))
Element 36: (0, (16, 6), ['', '', '%', ''], [(10, 2), (15, 1), (13, 8)], [False, False, True, False], 28, False, [False, False, False, False], 3685, 'South', (16, 5))
Element 37: (0, (16, 5), ['', '', '', ''], [(11, 2), (14, 1), (14, 8)], [False, False, False, False], 26, False, [False, False, False, False], 3684, 'South', (16, 4))
Element 38: (0, (16, 4), ['', '', '', ''], [(11, 1), (13, 1), (15, 8)], [False, False, False, False], 24, False, [False, False, False, False], 3693, 'East', (17, 4))
Element 39: (0, (17, 4), ['', '', '', ''], [(12, 1), (13, 2), (15, 7)], [False, False, False, False], 22, False, [False, False, False, False], 3702, 'East', (18, 4))
Element 40: (0, (18, 4), ['', '', '', '%'], [(13, 1), (13, 3), (14, 7)], [False, False, False, True], 20, False, [False, False, False, False], 3701, 'North', (18, 5))
Element 41: (0, (18, 5), ['', '', '%', '%'], [(14, 1), (13, 4), (15, 7)], [False, False, True, True], 18, False, [False, False, False, False], 3700, 'South', (18, 4))
Element 42: (0, (18, 4), ['', '', '', '%'], [(15, 1), (13, 3), (15, 6)], [False, False, False, True], 16, False, [False, False, False, False], 3699, 'South', (18, 3))
Element 43: (0, (18, 3), ['', '%', '', '%'], [(14, 1), (13, 2), (15, 5)], [False, True, False, True], 14, False, [False, False, False, False], 3698, 'West', (17, 3))
Element 44: (0, (17, 3), ['', '%', '', ''], [(14, 2), (12, 2), (14, 5)], [False, True, False, False], 12, False, [False, False, False, False], 3697, 'West', (16, 3))
Element 45: (0, (16, 3), ['%', '%', '', ''], [(14, 3), (12, 1), (13, 5)], [True, True, False, False], 10, False, [False, False, False, False], 3696, 'East', (17, 3))
Element 46: (0, (17, 3), ['', '%', '', ''], [(14, 4), (11, 1), (13, 6)], [False, True, False, False], 8, False, [False, False, False, False], 3695, 'East', (18, 3))
Element 47: (0, (18, 3), ['', '%', '', '%'], [(15, 4), (11, 2), (12, 6)], [False, True, False, True], 6, False, [False, False, False, False], 3694, 'North', (18, 4))
Element 48: (0, (18, 4), ['', '', '', '%'], [(16, 4), (10, 2), (11, 6)], [False, False, False, True], 4, False, [False, False, False, False], 3703, 'West', (17, 4))
Element 49: (0, (17, 4), ['', '', '', ''], [(16, 5), (9, 2), (12, 6)], [False, False, False, False], 2, False, [False, False, False, False], 3702, 'South', (17, 3))
Element 50: (0, (17, 3), ['', '%', '', ''], [(17, 5), (9, 1), (12, 5)], [False, True, False, False], 0, False, [False, False, False, False], 3701, 'Stop', (17, 3))
Element 51: #0#
