Element 1: (3, (9, 5), ['.', '.', '.', 'F'], [(11, 12), (3, 3), (5, 1)], [False, False, False, False], 98, False, [True, True, True, False], 29, 'East', (10, 5))
Element 2: (3, (10, 5), ['', '.', '%', '%'], [(12, 12), (4, 3), (6, 1)], [False, False, True, True], 96, False, [False, True, False, False], 1058, 'South', (10, 4))
Element 3: (3, (10, 4), ['.', '.', '', '.'], [(13, 12), (5, 3), (7, 1)], [False, False, False, False], 94, False, [True, True, False, True], 1097, 'East', (11, 4))
Element 4: (3, (11, 4), ['', '.', '%', '.'], [(13, 13), (6, 3), (8, 1)], [False, False, True, False], 92, False, [False, True, False, True], 1136, 'East', (12, 4))
Element 5: (3, (12, 4), ['', '%', '.', '.'], [(14, 13), (7, 3), (9, 1)], [False, True, False, False], 90, False, [False, False, True, True], 1175, 'East', (13, 4))
Element 6: (3, (13, 4), ['', '.', '.', '.'], [(15, 13), (8, 3), (9, 2)], [False, False, False, False], 88, False, [False, True, True, True], 2204, 'East', (14, 4))
Element 7: (3, (14, 4), ['', '.', '.', '.'], [(16, 13), (9, 3), (10, 2)], [False, False, False, False], 86, False, [False, True, True, True], 2243, 'East', (15, 4))
Element 8: (3, (15, 4), ['', '%', '.', '.'], [(17, 13), (10, 3), (11, 2)], [False, True, False, False], 84, False, [False, False, True, True], 2282, 'East', (16, 4))
Element 9: (3, (16, 4), ['', '.', '.', '.'], [(18, 13), (11, 3), (12, 2)], [False, False, False, False], 82, False, [False, True, True, True], 2321, 'East', (17, 4))
Element 10: (3, (17, 4), ['', '.', '.', '.'], [(18, 12), (11, 4), (13, 2)], [False, False, False, False], 80, False, [False, True, True, True], 2350, 'East', (18, 4))
Element 11: (3, (18, 4), ['', '.', '.', '%'], [(18, 11), (12, 4), (14, 2)], [False, False, False, True], 78, False, [False, True, True, False], 2379, 'North', (18, 5))
Element 12: (3, (18, 5), ['.', '', '%', '%'], [(18, 10), (12, 5), (14, 3)], [False, False, True, True], 76, False, [True, False, False, False], 2418, 'West', (17, 5))
Element 13: (3, (17, 5), ['.', '', '.', ''], [(17, 10), (13, 5), (13, 3)], [False, False, False, False], 74, False, [True, False, True, False], 2457, 'North', (17, 6))
Element 14: (3, (17, 6), ['.', '', '.', '%'], [(17, 11), (14, 5), (13, 4)], [False, False, False, True], 72, False, [True, False, True, False], 2486, 'North', (17, 7))
Element 15: (3, (17, 7), ['%', '', '%', '.'], [(17, 12), (15, 5), (14, 4)], [True, False, True, False], 70, False, [False, False, False, True], 2515, 'East', (18, 7))
Element 16: (3, (18, 7), ['', '%', '%', '%'], [(16, 12), (16, 5), (15, 4)], [False, True, True, True], 68, False, [False, False, False, False], 2544, 'West', (17, 7))
Element 17: (3, (17, 7), ['%', '', '%', ''], [(16, 11), (16, 6), (16, 4)], [True, False, True, False], 66, False, [False, False, False, False], 2563, 'South', (17, 6))
Element 18: (3, (17, 6), ['', '', '', '%'], [(16, 10), (15, 6), (16, 3)], [False, False, False, True], 64, False, [False, False, False, False], 2592, 'West', (16, 6))
Element 19: (3, (16, 6), ['', '', '%', ''], [(16, 9), (15, 7), (17, 3)], [False, False, True, False], 62, False, [False, False, False, False], 2621, 'South', (16, 5))
Element 20: (3, (16, 5), ['', '', '', ''], [(17, 9), (15, 8), (18, 3)], [False, False, False, False], 60, False, [False, False, False, False], 2650, 'West', (15, 5))
Element 21: (3, (15, 5), ['', '', '', ''], [(16, 9), (14, 8), (18, 4)], [False, False, False, False], 58, False, [False, False, False, False], 2659, 'North', (15, 6))
Element 22: (3, (15, 6), ['%', '', '', ''], [(16, 10), (14, 7), (18, 5)], [True, False, False, False], 56, False, [False, False, False, False], 2668, 'North', (15, 7))
Element 23: (3, (15, 7), ['', '', '', '%'], [(16, 11), (14, 8), (17, 5)], [False, False, False, True], 54, False, [False, False, False, False], 2667, 'North', (15, 8))
Element 24: (3, (15, 8), ['', '', '%', '%'], [(16, 12), (13, 8), (17, 6)], [False, False, True, True], 52, False, [False, False, False, False], 2676, 'West', (14, 8))
Element 25: (3, (14, 8), ['G', '', '%', ''], [(15, 12), (13, 8), (17, 7)], [False, False, True, False], 50, False, [False, False, False, False], 2685, 'South', (14, 7))
