Element 1: (0, (1, 12), ['%', 'F', '.', '.'], [(5, 1), (5, 5), (7, 1)], [True, False, False, False], 98, False, [False, False, True, True], 0, 'South', (1, 11))
Element 2: (0, (1, 11), ['%', '.', '', 'F'], [(6, 1), (6, 5), (8, 1)], [True, False, False, False], 96, False, [False, True, False, False], 1029, 'East', (2, 11))
Element 3: (0, (2, 11), ['', '.', '.', '%'], [(6, 2), (6, 6), (9, 1)], [False, False, False, True], 94, False, [False, True, True, False], 2058, 'North', (2, 12))
Element 4: (0, (2, 12), ['', '', '%', '.'], [(7, 2), (5, 6), (9, 2)], [False, False, True, False], 92, False, [False, False, False, True], 3087, 'East', (3, 12))
Element 5: (0, (3, 12), ['', '%', '.', '.'], [(8, 2), (4, 6), (10, 2)], [False, True, False, False], 90, False, [False, False, True, True], 3126, 'East', (4, 12))
Element 6: (0, (4, 12), ['', '.', '.', '.'], [(8, 3), (4, 5), (11, 2)], [False, False, False, False], 88, False, [False, True, True, True], 3165, 'East', (5, 12))
Element 7: (0, (5, 12), ['', '.', '.', '.'], [(9, 3), (4, 4), (12, 2)], [False, False, False, False], 86, False, [False, True, True, True], 3204, 'East', (6, 12))
Element 8: (0, (6, 12), ['', '.', '.', '.'], [(10, 3), (4, 3), (13, 2)], [False, False, False, False], 84, False, [False, True, True, True], 3243, 'East', (7, 12))
Element 9: (0, (7, 12), ['', '%', '.', '.'], [(11, 3), (5, 3), (14, 2)], [False, True, False, False], 82, False, [False, False, True, True], 3282, 'East', (8, 12))
Element 10: (0, (8, 12), ['', '%', '%', '.'], [(11, 4), (6, 3), (14, 3)], [False, True, True, False], 80, False, [False, False, False, True], 3321, 'East', (9, 12))
Element 11: (0, (9, 12), ['', '%', '.', '.'], [(12, 4), (7, 3), (14, 4)], [False, True, False, False], 78, False, [False, False, True, True], 3360, 'East', (10, 12))
Element 12: (0, (10, 12), ['', '%', '.', '.'], [(13, 4), (8, 3), (15, 4)], [False, True, False, False], 76, False, [False, False, True, True], 3389, 'East', (11, 12))
Element 13: (0, (11, 12), ['', '%', '%', '.'], [(13, 5), (8, 4), (16, 4)], [False, True, True, False], 74, False, [False, False, False, True], 3428, 'East', (12, 12))
Element 14: (0, (12, 12), ['', '.', '.', '.'], [(14, 5), (9, 4), (17, 4)], [False, False, False, False], 72, False, [False, True, True, True], 3467, 'East', (13, 12))
Element 15: (0, (13, 12), ['', '.', '.', '%'], [(15, 5), (10, 4), (18, 4)], [False, False, False, True], 70, False, [False, True, True, False], 3506, 'North', (13, 13))
Element 16: (0, (13, 13), ['.', '', '%', '.'], [(16, 5), (10, 5), (18, 5)], [False, False, True, False], 68, False, [True, False, False, True], 4535, 'East', (14, 13))
Element 17: (0, (14, 13), ['', '%', '%', '.'], [(17, 5), (9, 5), (18, 4)], [False, True, True, False], 66, False, [False, False, False, True], 4564, 'East', (15, 13))
Element 18: (0, (15, 13), ['', '.', '%', '.'], [(17, 6), (9, 6), (18, 3)], [False, False, True, False], 64, False, [False, True, False, True], 4603, 'East', (16, 13))
