Element 1: (0, (6, 6), ['.', '.', '%', '%'], [(3, 3), (14, 1), (17, 9)], [False, False, True, True], 98, False, [True, True, False, False], 0, 'South', (6, 5))
Element 2: (0, (6, 5), ['.', '.', '', '%'], [(4, 3), (15, 1), (17, 10)], [False, False, False, True], 96, False, [True, True, False, False], 39, 'South', (6, 4))
Element 3: (0, (6, 4), ['%', '.', '', '%'], [(5, 3), (14, 1), (18, 10)], [True, False, False, True], 94, False, [False, True, False, False], 68, 'South', (6, 3))
Element 4: (0, (6, 3), ['', '.', '', '.'], [(5, 2), (14, 2), (18, 11)], [False, False, False, False], 92, False, [False, True, False, True], 107, 'East', (7, 3))
Element 5: (0, (7, 3), ['', '.', '%', '.'], [(6, 2), (14, 3), (18, 12)], [False, False, True, False], 90, False, [False, True, False, True], 146, 'East', (8, 3))
Element 6: (0, (8, 3), ['', '.', '.', '.'], [(7, 2), (14, 4), (18, 13)], [False, False, False, False], 88, False, [False, True, True, True], 185, 'East', (9, 3))
Element 7: (0, (9, 3), ['', 'F', '.', '.'], [(8, 2), (15, 4), (17, 13)], [False, False, False, False], 86, False, [False, False, True, True], 224, 'South', (9, 2))
Element 8: (0, (9, 2), ['', '.', '', '.'], [(8, 1), (16, 4), (17, 12)], [False, False, False, False], 84, False, [False, True, False, True], 1253, 'East', (10, 2))
Element 9: (0, (10, 2), ['', '%', '.', '.'], [(9, 1), (17, 4), (17, 11)], [False, True, False, False], 82, False, [False, False, True, True], 1292, 'East', (11, 2))
Element 10: (0, (11, 2), ['', '.', '.', '.'], [(9, 2), (18, 4), (16, 11)], [False, False, False, False], 80, False, [False, True, True, True], 1321, 'East', (12, 2))
Element 11: (0, (12, 2), ['', '.', '%', '.'], [(10, 2), (18, 5), (16, 12)], [False, False, True, False], 78, False, [False, True, False, True], 1350, 'East', (13, 2))
Element 12: (0, (13, 2), ['', '.', '.', ''], [(10, 3), (17, 5), (16, 13)], [False, False, False, False], 76, False, [False, True, True, False], 1389, 'North', (13, 3))
Element 13: (0, (13, 3), ['%', '', '.', ''], [(11, 3), (17, 6), (15, 13)], [True, False, False, False], 74, False, [False, False, True, False], 1428, 'North', (13, 4))
Element 14: (0, (13, 4), ['.', '', '.', ''], [(11, 4), (17, 7), (15, 12)], [False, False, False, False], 72, False, [True, False, True, False], 1467, 'North', (13, 5))
Element 15: (0, (13, 5), ['.', '', '.', '.'], [(12, 4), (18, 7), (15, 13)], [False, False, False, False], 70, False, [True, False, True, True], 1496, 'East', (14, 5))
Element 16: (0, (14, 5), ['', '', '%', '.'], [(12, 5), (17, 7), (14, 13)], [False, False, True, False], 68, False, [False, False, False, True], 1525, 'East', (15, 5))
Element 17: (0, (15, 5), ['', '', '.', '.'], [(12, 6), (17, 6), (13, 13)], [False, False, False, False], 66, False, [False, False, True, True], 1554, 'East', (16, 5))
Element 18: (0, (16, 5), ['', '', 'G', ''], [(13, 6), (16, 6), (13, 12)], [False, False, False, False], 64, False, [False, False, False, False], 1593, 'East', (17, 5))
