Element 1: (3, (7, 1), ['G', '%', '.', '.'], [(1, 11), (6, 1), (6, 5)], [False, True, False, False], 98, False, [False, False, True, True], 1019, 'East', (8, 1))
Element 2: (3, (8, 1), ['', '%', '.', '.'], [(2, 11), (6, 2), (6, 6)], [False, True, False, False], 96, False, [False, False, True, True], 2048, 'East', (9, 1))
Element 3: (3, (9, 1), ['', '%', 'F', '%'], [(2, 12), (7, 2), (5, 6)], [False, True, False, True], 94, False, [False, False, False, False], 2087, 'North', (9, 2))
Element 4: (3, (9, 2), ['G', '', '.', '.'], [(3, 12), (8, 2), (4, 6)], [False, False, False, False], 92, False, [False, False, True, True], 3116, 'East', (10, 2))
Element 5: (3, (10, 2), ['', '%', '.', '.'], [(4, 12), (8, 3), (4, 5)], [False, True, False, False], 90, False, [False, False, True, True], 3155, 'East', (11, 2))
Element 6: (3, (11, 2), ['', '.', '.', '.'], [(5, 12), (9, 3), (4, 4)], [False, False, False, False], 88, False, [False, True, True, True], 3194, 'East', (12, 2))
Element 7: (3, (12, 2), ['', '.', '%', '.'], [(6, 12), (10, 3), (4, 3)], [False, False, True, False], 86, False, [False, True, False, True], 3233, 'East', (13, 2))
Element 8: (3, (13, 2), ['', '.', '.', '.'], [(7, 12), (11, 3), (5, 3)], [False, False, False, False], 84, False, [False, True, True, True], 3272, 'East', (14, 2))
Element 9: (3, (14, 2), ['', '.', '.', '%'], [(8, 12), (11, 4), (6, 3)], [False, False, False, True], 82, False, [False, True, True, False], 3311, 'North', (14, 3))
Element 10: (3, (14, 3), ['.', '', '.', '%'], [(9, 12), (12, 4), (7, 3)], [False, False, False, True], 80, False, [True, False, True, False], 3350, 'North', (14, 4))
Element 11: (3, (14, 4), ['G', '', '.', '.'], [(10, 12), (13, 4), (8, 3)], [False, False, False, False], 78, False, [False, False, True, True], 3379, 'East', (15, 4))
Element 12: (3, (15, 4), ['', '%', '.', '.'], [(11, 12), (13, 5), (8, 4)], [False, True, False, False], 76, False, [False, False, True, True], 3418, 'East', (16, 4))
Element 13: (3, (16, 4), ['', '.', '.', '.'], [(12, 12), (14, 5), (9, 4)], [False, False, False, False], 74, False, [False, True, True, True], 3457, 'East', (17, 4))
Element 14: (3, (17, 4), ['', '.', '.', '.'], [(13, 12), (15, 5), (10, 4)], [False, False, False, False], 72, False, [False, True, True, True], 3496, 'East', (18, 4))
Element 15: (3, (18, 4), ['', '.', '.', '%'], [(13, 13), (16, 5), (10, 5)], [False, False, False, True], 70, False, [False, True, True, False], 4525, 'North', (18, 5))
Element 16: (3, (18, 5), ['G', '', '%', '%'], [(14, 13), (17, 5), (9, 5)], [False, False, True, True], 68, False, [False, False, False, False], 4564, 'South', (18, 4))
Element 17: (3, (18, 4), ['', '.', '', '%'], [(15, 13), (17, 6), (9, 6)], [False, False, False, True], 66, False, [False, True, False, False], 4593, 'South', (18, 3))
Element 18: (3, (18, 3), ['.', '%', '', '%'], [(16, 13), (17, 7), (9, 7)], [False, True, False, True], 64, False, [True, False, False, False], 4632, 'West', (17, 3))
Element 19: (3, (17, 3), ['.', '%', '', ''], [(17, 13), (18, 7), (10, 7)], [False, True, False, False], 62, False, [True, False, False, False], 4671, 'West', (16, 3))
Element 20: (3, (16, 3), ['%', '%', '', ''], [(18, 13), (17, 7), (10, 8)], [True, True, False, False], 60, False, [False, False, False, False], 4700, 'East', (17, 3))
Element 21: (3, (17, 3), ['', '%', '', ''], [(18, 12), (17, 6), (9, 8)], [False, True, False, False], 58, False, [False, False, False, False], 4719, 'East', (18, 3))
Element 22: (3, (18, 3), ['', '%', '', '%'], [(18, 11), (16, 6), (8, 8)], [False, True, False, True], 56, False, [False, False, False, False], 4748, 'North', (18, 4))
Element 23: (3, (18, 4), ['', '', '', '%'], [(18, 10), (15, 6), (8, 9)], [False, False, False, True], 54, False, [False, False, False, False], 4777, 'West', (17, 4))
Element 24: (3, (17, 4), ['', '', '', ''], [(17, 10), (15, 7), (7, 9)], [False, False, False, False], 52, False, [False, False, False, False], 4806, 'North', (17, 5))
Element 25: (3, (17, 5), ['', '', '', ''], [(17, 11), (15, 8), (7, 8)], [False, False, False, False], 50, False, [False, False, False, False], 4835, 'North', (17, 6))
Element 26: (3, (17, 6), ['', '', '', '%'], [(17, 12), (14, 8), (6, 8)], [False, False, False, True], 48, False, [False, False, False, False], 4864, 'North', (17, 7))
Element 27: (3, (17, 7), ['%', '', '%', ''], [(16, 12), (14, 7), (6, 9)], [True, False, True, False], 46, False, [False, False, False, False], 4893, 'East', (18, 7))
Element 28: (3, (18, 7), ['', '%', '%', '%'], [(16, 11), (14, 8), (6, 8)], [False, True, True, True], 44, False, [False, False, False, False], 4902, 'West', (17, 7))
Element 29: (3, (17, 7), ['%', '', '%', ''], [(16, 10), (13, 8), (5, 8)], [True, False, True, False], 42, False, [False, False, False, False], 4931, 'South', (17, 6))
Element 30: (3, (17, 6), ['', '', '', '%'], [(16, 9), (14, 8), (4, 8)], [False, False, False, True], 40, False, [False, False, False, False], 4950, 'West', (16, 6))
Element 31: (3, (16, 6), ['', '', '%', ''], [(17, 9), (15, 8), (5, 8)], [False, False, True, False], 38, False, [False, False, False, False], 4959, 'South', (16, 5))
Element 32: (3, (16, 5), ['', '', '', ''], [(16, 9), (15, 7), (6, 8)], [False, False, False, False], 36, False, [False, False, False, False], 4958, 'West', (15, 5))
Element 33: (3, (15, 5), ['', '', '', ''], [(16, 10), (14, 7), (7, 8)], [False, False, False, False], 34, False, [False, False, False, False], 4957, 'North', (15, 6))
Element 34: (3, (15, 6), ['%', '', 'G', ''], [(16, 11), (15, 7), (7, 9)], [True, False, False, False], 32, False, [False, False, False, False], 4956, 'South', (15, 5))
Element 35: (3, (15, 5), ['', '', 'G', ''], [(16, 12), (15, 6), (6, 9)], [False, False, False, False], 30, False, [False, False, False, False], 4955, 'West', (14, 5))
Element 36: (3, (14, 5), ['', '', '%', ''], [(15, 12), (16, 6), (7, 9)], [False, False, True, False], 28, False, [False, False, False, False], 4964, 'West', (13, 5))
