Element 1: (1, (2, 10), ['.', '%', 'F', '.'], [(8, 12), (5, 3), (15, 8)], [False, True, False, False], 98, False, [True, False, False, True], 9, 'North', (2, 11))
Element 2: (1, (2, 11), ['F', '', '.', '%'], [(9, 12), (6, 3), (15, 7)], [False, False, False, True], 96, False, [False, False, True, False], 1038, 'West', (1, 11))
Element 3: (1, (1, 11), ['%', '.', '.', ''], [(10, 12), (7, 3), (15, 6)], [True, False, False, False], 94, False, [False, True, True, False], 2067, 'North', (1, 12))
Element 4: (1, (1, 12), ['%', '', '.', '.'], [(11, 12), (8, 3), (16, 6)], [True, False, False, False], 92, False, [False, False, True, True], 2106, 'East', (2, 12))
Element 5: (1, (2, 12), ['', '', '%', '.'], [(12, 12), (9, 3), (17, 6)], [False, False, True, False], 90, False, [False, False, False, True], 2145, 'East', (3, 12))
Element 6: (1, (3, 12), ['', '%', '.', '.'], [(13, 12), (9, 2), (17, 7)], [False, True, False, False], 88, False, [False, False, True, True], 3174, 'East', (4, 12))
Element 7: (1, (4, 12), ['', '.', '.', '.'], [(13, 13), (10, 2), (18, 7)], [False, False, False, False], 86, False, [False, True, True, True], 3213, 'East', (5, 12))
Element 8: (1, (5, 12), ['', '.', '.', '.'], [(14, 13), (11, 2), (17, 7)], [False, False, False, False], 84, False, [False, True, True, True], 3242, 'East', (6, 12))
Element 9: (1, (6, 12), ['', '.', '.', ''], [(15, 13), (12, 2), (17, 6)], [False, False, False, False], 82, False, [False, True, True, False], 3271, 'North', (6, 13))
Element 10: (1, (6, 13), ['.', '', '%', '.'], [(16, 13), (13, 2), (17, 5)], [False, False, True, False], 80, False, [True, False, False, True], 3310, 'East', (7, 13))
Element 11: (1, (7, 13), ['', '', '%', '%'], [(17, 13), (14, 2), (18, 5)], [False, False, True, True], 78, False, [False, False, False, False], 3349, 'South', (7, 12))
Element 12: (1, (7, 12), ['', '%', '', ''], [(18, 13), (14, 3), (18, 4)], [False, True, False, False], 76, False, [False, False, False, False], 3378, 'East', (8, 12))
Element 13: (1, (8, 12), ['', '%', '%', ''], [(18, 12), (14, 4), (18, 3)], [False, True, True, False], 74, False, [False, False, False, False], 3407, 'East', (9, 12))
Element 14: (1, (9, 12), ['', '%', '.', ''], [(18, 11), (15, 4), (17, 3)], [False, True, False, False], 72, False, [False, False, True, False], 3436, 'North', (9, 13))
Element 15: (1, (9, 13), ['%', '', '%', '.'], [(18, 10), (16, 4), (17, 4)], [True, False, True, False], 70, False, [False, False, False, True], 3475, 'East', (10, 13))
Element 16: (1, (10, 13), ['', '', '%', '%'], [(17, 10), (16, 5), (16, 4)], [False, False, True, True], 68, False, [False, False, False, False], 3504, 'South', (10, 12))
Element 17: (1, (10, 12), ['', '%', '', ''], [(17, 11), (15, 5), (16, 3)], [False, True, False, False], 66, False, [False, False, False, False], 3533, 'East', (11, 12))
Element 18: (1, (11, 12), ['', '%', '%', ''], [(17, 12), (14, 5), (16, 4)], [False, True, True, False], 64, False, [False, False, False, False], 3552, 'East', (12, 12))
Element 19: (1, (12, 12), ['', '.', '.', ''], [(16, 12), (13, 5), (16, 5)], [False, False, False, False], 62, False, [False, True, True, False], 3571, 'North', (12, 13))
Element 20: (1, (12, 13), ['%', '', '%', ''], [(16, 11), (13, 6), (15, 5)], [True, False, True, False], 60, False, [False, False, False, False], 3600, 'East', (13, 13))
Element 21: (1, (13, 13), ['', '', '%', ''], [(16, 10), (12, 6), (15, 4)], [False, False, True, False], 58, False, [False, False, False, False], 3619, 'East', (14, 13))
Element 22: (1, (14, 13), ['', '%', '%', ''], [(16, 9), (12, 5), (14, 4)], [False, True, True, False], 56, False, [False, False, False, False], 3638, 'East', (15, 13))
