Element 1: (1, (4, 6), ['.', '.', '%', 'G'], [(18, 4), (5, 6), (8, 12)], [False, False, True, False], 98, False, [True, True, False, False], 9, 'South', (4, 5))
Element 2: (1, (4, 5), ['.', '.', '', '.'], [(18, 5), (6, 6), (9, 12)], [False, False, False, False], 96, False, [True, True, False, True], 48, 'East', (5, 5))
Element 3: (1, (5, 5), ['', '%', '', 'G'], [(17, 5), (6, 5), (10, 12)], [False, True, False, False], 94, False, [False, False, False, False], 87, 'North', (5, 6))
Element 4: (1, (5, 6), ['', '', '%', ''], [(17, 6), (6, 4), (11, 12)], [False, False, True, False], 92, False, [False, False, False, False], 116, 'East', (6, 6))
Element 5: (1, (6, 6), ['', '', '%', '%'], [(17, 7), (6, 3), (12, 12)], [False, False, True, True], 90, False, [False, False, False, False], 145, 'South', (6, 5))
Element 6: (1, (6, 5), ['', '', '', '%'], [(18, 7), (7, 3), (13, 12)], [False, False, False, True], 88, False, [False, False, False, False], 174, 'South', (6, 4))
Element 7: (1, (6, 4), ['%', '', '', '%'], [(17, 7), (8, 3), (13, 13)], [True, False, False, True], 86, False, [False, False, False, False], 193, 'South', (6, 3))
Element 8: (1, (6, 3), ['.', '.', '', ''], [(17, 6), (9, 3), (14, 13)], [False, False, False, False], 84, False, [True, True, False, False], 212, 'South', (6, 2))
Element 9: (1, (6, 2), ['.', '.', '', '.'], [(16, 6), (9, 2), (15, 13)], [False, False, False, False], 82, False, [True, True, False, True], 1241, 'East', (7, 2))
Element 10: (1, (7, 2), ['', '.', '', '.'], [(16, 5), (10, 2), (16, 13)], [False, False, False, False], 80, False, [False, True, False, True], 1280, 'East', (8, 2))
Element 11: (1, (8, 2), ['', '.', '', ''], [(16, 4), (11, 2), (17, 13)], [False, False, False, False], 78, False, [False, True, False, False], 1319, 'South', (8, 1))
Element 12: (1, (8, 1), ['.', '%', '', '.'], [(16, 3), (12, 2), (18, 13)], [False, True, False, False], 76, False, [True, False, False, True], 1358, 'East', (9, 1))
Element 13: (1, (9, 1), ['', '%', '', '%'], [(17, 3), (13, 2), (18, 12)], [False, True, False, True], 74, False, [False, False, False, False], 1397, 'North', (9, 2))
Element 14: (1, (9, 2), ['', '', '', ''], [(18, 3), (14, 2), (18, 11)], [False, False, False, False], 72, False, [False, False, False, False], 1426, 'East', (10, 2))
Element 15: (1, (10, 2), ['', '%', '.', ''], [(17, 3), (14, 3), (18, 10)], [False, True, False, False], 70, False, [False, False, True, False], 1445, 'North', (10, 3))
Element 16: (1, (10, 3), ['', '', '.', '.'], [(16, 3), (14, 4), (17, 10)], [False, False, False, False], 68, False, [False, False, True, True], 1474, 'East', (11, 3))
Element 17: (1, (11, 3), ['', '', '.', '%'], [(16, 4), (15, 4), (17, 11)], [False, False, False, True], 66, False, [False, False, True, False], 1503, 'North', (11, 4))
Element 18: (1, (11, 4), ['.', '', '%', '.'], [(15, 4), (15, 5), (17, 12)], [False, False, True, False], 64, False, [True, False, False, True], 1532, 'East', (12, 4))
Element 19: (1, (12, 4), ['', '%', '.', '.'], [(15, 5), (15, 6), (16, 12)], [False, True, False, False], 62, False, [False, False, True, True], 1561, 'East', (13, 4))
Element 20: (1, (13, 4), ['', '.', '.', ''], [(14, 5), (15, 7), (16, 11)], [False, False, False, False], 60, False, [False, True, True, False], 1600, 'North', (13, 5))
Element 21: (1, (13, 5), ['.', '', '.', ''], [(14, 4), (15, 8), (16, 10)], [False, False, False, False], 58, False, [True, False, True, False], 1629, 'North', (13, 6))
Element 22: (1, (13, 6), ['.', '', '%', '%'], [(14, 3), (14, 8), (16, 9)], [False, False, True, True], 56, False, [True, False, False, False], 1658, 'West', (12, 6))
Element 23: (1, (12, 6), ['.', '.', '%', ''], [(13, 3), (14, 7), (17, 9)], [False, False, True, False], 54, False, [True, True, False, False], 1697, 'South', (12, 5))
Element 24: (1, (12, 5), ['%', '', '', ''], [(13, 4), (14, 8), (16, 9)], [True, False, False, False], 52, False, [False, False, False, False], 1706, 'North', (12, 6))
Element 25: (1, (12, 6), ['.', '', '%', ''], [(13, 5), (13, 8), (16, 10)], [False, False, True, False], 50, False, [True, False, False, False], 1715, 'West', (11, 6))
Element 26: (1, (11, 6), ['%', '%', '%', ''], [(13, 6), (14, 8), (16, 11)], [True, True, True, False], 48, False, [False, False, False, False], 1724, 'East', (12, 6))
Element 27: (1, (12, 6), ['', '', '%', ''], [(13, 5), (15, 8), (16, 12)], [False, False, True, False], 46, False, [False, False, False, False], 1723, 'East', (13, 6))
Element 28: (1, (13, 6), ['', '', '%', '%'], [(12, 5), (15, 7), (15, 12)], [False, False, True, True], 44, False, [False, False, False, False], 1732, 'South', (13, 5))
Element 29: (1, (13, 5), ['', '', '', ''], [(12, 6), (14, 7), (16, 12)], [False, False, False, False], 42, False, [False, False, False, False], 1731, 'West', (12, 5))
Element 30: (1, (12, 5), ['%', '', '', ''], [(11, 6), (15, 7), (17, 12)], [True, False, False, False], 40, False, [False, False, False, False], 1730, 'East', (13, 5))
Element 31: (1, (13, 5), ['', '', '', ''], [(12, 6), (15, 6), (17, 11)], [False, False, False, False], 38, False, [False, False, False, False], 1729, 'East', (14, 5))
Element 32: (1, (14, 5), ['', '', '%', ''], [(12, 5), (16, 6), (16, 11)], [False, False, True, False], 36, False, [False, False, False, False], 1728, 'East', (15, 5))
Element 33: (1, (15, 5), ['', '', '', ''], [(12, 4), (17, 6), (17, 11)], [False, False, False, False], 34, False, [False, False, False, False], 1727, 'East', (16, 5))
Element 34: (1, (16, 5), ['', '', '', ''], [(11, 4), (17, 7), (17, 10)], [False, False, False, False], 32, False, [False, False, False, False], 1726, 'East', (17, 5))
Element 35: (1, (17, 5), ['', '', '', ''], [(10, 4), (18, 7), (17, 9)], [False, False, False, False], 30, False, [False, False, False, False], 1735, 'East', (18, 5))
Element 36: (1, (18, 5), ['', '', '%', '%'], [(10, 5), (17, 7), (17, 10)], [False, False, True, True], 28, False, [False, False, False, False], 2734, 'South', (18, 4))
Element 37: (1, (18, 4), ['', '', '', '%'], [(9, 5), (17, 6), (16, 10)], [False, False, False, True], 26, False, [False, False, False, False], 2743, 'South', (18, 3))
Element 38: (1, (18, 3), ['', '%', '', '%'], [(9, 6), (17, 5), (17, 10)], [False, True, False, True], 24, False, [False, False, False, False], 2752, 'West', (17, 3))
Element 39: (1, (17, 3), ['', '%', '', ''], [(9, 7), (18, 5), (18, 10)], [False, True, False, False], 22, False, [False, False, False, False], 2761, 'North', (17, 4))
Element 40: (1, (17, 4), ['', '', '', 'G'], [(10, 7), (18, 4), (18, 11)], [False, False, False, False], 20, False, [False, False, False, False], 2770, 'West', (16, 4))
Element 41: (1, (16, 4), ['', '', '', ''], [(10, 8), (18, 3), (17, 11)], [False, False, False, False], 18, False, [False, False, False, False], 2779, 'South', (16, 3))
Element 42: (1, (16, 3), ['%', '%', '', 'G'], [(9, 8), (17, 3), (18, 11)], [True, True, False, False], 16, False, [False, False, False, False], 2788, 'North', (16, 4))
Element 43: (1, (16, 4), ['', '', '', 'G'], [(8, 8), (17, 4), (18, 12)], [False, False, False, False], 14, False, [False, False, False, False], 2797, 'West', (15, 4))
Element 44: (1, (15, 4), ['', '%', '', 'G'], [(8, 9), (16, 4), (17, 12)], [False, True, False, False], 12, False, [False, False, False, False], 2806, 'West', (14, 4))
Element 45: (1, (14, 4), ['', '', '', ''], [(7, 9), (16, 5), (18, 12)], [False, False, False, False], 10, False, [False, False, False, False], 2815, 'South', (14, 3))
Element 46: (1, (14, 3), ['', '', '', '%'], [(7, 8), (16, 4), (18, 13)], [False, False, False, True], 8, False, [False, False, False, False], 2824, 'South', (14, 2))
Element 47: (1, (14, 2), ['', '.', '', '%'], [(6, 8), (16, 3), (17, 13)], [False, False, False, True], 6, False, [False, True, False, False], 2833, 'South', (14, 1))
Element 48: (1, (14, 1), ['.', '%', '', '.'], [(6, 9), (16, 4), (17, 12)], [False, True, False, False], 4, False, [True, False, False, True], 2852, 'East', (15, 1))
Element 49: (1, (15, 1), ['', '%', '%', '%'], [(6, 8), (17, 4), (17, 13)], [False, True, True, True], 2, False, [False, False, False, False], 2861, 'West', (14, 1))
Element 50: (1, (14, 1), ['.', '%', '', ''], [(6, 8), (17, 3), (16, 13)], [False, True, False, False], 0, False, [True, False, False, False], 2860, 'Stop', (14, 1))
Element 51: #0#
