Element 1: (2, (9, 5), ['.', '.', '.', 'F'], [(17, 1), (6, 7), (13, 4)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'East', (10, 5))
Element 2: (2, (10, 5), ['', 'F', 'F', 'F'], [(18, 1), (7, 7), (14, 4)], [False, False, False, False], 96, False, [False, False, False, False], 1048, 'East', (11, 5))
Element 3: (2, (11, 5), ['', 'F', 'F', '.'], [(17, 1), (8, 7), (15, 4)], [False, False, False, False], 94, False, [False, False, False, True], 2067, 'North', (11, 6))
Element 4: (2, (11, 6), ['F', '', 'F', '.'], [(16, 1), (9, 7), (15, 5)], [False, False, False, False], 92, False, [False, False, False, True], 3086, 'North', (11, 7))
Element 5: (2, (11, 7), ['G', '', 'F', '.'], [(16, 1), (10, 7), (15, 6)], [False, False, False, False], 90, False, [False, False, False, True], 5095, 'North', (11, 8))
Element 6: (2, (11, 8), ['G', '', 'F', '.'], [(17, 1), (10, 8), (15, 7)], [False, False, False, False], 88, False, [False, False, False, True], 7104, 'North', (11, 9))
Element 7: (2, (11, 9), ['G', '', '%', '.'], [(18, 1), (10, 9), (15, 8)], [False, False, True, False], 86, False, [False, False, False, True], 9113, 'East', (12, 9))
Element 8: (2, (12, 9), ['', '.', '%', '.'], [(17, 1), (9, 9), (15, 9)], [False, False, True, False], 84, False, [False, True, False, True], 9142, 'East', (13, 9))
Element 9: (2, (13, 9), ['', '.', '%', 'G'], [(16, 1), (9, 8), (14, 9)], [False, False, True, False], 82, False, [False, True, False, False], 9171, 'South', (13, 8))
Element 10: (2, (13, 8), ['.', '.', '', 'G'], [(16, 1), (8, 8), (14, 8)], [False, False, False, False], 80, False, [True, True, False, False], 9200, 'South', (13, 7))
Element 11: (2, (13, 7), ['.', '.', '', 'G'], [(17, 1), (8, 9), (14, 7)], [False, False, False, False], 78, False, [True, True, False, False], 9229, 'South', (13, 6))
Element 12: (2, (13, 6), ['.', '.', '', 'G'], [(18, 1), (7, 9), (14, 6)], [False, False, False, False], 76, False, [True, True, False, False], 9258, 'South', (13, 5))
Element 13: (2, (13, 5), ['.', '', '', 'G'], [(17, 1), (7, 8), (14, 5)], [False, False, False, False], 74, False, [True, False, False, False], 9287, 'West', (12, 5))
Element 14: (2, (12, 5), ['', '.', '.', 'G'], [(16, 1), (6, 8), (13, 5)], [False, False, False, False], 72, False, [False, True, True, False], 9306, 'North', (12, 6))
Element 15: (2, (12, 6), ['', '', '.', 'G'], [(16, 1), (6, 9), (13, 6)], [False, False, False, False], 70, False, [False, False, True, False], 9325, 'North', (12, 7))
Element 16: (2, (12, 7), ['', '', '.', 'G'], [(17, 1), (5, 9), (13, 7)], [False, False, False, False], 68, False, [False, False, True, False], 9344, 'North', (12, 8))
Element 17: (2, (12, 8), ['', '', '', 'G'], [(18, 1), (5, 8), (13, 8)], [False, False, False, False], 66, False, [False, False, False, False], 9363, 'South', (12, 7))
Element 18: (2, (12, 7), ['', '', '', ''], [(17, 1), (4, 8), (13, 9)], [False, False, False, False], 64, False, [False, False, False, False], 9372, 'South', (12, 6))
Element 19: (2, (12, 6), ['', '', '', ''], [(16, 1), (4, 9), (12, 9)], [False, False, False, False], 62, False, [False, False, False, False], 9381, 'South', (12, 5))
Element 20: (2, (12, 5), ['', '.', '', ''], [(16, 1), (3, 9), (12, 8)], [False, False, False, False], 60, False, [False, True, False, False], 9390, 'South', (12, 4))
Element 21: (2, (12, 4), ['F', '.', '', ''], [(17, 1), (3, 8), (12, 7)], [False, False, False, False], 58, False, [False, True, False, False], 9409, 'West', (11, 4))
Element 22: (2, (11, 4), ['F', 'F', '', ''], [(18, 1), (3, 7), (12, 6)], [False, False, False, False], 56, False, [False, False, False, False], 10418, 'South', (11, 3))
Element 23: (2, (11, 3), ['F', '%', '', '.'], [(17, 1), (4, 7), (12, 5)], [False, True, False, False], 54, False, [False, False, False, True], 11427, 'West', (10, 3))
Element 24: (2, (10, 3), ['.', '.', 'F', ''], [(16, 1), (4, 6), (12, 4)], [False, False, False, False], 52, False, [True, True, False, False], 12436, 'North', (10, 4))
Element 25: (2, (10, 4), ['.', '', '', ''], [(16, 1), (5, 6), (12, 3)], [False, False, False, False], 50, False, [True, False, False, False], 13455, 'West', (9, 4))
Element 26: (2, (9, 4), ['.', '.', '', ''], [(17, 1), (6, 6), (13, 3)], [False, False, False, False], 48, False, [True, True, False, False], 13484, 'South', (9, 3))
Element 27: (2, (9, 3), ['.', '.', '', ''], [(18, 1), (7, 6), (14, 3)], [False, False, False, False], 46, False, [True, True, False, False], 13513, 'South', (9, 2))
Element 28: (2, (9, 2), ['.', '.', '', '.'], [(17, 1), (8, 6), (15, 3)], [False, False, False, False], 44, False, [True, True, False, True], 13542, 'East', (10, 2))
Element 29: (2, (10, 2), ['', '.', '', '%'], [(16, 1), (9, 6), (15, 2)], [False, False, False, True], 42, False, [False, True, False, False], 13571, 'South', (10, 1))
Element 30: #1#
