Element 1: (2, (11, 1), ['.', '%', '%', '.'], [(13, 3), (1, 5), (15, 8)], [False, True, True, False], 98, False, [True, False, False, True], 19, 'East', (12, 1))
Element 2: (2, (12, 1), ['', '%', '%', '.'], [(14, 3), (1, 6), (15, 9)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (13, 1))
Element 3: (2, (13, 1), ['', '%', '', '.'], [(15, 3), (1, 7), (14, 9)], [False, True, False, False], 94, False, [False, False, False, True], 97, 'East', (14, 1))
Element 4: (2, (14, 1), ['', '%', '%', '%'], [(15, 4), (1, 8), (14, 8)], [False, True, True, True], 92, False, [False, False, False, False], 136, 'West', (13, 1))
Element 5: (2, (13, 1), ['', '%', '', ''], [(15, 5), (1, 9), (14, 7)], [False, True, False, False], 90, False, [False, False, False, False], 165, 'North', (13, 2))
Element 6: (2, (13, 2), ['%', '', '', '%'], [(15, 6), (1, 8), (15, 7)], [True, False, False, True], 88, False, [False, False, False, False], 184, 'North', (13, 3))
Element 7: (2, (13, 3), ['.', '', '.', ''], [(14, 6), (1, 7), (14, 7)], [False, False, False, False], 86, False, [True, False, True, False], 193, 'North', (13, 4))
Element 8: (2, (13, 4), ['.', '', '.', '.'], [(14, 5), (1, 6), (14, 8)], [False, False, False, False], 84, False, [True, False, True, True], 212, 'East', (14, 4))
Element 9: (2, (14, 4), ['', '', '', ''], [(13, 5), (1, 5), (14, 7)], [False, False, False, False], 82, False, [False, False, False, False], 231, 'East', (15, 4))
Element 10: (2, (15, 4), ['', '', '', '%'], [(13, 6), (1, 4), (13, 7)], [False, False, False, True], 80, False, [False, False, False, False], 250, 'North', (15, 5))
Element 11: (2, (15, 5), ['', '', '', '%'], [(12, 6), (1, 3), (13, 8)], [False, False, False, True], 78, False, [False, False, False, False], 279, 'North', (15, 6))
Element 12: (2, (15, 6), ['', '', '', '%'], [(11, 6), (1, 2), (13, 9)], [False, False, False, True], 76, False, [False, False, False, False], 1298, 'North', (15, 7))
Element 13: (2, (15, 7), ['', '', '', '%'], [(11, 7), (1, 1), (12, 9)], [False, False, False, True], 74, False, [False, False, False, False], 2317, 'North', (15, 8))
Element 14: (2, (15, 8), ['', '', '', '%'], [(11, 8), (2, 1), (11, 9)], [False, False, False, True], 72, False, [False, False, False, False], 4326, 'North', (15, 9))
Element 15: (2, (15, 9), ['', '', '%', '%'], [(10, 8), (3, 1), (10, 9)], [False, False, True, True], 70, False, [False, False, False, False], 6335, 'West', (14, 9))
Element 16: (2, (14, 9), ['', '', '%', ''], [(10, 7), (4, 1), (9, 9)], [False, False, True, False], 68, False, [False, False, False, False], 7354, 'South', (14, 8))
Element 17: (2, (14, 8), ['', '', '', ''], [(10, 6), (4, 2), (9, 8)], [False, False, False, False], 66, False, [False, False, False, False], 8373, 'South', (14, 7))
Element 18: (2, (14, 7), ['', '', '', ''], [(10, 5), (4, 3), (9, 7)], [False, False, False, False], 64, False, [False, False, False, False], 9392, 'South', (14, 6))
Element 19: (2, (14, 6), ['', '', '', ''], [(11, 5), (5, 3), (9, 6)], [False, False, False, False], 62, False, [False, False, False, False], 10411, 'South', (14, 5))
Element 20: (2, (14, 5), ['', '', '', ''], [(11, 4), (6, 3), (9, 5)], [False, False, False, False], 60, False, [False, False, False, False], 11430, 'West', (13, 5))
Element 21: (2, (13, 5), ['.', '', '', ''], [(11, 3), (7, 3), (9, 4)], [False, False, False, False], 58, False, [True, False, False, False], 12449, 'West', (12, 5))
Element 22: #1#
