Element 1: (0, (1, 5), ['%', '.', '.', '%'], [(5, 9), (7, 5), (12, 7)], [True, False, False, True], 98, False, [False, True, True, False], 0, 'North', (1, 6))
Element 2: (0, (1, 6), ['%', '', '.', '%'], [(6, 9), (8, 5), (11, 7)], [True, False, False, True], 96, False, [False, False, True, False], 1029, 'North', (1, 7))
Element 3: (0, (1, 7), ['%', '', '.', '%'], [(7, 9), (9, 5), (11, 8)], [True, False, False, True], 94, False, [False, False, True, False], 2058, 'North', (1, 8))
Element 4: (0, (1, 8), ['%', '', '.', '%'], [(8, 9), (10, 5), (11, 9)], [True, False, False, True], 92, False, [False, False, True, False], 4077, 'North', (1, 9))
Element 5: (0, (1, 9), ['%', '', '%', '%'], [(9, 9), (11, 5), (10, 9)], [True, False, True, True], 90, False, [False, False, False, False], 6096, 'South', (1, 8))
Element 6: (0, (1, 8), ['%', '', '', '%'], [(9, 8), (11, 6), (10, 8)], [True, False, False, True], 88, False, [False, False, False, False], 8105, 'South', (1, 7))
Element 7: (0, (1, 7), ['%', '', '', '%'], [(9, 7), (10, 6), (10, 7)], [True, False, False, True], 86, False, [False, False, False, False], 10114, 'South', (1, 6))
Element 8: (0, (1, 6), ['%', '', '', '%'], [(9, 6), (11, 6), (10, 6)], [True, False, False, True], 84, False, [False, False, False, False], 10123, 'South', (1, 5))
Element 9: (0, (1, 5), ['%', '.', '', '%'], [(8, 6), (12, 6), (11, 6)], [True, False, False, True], 82, False, [False, True, False, False], 10142, 'South', (1, 4))
Element 10: (0, (1, 4), ['%', '.', '', '%'], [(8, 7), (13, 6), (12, 6)], [True, False, False, True], 80, False, [False, True, False, False], 10171, 'South', (1, 3))
Element 11: (0, (1, 3), ['%', '.', '', '%'], [(8, 8), (14, 6), (12, 5)], [True, False, False, True], 78, False, [False, True, False, False], 10210, 'South', (1, 2))
Element 12: (0, (1, 2), ['%', '.', '', '%'], [(7, 8), (15, 6), (13, 5)], [True, False, False, True], 76, False, [False, True, False, False], 10249, 'South', (1, 1))
Element 13: (0, (1, 1), ['%', '%', '', '.'], [(7, 7), (15, 7), (14, 5)], [True, True, False, False], 74, False, [False, False, False, True], 10288, 'East', (2, 1))
Element 14: (0, (2, 1), ['', '%', '%', '.'], [(7, 6), (15, 8), (15, 5)], [False, True, True, False], 72, False, [False, False, False, True], 10327, 'East', (3, 1))
Element 15: (0, (3, 1), ['', '%', '%', '.'], [(6, 6), (15, 9), (15, 4)], [False, True, True, False], 70, False, [False, False, False, True], 10366, 'East', (4, 1))
Element 16: (0, (4, 1), ['', '%', '.', '%'], [(6, 7), (14, 9), (15, 3)], [False, True, False, True], 68, False, [False, False, True, False], 10405, 'North', (4, 2))
Element 17: (0, (4, 2), ['%', '', '.', '%'], [(6, 8), (14, 8), (15, 2)], [True, False, False, True], 66, False, [False, False, True, False], 10444, 'North', (4, 3))
Element 18: (0, (4, 3), ['.', '', '.', '.'], [(5, 8), (14, 7), (15, 3)], [False, False, False, False], 64, False, [True, False, True, True], 10473, 'East', (5, 3))
Element 19: (0, (5, 3), ['', '%', '.', '.'], [(5, 7), (13, 7), (14, 3)], [False, True, False, False], 62, False, [False, False, True, True], 10512, 'East', (6, 3))
Element 20: (0, (6, 3), ['', '.', '.', '.'], [(5, 6), (13, 8), (14, 4)], [False, False, False, False], 60, False, [False, True, True, True], 10551, 'East', (7, 3))
Element 21: (0, (7, 3), ['', '.', '.', '.'], [(5, 5), (13, 9), (13, 4)], [False, False, False, False], 58, False, [False, True, True, True], 10590, 'East', (8, 3))
Element 22: (0, (8, 3), ['', '.', '.', '.'], [(6, 5), (12, 9), (13, 3)], [False, False, False, False], 56, False, [False, True, True, True], 10629, 'East', (9, 3))
Element 23: (0, (9, 3), ['', '.', '.', 'F'], [(6, 4), (12, 8), (13, 2)], [False, False, False, False], 54, False, [False, True, True, False], 10668, 'East', (10, 3))
Element 24: (0, (10, 3), ['', '.', 'F', 'F'], [(7, 4), (12, 7), (13, 1)], [False, False, False, False], 52, False, [False, True, False, False], 11687, 'East', (11, 3))
Element 25: (0, (11, 3), ['', '%', 'F', '.'], [(8, 4), (11, 7), (14, 1)], [False, True, False, False], 50, False, [False, False, False, True], 12706, 'North', (11, 4))
Element 26: (0, (11, 4), ['F', '', '', '.'], [(9, 4), (11, 8), (13, 1)], [False, False, False, False], 48, False, [False, False, False, True], 13715, 'West', (10, 4))
Element 27: #1#
