Element 1: (2, (9, 4), ['.', '.', '.', 'F'], [(14, 1), (8, 6), (12, 5)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'East', (10, 4))
Element 2: (2, (10, 4), ['', 'F', 'F', 'F'], [(13, 1), (9, 6), (11, 5)], [False, False, False, False], 96, False, [False, False, False, False], 2028, 'East', (11, 4))
Element 3: (2, (11, 4), ['', 'F', '', '.'], [(13, 2), (10, 6), (11, 6)], [False, False, False, False], 94, False, [False, False, False, True], 5037, 'South', (11, 3))
Element 4: (2, (11, 3), ['F', '%', '', '.'], [(13, 3), (10, 7), (11, 7)], [False, True, False, False], 92, False, [False, False, False, True], 8046, 'West', (10, 3))
Element 5: (2, (10, 3), ['.', '.', '', ''], [(14, 3), (10, 8), (11, 8)], [False, False, False, False], 90, False, [True, True, False, False], 11055, 'South', (10, 2))
Element 6: (2, (10, 2), ['.', '.', '', '%'], [(15, 3), (10, 9), (11, 9)], [False, False, False, True], 88, False, [True, True, False, False], 13074, 'South', (10, 1))
Element 7: (2, (10, 1), ['.', '%', '', '.'], [(15, 4), (9, 9), (12, 9)], [False, True, False, False], 86, False, [True, False, False, True], 13113, 'East', (11, 1))
Element 8: (2, (11, 1), ['', '%', '%', '.'], [(15, 5), (9, 8), (13, 9)], [False, True, True, False], 84, False, [False, False, False, True], 13152, 'East', (12, 1))
Element 9: (2, (12, 1), ['', '%', '%', ''], [(15, 6), (9, 7), (14, 9)], [False, True, True, False], 82, False, [False, False, False, False], 13191, 'East', (13, 1))
Element 10: (2, (13, 1), ['', '%', '', ''], [(15, 7), (8, 7), (15, 9)], [False, True, False, False], 80, False, [False, False, False, False], 13220, 'East', (14, 1))
Element 11: (2, (14, 1), ['', '%', '%', '%'], [(14, 7), (8, 8), (15, 8)], [False, True, True, True], 78, False, [False, False, False, False], 13249, 'West', (13, 1))
Element 12: (2, (13, 1), ['', '%', '', ''], [(14, 6), (8, 9), (14, 8)], [False, True, False, False], 76, False, [False, False, False, False], 13278, 'North', (13, 2))
Element 13: (2, (13, 2), ['%', '', '', '%'], [(14, 5), (7, 9), (13, 8)], [True, False, False, True], 74, False, [False, False, False, False], 13307, 'North', (13, 3))
Element 14: (2, (13, 3), ['.', '', '.', ''], [(14, 4), (7, 8), (13, 7)], [False, False, False, False], 72, False, [True, False, True, False], 13336, 'North', (13, 4))
Element 15: (2, (13, 4), ['.', '', '.', ''], [(14, 5), (7, 7), (13, 6)], [False, False, False, False], 70, False, [True, False, True, False], 13365, 'North', (13, 5))
Element 16: (2, (13, 5), ['', '', '', ''], [(14, 4), (6, 7), (12, 6)], [False, False, False, False], 68, False, [False, False, False, False], 13394, 'East', (14, 5))
Element 17: (2, (14, 5), ['', '', '', ''], [(13, 4), (6, 8), (12, 7)], [False, False, False, False], 66, False, [False, False, False, False], 13413, 'East', (15, 5))
Element 18: (2, (15, 5), ['', '', '', '%'], [(12, 4), (6, 9), (12, 8)], [False, False, False, True], 64, False, [False, False, False, False], 13442, 'North', (15, 6))
Element 19: (2, (15, 6), ['', '', '', '%'], [(12, 3), (5, 9), (12, 7)], [False, False, False, True], 62, False, [False, False, False, False], 13461, 'North', (15, 7))
Element 20: (2, (15, 7), ['', '', '', '%'], [(11, 3), (5, 8), (12, 6)], [False, False, False, True], 60, False, [False, False, False, False], 13470, 'North', (15, 8))
Element 21: (2, (15, 8), ['', '', '', '%'], [(11, 4), (5, 7), (13, 6)], [False, False, False, True], 58, False, [False, False, False, False], 13479, 'North', (15, 9))
Element 22: (2, (15, 9), ['', '', '%', '%'], [(11, 5), (5, 6), (14, 6)], [False, False, True, True], 56, False, [False, False, False, False], 13488, 'West', (14, 9))
Element 23: #1#
