Element 1: (3, (18, 1), ['.', '%', '%', '%'], [(6, 4), (1, 3), (4, 6)], [False, True, True, True], 98, False, [True, False, False, False], 29, 'West', (17, 1))
Element 2: (3, (17, 1), ['.', '%', '%', ''], [(7, 4), (1, 4), (5, 6)], [False, True, True, False], 96, False, [True, False, False, False], 68, 'West', (16, 1))
Element 3: (3, (16, 1), ['%', '%', '%', ''], [(8, 4), (1, 5), (6, 6)], [True, True, True, False], 94, False, [False, False, False, False], 107, 'East', (17, 1))
Element 4: (3, (17, 1), ['', '%', '%', ''], [(9, 4), (1, 6), (7, 6)], [False, True, True, False], 92, False, [False, False, False, False], 136, 'East', (18, 1))
Element 5: (3, (18, 1), ['', '%', '%', '%'], [(10, 4), (1, 7), (8, 6)], [False, True, True, True], 90, False, [False, False, False, False], 1155, 'Stop', (18, 1))
Element 6: (3, (18, 1), ['', '%', '%', '%'], [(11, 4), (1, 8), (9, 6)], [False, True, True, True], 88, False, [False, False, False, False], 2174, 'West', (17, 1))
Element 7: (3, (17, 1), ['', '%', '%', ''], [(11, 5), (1, 9), (10, 6)], [False, True, True, False], 86, False, [False, False, False, False], 4183, 'West', (16, 1))
Element 8: (3, (16, 1), ['%', '%', '%', ''], [(11, 6), (1, 8), (10, 7)], [True, True, True, False], 84, False, [False, False, False, False], 6182, 'East', (17, 1))
Element 9: (3, (17, 1), ['', '%', '%', ''], [(11, 7), (1, 7), (10, 8)], [False, True, True, False], 82, False, [False, False, False, False], 8181, 'East', (18, 1))
Element 10: (3, (18, 1), ['', '%', '%', '%'], [(11, 8), (1, 6), (10, 9)], [False, True, True, True], 80, False, [False, False, False, False], 10180, 'Stop', (18, 1))
Element 11: (3, (18, 1), ['', '%', '%', '%'], [(11, 9), (1, 5), (9, 9)], [False, True, True, True], 78, False, [False, False, False, False], 11189, 'West', (17, 1))
Element 12: (3, (17, 1), ['', '%', '%', ''], [(12, 9), (1, 4), (9, 8)], [False, True, True, False], 76, False, [False, False, False, False], 11208, 'West', (16, 1))
Element 13: (3, (16, 1), ['%', '%', '%', ''], [(13, 9), (1, 3), (9, 7)], [True, True, True, False], 74, False, [False, False, False, False], 11227, 'East', (17, 1))
Element 14: (3, (17, 1), ['', '%', '%', ''], [(14, 9), (1, 2), (8, 7)], [False, True, True, False], 72, False, [False, False, False, False], 11246, 'East', (18, 1))
Element 15: (3, (18, 1), ['', '%', '%', '%'], [(15, 9), (1, 1), (8, 8)], [False, True, True, True], 70, False, [False, False, False, False], 11275, 'Stop', (18, 1))
Element 16: (3, (18, 1), ['', '%', '%', '%'], [(15, 8), (2, 1), (8, 9)], [False, True, True, True], 68, False, [False, False, False, False], 11304, 'West', (17, 1))
Element 17: (3, (17, 1), ['', '%', '%', ''], [(15, 7), (3, 1), (7, 9)], [False, True, True, False], 66, False, [False, False, False, False], 11333, 'West', (16, 1))
Element 18: (3, (16, 1), ['%', '%', '%', ''], [(15, 6), (4, 1), (7, 8)], [True, True, True, False], 64, False, [False, False, False, False], 11362, 'East', (17, 1))
Element 19: (3, (17, 1), ['', '%', '%', ''], [(15, 5), (4, 2), (7, 7)], [False, True, True, False], 62, False, [False, False, False, False], 11391, 'East', (18, 1))
Element 20: (3, (18, 1), ['', '%', '%', '%'], [(15, 4), (4, 3), (6, 7)], [False, True, True, True], 60, False, [False, False, False, False], 11420, 'Stop', (18, 1))
Element 21: (3, (18, 1), ['', '%', '%', '%'], [(15, 3), (5, 3), (6, 8)], [False, True, True, True], 58, False, [False, False, False, False], 11449, 'West', (17, 1))
Element 22: (3, (17, 1), ['', '%', '%', ''], [(15, 2), (6, 3), (6, 9)], [False, True, True, False], 56, False, [False, False, False, False], 11478, 'West', (16, 1))
Element 23: (3, (16, 1), ['%', '%', '%', ''], [(15, 3), (7, 3), (5, 9)], [True, True, True, False], 54, False, [False, False, False, False], 11497, 'East', (17, 1))
Element 24: (3, (17, 1), ['', '%', '%', ''], [(14, 3), (8, 3), (5, 8)], [False, True, True, False], 52, False, [False, False, False, False], 11526, 'East', (18, 1))
Element 25: (3, (18, 1), ['', '%', '%', '%'], [(14, 4), (9, 3), (5, 7)], [False, True, True, True], 50, False, [False, False, False, False], 11555, 'Stop', (18, 1))
Element 26: (3, (18, 1), ['', '%', '%', '%'], [(14, 5), (10, 3), (4, 7)], [False, True, True, True], 48, False, [False, False, False, False], 12574, 'West', (17, 1))
Element 27: (3, (17, 1), ['', '%', '%', ''], [(14, 6), (11, 3), (4, 8)], [False, True, True, False], 46, False, [False, False, False, False], 13593, 'West', (16, 1))
Element 28: (3, (16, 1), ['%', '%', '%', ''], [(14, 7), (12, 3), (4, 9)], [True, True, True, False], 44, False, [False, False, False, False], 13622, 'East', (17, 1))
Element 29: (3, (17, 1), ['', '%', '%', ''], [(14, 8), (13, 3), (3, 9)], [False, True, True, False], 42, False, [False, False, False, False], 13651, 'East', (18, 1))
Element 30: (3, (18, 1), ['', '%', '%', '%'], [(13, 8), (13, 4), (3, 8)], [False, True, True, True], 40, False, [False, False, False, False], 13680, 'Stop', (18, 1))
Element 31: (3, (18, 1), ['', '%', '%', '%'], [(13, 7), (13, 5), (3, 7)], [False, True, True, True], 38, False, [False, False, False, False], 13709, 'West', (17, 1))
Element 32: (3, (17, 1), ['', '%', '%', ''], [(13, 6), (12, 5), (3, 8)], [False, True, True, False], 36, False, [False, False, False, False], 13728, 'West', (16, 1))
Element 33: (3, (16, 1), ['%', '%', '%', ''], [(12, 6), (12, 4), (3, 9)], [True, True, True, False], 34, False, [False, False, False, False], 13747, 'East', (17, 1))
Element 34: (3, (17, 1), ['', '%', '%', ''], [(12, 7), (11, 4), (4, 9)], [False, True, True, False], 32, False, [False, False, False, False], 13756, 'East', (18, 1))
Element 35: (3, (18, 1), ['', '%', '%', '%'], [(12, 8), (11, 5), (4, 8)], [False, True, True, True], 30, False, [False, False, False, False], 13765, 'Stop', (18, 1))
Element 36: #1#
