Element 1: (0, (13, 1), ['.', '%', '.', '.'], [(1, 7), (4, 7), (15, 3)], [False, True, False, False], 98, False, [True, False, True, True], 0, 'East', (14, 1))
Element 2: (0, (14, 1), ['', '%', '%', '%'], [(1, 8), (5, 7), (15, 4)], [False, True, True, True], 96, False, [False, False, False, False], 39, 'West', (13, 1))
Element 3: (0, (13, 1), ['.', '%', '.', ''], [(1, 9), (6, 7), (15, 5)], [False, True, False, False], 94, False, [True, False, True, False], 68, 'North', (13, 2))
Element 4: (0, (13, 2), ['%', '', '.', '%'], [(1, 8), (7, 7), (15, 6)], [True, False, False, True], 92, False, [False, False, True, False], 97, 'North', (13, 3))
Element 5: (0, (13, 3), ['.', '', '.', '.'], [(1, 7), (8, 7), (15, 7)], [False, False, False, False], 90, False, [True, False, True, True], 126, 'East', (14, 3))
Element 6: (0, (14, 3), ['', '%', '.', ''], [(1, 6), (9, 7), (15, 8)], [False, True, False, False], 88, False, [False, False, True, False], 165, 'North', (14, 4))
Element 7: (0, (14, 4), ['.', '', '.', ''], [(1, 5), (10, 7), (15, 9)], [False, False, False, False], 86, False, [True, False, True, False], 1194, 'North', (14, 5))
Element 8: (0, (14, 5), ['.', '', '.', ''], [(1, 4), (11, 7), (14, 9)], [False, False, False, False], 84, False, [True, False, True, False], 2223, 'North', (14, 6))
Element 9: (0, (14, 6), ['.', '', '.', ''], [(1, 3), (11, 8), (14, 8)], [False, False, False, False], 82, False, [True, False, True, False], 3252, 'North', (14, 7))
Element 10: (0, (14, 7), ['.', '', '', ''], [(1, 2), (11, 9), (13, 8)], [False, False, False, False], 80, False, [True, False, False, False], 4281, 'West', (13, 7))
Element 11: (0, (13, 7), ['.', '.', '', ''], [(1, 1), (10, 9), (13, 9)], [False, False, False, False], 78, False, [True, True, False, False], 5310, 'South', (13, 6))
Element 12: (0, (13, 6), ['.', '.', '', ''], [(2, 1), (10, 8), (12, 9)], [False, False, False, False], 76, False, [True, True, False, False], 6339, 'South', (13, 5))
Element 13: (0, (13, 5), ['.', '.', '', ''], [(3, 1), (9, 8), (12, 8)], [False, False, False, False], 74, False, [True, True, False, False], 6378, 'South', (13, 4))
Element 14: (0, (13, 4), ['.', '', '', ''], [(4, 1), (9, 9), (12, 7)], [False, False, False, False], 72, False, [True, False, False, False], 6417, 'West', (12, 4))
Element 15: (0, (12, 4), ['F', '.', '.', ''], [(4, 2), (8, 9), (12, 6)], [False, False, False, False], 70, False, [False, True, True, False], 6456, 'West', (11, 4))
Element 16: (0, (11, 4), ['F', 'F', 'F', ''], [(4, 3), (8, 8), (11, 6)], [False, False, False, False], 68, False, [False, False, False, False], 8475, 'North', (11, 5))
Element 17: (0, (11, 5), ['F', '', '', '.'], [(5, 3), (7, 8), (10, 6)], [False, False, False, False], 66, False, [False, False, False, True], 10494, 'West', (10, 5))
Element 18: (0, (10, 5), ['.', 'F', '', ''], [(6, 3), (7, 9), (9, 6)], [False, False, False, False], 64, False, [True, False, False, False], 11523, 'South', (10, 4))
Element 19: (0, (10, 4), ['.', 'F', '', ''], [(7, 3), (6, 9), (9, 5)], [False, False, False, False], 62, False, [True, False, False, False], 12552, 'South', (10, 3))
Element 20: (0, (10, 3), ['.', '.', '', 'F'], [(8, 3), (6, 8), (9, 4)], [False, False, False, False], 60, False, [True, True, False, False], 13581, 'East', (11, 3))
Element 21: #1#
