Element 1: (0, (15, 9), ['.', '.', '%', '%'], [(4, 7), (8, 2), (16, 1)], [False, False, True, True], 98, False, [True, True, False, False], 0, 'South', (15, 8))
Element 2: (0, (15, 8), ['.', '.', '', '%'], [(5, 7), (9, 2), (17, 1)], [False, False, False, True], 96, False, [True, True, False, False], 39, 'South', (15, 7))
Element 3: (0, (15, 7), ['.', '.', '', '%'], [(6, 7), (10, 2), (18, 1)], [False, False, False, True], 94, False, [True, True, False, False], 78, 'South', (15, 6))
Element 4: (0, (15, 6), ['.', '.', '', '%'], [(7, 7), (10, 3), (17, 1)], [False, False, False, True], 92, False, [True, True, False, False], 1097, 'South', (15, 5))
Element 5: (0, (15, 5), ['.', '.', '', '%'], [(8, 7), (11, 3), (16, 1)], [False, False, False, True], 90, False, [True, True, False, False], 2116, 'South', (15, 4))
Element 6: (0, (15, 4), ['.', '.', '', '%'], [(9, 7), (11, 4), (16, 1)], [False, False, False, True], 88, False, [True, True, False, False], 3135, 'South', (15, 3))
Element 7: (0, (15, 3), ['.', '.', '', '%'], [(10, 7), (11, 5), (17, 1)], [False, False, False, True], 86, False, [True, True, False, False], 5144, 'South', (15, 2))
Element 8: (0, (15, 2), ['%', '%', '', '%'], [(11, 7), (11, 6), (18, 1)], [True, True, False, True], 84, False, [False, False, False, False], 7153, 'North', (15, 3))
Element 9: (0, (15, 3), ['.', '', '', '%'], [(11, 8), (10, 6), (17, 1)], [False, False, False, True], 82, False, [True, False, False, False], 9152, 'West', (14, 3))
Element 10: (0, (14, 3), ['.', '%', '.', ''], [(11, 9), (10, 5), (16, 1)], [False, True, False, False], 80, False, [True, False, True, False], 11161, 'North', (14, 4))
Element 11: (0, (14, 4), ['.', '', '.', ''], [(10, 9), (10, 4), (16, 1)], [False, False, False, False], 78, False, [True, False, True, False], 13170, 'North', (14, 5))
Element 12: #1#
