Element 1: (3, (9, 4), ['.', '.', '.', 'F'], [(18, 1), (1, 4), (7, 7)], [False, False, False, False], 98, False, [True, True, True, False], 29, 'East', (10, 4))
Element 2: (3, (10, 4), ['', 'F', 'F', 'F'], [(17, 1), (1, 5), (8, 7)], [False, False, False, False], 96, False, [False, False, False, False], 1048, 'East', (11, 4))
Element 3: (3, (11, 4), ['', 'F', 'F', '.'], [(16, 1), (1, 6), (9, 7)], [False, False, False, False], 94, False, [False, False, False, True], 2077, 'North', (11, 5))
Element 4: (3, (11, 5), ['F', '', 'F', '.'], [(17, 1), (1, 7), (10, 7)], [False, False, False, False], 92, False, [False, False, False, True], 4086, 'North', (11, 6))
Element 5: (3, (11, 6), ['F', '', 'G', '.'], [(17, 1), (1, 8), (11, 7)], [False, False, False, False], 90, False, [False, False, False, True], 6095, 'West', (10, 6))
Element 6: (3, (10, 6), ['.', 'F', '', ''], [(18, 1), (1, 9), (11, 8)], [False, False, False, False], 88, False, [True, False, False, False], 8104, 'South', (10, 5))
Element 7: (3, (10, 5), ['.', '', '', ''], [(17, 1), (1, 8), (11, 9)], [False, False, False, False], 86, False, [True, False, False, False], 10103, 'West', (9, 5))
Element 8: (3, (9, 5), ['.', '', '.', ''], [(16, 1), (1, 7), (10, 9)], [False, False, False, False], 84, False, [True, False, True, False], 11112, 'North', (9, 6))
Element 9: (3, (9, 6), ['.', '', '', ''], [(17, 1), (1, 6), (10, 8)], [False, False, False, False], 82, False, [True, False, False, False], 12121, 'West', (8, 6))
Element 10: (3, (8, 6), ['.', '.', '', ''], [(17, 1), (1, 5), (9, 8)], [False, False, False, False], 80, False, [True, True, False, False], 12140, 'South', (8, 5))
Element 11: (3, (8, 5), ['.', '.', '', ''], [(18, 1), (1, 4), (9, 9)], [False, False, False, False], 78, False, [True, True, False, False], 12159, 'South', (8, 4))
Element 12: (3, (8, 4), ['.', '.', '', ''], [(17, 1), (1, 3), (8, 9)], [False, False, False, False], 76, False, [True, True, False, False], 12178, 'South', (8, 3))
Element 13: (3, (8, 3), ['.', '.', '', '.'], [(16, 1), (1, 2), (8, 8)], [False, False, False, False], 74, False, [True, True, False, True], 12207, 'East', (9, 3))
Element 14: (3, (9, 3), ['', '.', '', 'F'], [(17, 1), (1, 1), (7, 8)], [False, False, False, False], 72, False, [False, True, False, False], 12236, 'East', (10, 3))
Element 15: (3, (10, 3), ['', '.', '', 'F'], [(17, 1), (2, 1), (7, 9)], [False, False, False, False], 70, False, [False, True, False, False], 13255, 'East', (11, 3))
Element 16: #1#
