Element 1: (2, (3, 9), ['%', '.', '%', '.'], [(4, 2), (1, 9), (14, 4)], [True, False, True, False], 98, False, [False, True, False, True], 19, 'East', (4, 9))
Element 2: (2, (4, 9), ['', '.', '%', '.'], [(4, 3), (1, 8), (15, 4)], [False, False, True, False], 96, False, [False, True, False, True], 48, 'East', (5, 9))
Element 3: (2, (5, 9), ['', '.', '%', '.'], [(5, 3), (1, 7), (15, 5)], [False, False, True, False], 94, False, [False, True, False, True], 87, 'East', (6, 9))
Element 4: (2, (6, 9), ['', '.', '%', '.'], [(6, 3), (1, 6), (15, 6)], [False, False, True, False], 92, False, [False, True, False, True], 126, 'East', (7, 9))
Element 5: (2, (7, 9), ['', '.', '%', '.'], [(7, 3), (1, 5), (15, 7)], [False, False, True, False], 90, False, [False, True, False, True], 165, 'East', (8, 9))
Element 6: (2, (8, 9), ['', '.', '%', '.'], [(8, 3), (1, 4), (15, 8)], [False, False, True, False], 88, False, [False, True, False, True], 204, 'East', (9, 9))
Element 7: (2, (9, 9), ['', '.', '%', 'F'], [(9, 3), (1, 3), (15, 9)], [False, False, True, False], 86, False, [False, True, False, False], 243, 'East', (10, 9))
Element 8: (2, (10, 9), ['', 'F', '%', 'F'], [(10, 3), (1, 2), (14, 9)], [False, False, True, False], 84, False, [False, False, False, False], 2262, 'East', (11, 9))
Element 9: (2, (11, 9), ['', 'F', '%', '.'], [(11, 3), (1, 1), (14, 8)], [False, False, True, False], 82, False, [False, False, False, True], 4281, 'South', (11, 8))
Element 10: (2, (11, 8), ['F', 'F', '', '.'], [(11, 4), (2, 1), (14, 7)], [False, False, False, False], 80, False, [False, False, False, True], 6300, 'South', (11, 7))
Element 11: (2, (11, 7), ['F', 'F', '', '.'], [(11, 5), (3, 1), (14, 6)], [False, False, False, False], 78, False, [False, False, False, True], 8319, 'South', (11, 6))
Element 12: (2, (11, 6), ['F', '', '', '.'], [(10, 5), (4, 1), (14, 5)], [False, False, False, False], 76, False, [False, False, False, True], 10328, 'West', (10, 6))
Element 13: (2, (10, 6), ['.', '', 'F', ''], [(10, 4), (4, 2), (13, 5)], [False, False, False, False], 74, False, [True, False, False, False], 12337, 'North', (10, 7))
Element 14: (2, (10, 7), ['.', '', 'F', ''], [(9, 4), (4, 3), (13, 6)], [False, False, False, False], 72, False, [True, False, False, False], 13356, 'North', (10, 8))
Element 15: #1#
